Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.393,-0.036,-0.257
Pos4_Unpaired,-0.531,-0.071,-0.269
Pos7_Unpaired,-0.254,-0.12,-0.231
Pos9_Paired-Opening,-0.383,-0.11,-0.224
Pos9_Paired-Closing,-0.169,-0.043,-0.108
Pos10_Paired-Closing,-0.28,-0.154,-0.177
Pos11_Unpaired,-0.176,-0.047,-0.134
Pos12_Unpaired,-0.41,-0.149,-0.272
Pos13_Unpaired,-0.287,-0.162,-0.26
Pos16_Paired-Closing,-0.405,-0.144,-0.272
Pos17_Unpaired,-0.526,-0.086,-0.298
Pos18_Unpaired,-0.339,-0.136,-0.199
Pos19_Paired-Closing,-0.509,-0.142,-0.24
Pos20_Unpaired,-0.43,-0.167,-0.332
Pos21_Paired-Closing,-0.441,-0.235,-0.326
