Feature,Average_Importance_Magnitude,Number_of_Models
Pos1_Unpaired,0.00357743676816158,10
Pos4_Unpaired,0.00337194868803362,10
Pos5_Unpaired,0.0033168915495420197,10
Pos3_Unpaired,0.00268075143489849,10
Pos5_Paired-Opening,0.0024979674685252,10
Pos2_Unpaired,0.00249677676530628,10
Pos1_Paired-Opening,0.00238512927965089,10
Pos19_Unpaired,0.00237972375050532,10
Pos4_Paired-Opening,0.0022398969789507303,10
Pos6_Unpaired,0.00200867428661334,10
Pos3_Paired-Opening,0.00198673668656722,10
Pos2_Paired-Opening,0.00180298008888654,10
Pos19_Paired-Opening,0.00172218393053661,10
Pos10_Unpaired,0.0016053661843567699,10
Pos13_Unpaired,0.0015058365833609307,10
Pos6_Paired-Opening,0.00146948706291349,10
Pos20_Unpaired,0.00134932275821207,10
Pos7_Unpaired,0.00130550408254073,10
Pos13_Paired-Opening,0.00112009032186242,10
Pos10_Paired-Opening,0.0010416354851112701,10
Pos16_Unpaired,0.0010351325316760199,10
Pos7_Paired-Opening,0.0009607992052872799,10
Pos8_Unpaired,0.0008858166643540806,10
Pos17_Unpaired,0.0008584895996028401,10
Pos21_Paired-Opening,0.0008342842258285,10
Pos21_Unpaired,0.0008189070277663699,10
Pos20_Paired-Opening,0.0007556744579805101,10
Pos16_Paired-Opening,0.00073340404360962,10
Pos9_Unpaired,0.0007094774469528615,10
Pos12_Unpaired,0.0006819586378731599,10
Pos17_Paired-Opening,0.0006295284314293559,10
Pos8_Paired-Opening,0.0005664254681180608,10
Pos11_Unpaired,0.0005430466923819395,10
Pos9_Paired-Opening,0.00044602499212323106,10
Pos12_Paired-Opening,0.0004406137504061586,10
Pos11_Paired-Opening,0.0003706167718521167,10
Pos14_Unpaired,0.00035457730416421884,10
Pos18_Unpaired,0.0003411951571292268,10
Pos15_Unpaired,0.00028241097238371855,10
Pos18_Paired-Opening,0.0002733437735460922,10
Pos14_Paired-Opening,0.00021420755647124368,10
Pos3_Paired-Closing,0.00019659390536243916,10
Pos15_Paired-Opening,0.0001756896344302104,10
Pos2_Paired-Closing,8.830762671366757e-05,10
Pos1_Paired-Closing,6.239324892209588e-05,10
Pos6_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos9_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos21_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
