Feature,Q1,Q3,Median Spearman Correlation
Pos22_A,0.766,0.766,0.766
Pos22_T,0.772,0.773,0.773
Pos23_A,0.763,0.763,0.763
Pos24_A,0.732,0.739,0.738
Pos24_T,0.75,0.789,0.782
Pos25_A,0.637,0.734,0.713
Pos25_T,0.786,0.787,0.787
Pos26_A,0.452,0.637,0.59
Pos26_C,0.36,0.706,0.613
Pos26_T,0.657,0.772,0.752
Pos27_A,0.728,0.756,0.749
Pos27_T,0.621,0.778,0.753
Pos28_A,0.769,0.769,0.769
Pos28_T,0.739,0.771,0.762
Pos29_A,0.745,0.745,0.745
Pos29_C,0.116,0.514,0.195
Pos29_T,0.742,0.782,0.772
Pos30_A,0.751,0.758,0.757
Pos30_C,0.094,0.439,0.148
Pos31_A,0.753,0.753,0.753
Pos32_A,0.766,0.766,0.766
Pos32_T,0.006,0.42,0.367
Pos33_A,0.747,0.748,0.748
Pos34_A,0.735,0.754,0.754
Pos34_C,0.259,0.478,0.34
Pos35_A,0.739,0.753,0.753
Pos35_G,0.122,0.377,0.285
Pos36_A,0.704,0.755,0.739
Pos37_A,0.633,0.714,0.669
Pos38_A,0.702,0.734,0.721
Pos38_C,0.472,0.73,0.643
Pos39_A,0.755,0.755,0.755
Pos40_A,0.769,0.769,0.769
Pos41_A,0.743,0.748,0.748
Pos41_C,0.559,0.716,0.682
Pos42_A,0.654,0.762,0.718
Pos42_C,0.633,0.704,0.695
