Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.091,0.239,0.201
Pos3_Paired-Opening,0.278,0.449,0.356
Pos5_Unpaired,0.035,0.287,0.153
Pos9_Unpaired,0.403,0.527,0.478
Pos10_Unpaired,0.455,0.511,0.486
Pos11_Paired-Opening,0.35,0.374,0.364
Pos12_Paired-Opening,0.39,0.489,0.445
Pos13_Unpaired,0.309,0.512,0.357
Pos14_Unpaired,0.293,0.566,0.459
Pos16_Unpaired,0.143,0.251,0.231
Pos17_Paired-Closing,0.018,0.32,0.135
Pos18_Paired-Opening,0.001,0.462,0.128
Pos19_Paired-Opening,0.33,0.512,0.449
Pos20_Paired-Opening,0.119,0.391,0.333
Pos22_Unpaired,0.263,0.621,0.454
Pos23_Paired-Closing,0.146,0.353,0.287
Pos24_Paired-Opening,0.009,0.251,0.094
Pos25_Unpaired,0.041,0.397,0.155
Pos25_Paired-Closing,0.023,0.118,0.072
Pos28_Unpaired,0.042,0.326,0.123
Pos30_Unpaired,0.007,0.302,0.072
Pos31_Unpaired,0.077,0.31,0.165
Pos33_Paired-Closing,0.114,0.389,0.316
Pos34_Unpaired,0.145,0.351,0.233
Pos34_Paired-Opening,0.082,0.138,0.103
Pos35_Paired-Opening,0.7,1.0,1.0
Pos36_Paired-Opening,1.0,1.0,1.0
Pos38_Unpaired,0.055,0.343,0.169
Pos39_Unpaired,0.225,0.633,0.517
Pos41_Paired-Closing,0.456,0.724,0.602
