Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,12,-0.868279343376712,4.1707936680783896e-306
,13,-0.8027488268954507,2.6539966459935936e-226
,16,-0.9993403763392347,0.0
,45,-0.9010446016173427,0.0
,52,-0.9338098598579733,0.0
,80,-0.868279343376712,4.1707936680783896e-306
,81,-0.9010446016173427,0.0
,82,-0.7372183104141895,3.9774597491680484e-172
,87,-0.8027488268954507,2.6539966459935936e-226
,97,-0.27850469504536046,2.8536191927390654e-19
Pos1_Paired-Opening,12,0.6061572774516669,2.3619606660725317e-101
,13,0.9993403763392347,0.0
,16,0.9338098598579733,0.0
,45,0.37680046976725234,4.356439550223798e-35
,52,0.966575118098604,0.0
,80,0.76998356865482,5.885815679389306e-197
,81,0.9338098598579733,0.0
,82,0.9338098598579733,0.0
,87,0.24573943680472982,3.210970916519473e-15
,97,0.868279343376712,4.1707936680783896e-306
Pos1_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos2_Unpaired,12,-0.6388182147308021,8.96015942404568e-116
,13,-0.39926138420675134,1.4667726366080621e-39
,16,-0.4591505918377641,2.6900525411895336e-53
,45,-0.5390028686791143,1.938693704693766e-76
,52,-0.8184858376238403,1.908271522959795e-242
,80,-0.019963069210337567,0.5283276385347759
,81,-0.21959376131371322,2.197290049999923e-12
,82,-0.2794829689447259,2.1165527932648885e-19
,87,-0.6388182147308021,8.96015942404568e-116
,97,-0.6188551455204646,9.304811806278934e-107
Pos2_Paired-Opening,12,0.21959376131371322,2.197290049999923e-12
,13,0.9183011836755282,0.0
,16,0.6188551455204646,9.304811806278934e-107
,45,0.4591505918377641,2.6900525411895336e-53
,52,0.8384489068341778,2.4354405949354163e-265
,80,0.43918752262742644,2.0816543805017946e-48
,81,0.9183011836755282,0.0
,82,0.6787443531514772,5.700133364218977e-136
,87,0.73863356078249,4.0267806483326126e-173
,97,0.4791136610481016,1.6065534064842204e-58
Pos2_Paired-Closing,12,,
,13,,
,16,,
,45,,
,52,,
,80,,
,81,,
,82,,
,87,,
,97,,
Pos3_Unpaired,12,0.29030495452584776,7.163399512212955e-21
,13,0.029125203536412923,0.3575398123583786
,16,0.14266761251841958,5.9238277241360895e-06
,45,0.09135921560076443,0.003834474109263266
,52,-0.2736285070287628,1.24300943769797e-18
,80,-0.1943958725445533,5.68678171368311e-10
,81,-0.1745755181661303,2.754285160920588e-08
,82,0.15140665802939499,1.511844610353755e-06
,87,-0.33281773489432054,2.72428925385771e-27
,97,0.17201738330845404,4.406999195465329e-08
Pos3_Paired-Opening,12,0.24418109870302113,4.845376894233594e-15
,13,-0.0820348508591825,0.009450823396673481
,16,0.2631032134227931,2.6939539174119152e-17
,45,-0.19553820784829634,4.4884405439120726e-10
