Feature,Average_Importance_Magnitude,Number_of_Models
Pos3_Unpaired,0.0028297905400122203,10
Pos5_Unpaired,0.00223963135258875,10
Pos4_Unpaired,0.00207965850242431,10
Pos4_Paired-Opening,0.00186673121136681,10
Pos12_Unpaired,0.0017690873529090702,10
Pos3_Paired-Opening,0.00173345499856132,10
Pos13_Unpaired,0.0017224976740224701,10
Pos5_Paired-Opening,0.00171670389078925,10
Pos17_Unpaired,0.0016040266579484,10
Pos9_Unpaired,0.00152565029202402,10
Pos11_Unpaired,0.00150106066384345,10
Pos2_Unpaired,0.00149905826181191,10
Pos8_Unpaired,0.00148753719797726,10
Pos6_Unpaired,0.0014150331263808199,10
Pos16_Unpaired,0.00139020716968686,10
Pos18_Unpaired,0.00137780565359581,10
Pos17_Paired-Closing,0.00136912748242402,10
Pos10_Unpaired,0.0013633213792251099,10
Pos7_Unpaired,0.00133523913253743,10
Pos2_Paired-Opening,0.0013239944092053898,10
Pos15_Unpaired,0.00130747343774584,10
Pos14_Unpaired,0.00127116395644591,10
Pos18_Paired-Closing,0.00125032748506549,10
Pos19_Unpaired,0.00119528731482644,10
Pos20_Unpaired,0.00116858487277087,10
Pos1_Unpaired,0.0011310241929935,10
Pos14_Paired-Closing,0.0011199355066699702,10
Pos6_Paired-Opening,0.00107714042502624,10
Pos16_Paired-Closing,0.00106975194706951,10
Pos15_Paired-Closing,0.00106454635204416,10
Pos19_Paired-Closing,0.00103252899662068,10
Pos13_Paired-Closing,0.00100666324083198,10
Pos9_Paired-Opening,0.00096908064827709,10
Pos20_Paired-Closing,0.0009401133038110101,10
Pos7_Paired-Opening,0.0009325194190590899,10
Pos8_Paired-Opening,0.00086512275666238,10
Pos1_Paired-Opening,0.00085321491826704,10
Pos12_Paired-Closing,0.0008400444619118,10
Pos10_Paired-Opening,0.00076368076655136,10
Pos11_Paired-Opening,0.00073482298309211,10
Pos21_Unpaired,0.00068683682051353,10
Pos11_Paired-Closing,0.00060230354920315,10
Pos21_Paired-Closing,0.0005555688001995099,10
Pos10_Paired-Closing,0.0005478464526965201,10
Pos12_Paired-Opening,0.00050360118510393,10
Pos9_Paired-Closing,0.00024370113771664,10
Pos13_Paired-Opening,0.00020112811041881002,10
Pos8_Paired-Closing,0.00015700767119738,10
Pos14_Paired-Opening,8.501769057078788e-05,10
Pos7_Paired-Closing,6.859064900522828e-05,10
Pos15_Paired-Opening,8.43955888346181e-06,10
Pos21_Paired-Opening,0.0,10
Pos6_Paired-Closing,0.0,10
Pos17_Paired-Opening,0.0,10
Pos5_Paired-Closing,0.0,10
Pos18_Paired-Opening,0.0,10
Pos19_Paired-Opening,0.0,10
Pos4_Paired-Closing,0.0,10
Pos1_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos20_Paired-Opening,0.0,10
Pos2_Paired-Closing,0.0,10
Pos16_Paired-Opening,0.0,10
