Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,-0.78,-0.76,-0.776
Pos2_Paired-Opening,-0.799,-0.366,-0.626
Pos4_Unpaired,-0.844,-0.844,-0.844
Pos5_Paired-Opening,-0.801,-0.388,-0.518
Pos6_Paired-Opening,-0.835,-0.416,-0.624
Pos7_Unpaired,-0.523,-0.422,-0.463
Pos8_Paired-Opening,-0.451,-0.373,-0.395
Pos9_Paired-Opening,-0.791,-0.774,-0.781
Pos10_Paired-Opening,-0.488,-0.162,-0.315
Pos10_Paired-Closing,-0.089,-0.0,-0.027
Pos11_Unpaired,-0.787,-0.633,-0.736
Pos12_Paired-Opening,-0.7,-0.194,-0.386
Pos14_Unpaired,-0.859,-0.824,-0.855
Pos17_Paired-Opening,-0.502,-0.178,-0.434
Pos18_Unpaired,-0.373,-0.046,-0.179
Pos19_Paired-Opening,-0.708,-0.454,-0.564
Pos20_Unpaired,-0.863,-0.826,-0.85
Pos21_Unpaired,-0.137,-0.071,-0.11
Pos22_Paired-Opening,-0.58,-0.046,-0.469
Pos22_Paired-Closing,-0.227,-0.12,-0.173
Pos23_Paired-Opening,-0.491,-0.111,-0.22
Pos23_Paired-Closing,-0.284,-0.166,-0.244
Pos24_Paired-Opening,-0.423,-0.199,-0.271
Pos24_Paired-Closing,-0.418,-0.404,-0.412
Pos25_Paired-Opening,-0.252,-0.107,-0.182
Pos26_Paired-Opening,-0.385,-0.04,-0.193
Pos26_Paired-Closing,-0.387,-0.054,-0.271
Pos28_Unpaired,-0.362,-0.128,-0.232
Pos28_Paired-Opening,-0.339,-0.296,-0.339
Pos29_Unpaired,-0.491,-0.491,-0.491
Pos31_Paired-Opening,-0.535,-0.062,-0.414
Pos32_Paired-Opening,-0.497,-0.021,-0.283
Pos32_Paired-Closing,-0.224,-0.082,-0.224
Pos33_Paired-Opening,-0.134,-0.134,-0.134
Pos33_Paired-Closing,-0.254,-0.254,-0.254
Pos34_Paired-Opening,-0.134,-0.134,-0.134
Pos34_Paired-Closing,-0.23,-0.23,-0.23
Pos35_Paired-Closing,-0.122,-0.122,-0.122
Pos36_Paired-Closing,-0.265,-0.265,-0.265
Pos37_Paired-Closing,-0.581,-0.532,-0.542
Pos38_Paired-Opening,-0.134,-0.134,-0.134
Pos39_Paired-Opening,-0.134,-0.134,-0.134
Pos39_Paired-Closing,-0.58,-0.085,-0.547
Pos41_Paired-Opening,-0.596,-0.596,-0.596
Pos41_Paired-Closing,-0.122,-0.122,-0.122
Pos42_Paired-Opening,-0.596,-0.473,-0.596
Pos42_Paired-Closing,-0.122,-0.122,-0.122
Pos43_Paired-Opening,-0.596,-0.596,-0.596
Pos43_Paired-Closing,-0.172,-0.172,-0.172
Pos44_Paired-Opening,-0.596,-0.59,-0.596
Pos45_Paired-Opening,-0.596,-0.596,-0.596
Pos46_Paired-Closing,-0.685,-0.666,-0.685
Pos47_Paired-Closing,-0.685,-0.549,-0.685
Pos48_Paired-Closing,-0.673,-0.166,-0.515
Pos49_Paired-Opening,-0.596,-0.5,-0.596
Pos49_Paired-Closing,-0.685,-0.591,-0.632
Pos50_Unpaired,-0.235,-0.092,-0.214
Pos51_Paired-Opening,-0.596,-0.587,-0.596
Pos52_Paired-Opening,-0.596,-0.444,-0.591
Pos52_Paired-Closing,-0.581,-0.581,-0.581
Pos53_Unpaired,-0.84,-0.696,-0.794
Pos54_Paired-Opening,-0.596,-0.214,-0.596
Pos56_Unpaired,-0.862,-0.862,-0.862
Pos57_Unpaired,-0.651,-0.522,-0.608
Pos61_Paired-Closing,-0.675,-0.598,-0.64
Pos62_Unpaired,-0.803,-0.791,-0.803
Pos63_Unpaired,-0.846,-0.699,-0.811
Pos66_Paired-Closing,-0.85,-0.818,-0.838
Pos67_Paired-Closing,-0.846,-0.535,-0.765
Pos69_Unpaired,-0.655,-0.338,-0.506
Pos70_Paired-Closing,-0.83,-0.79,-0.83
Pos71_Paired-Closing,-0.813,-0.594,-0.811
Pos72_Unpaired,-0.491,-0.466,-0.49
Pos73_Unpaired,-0.651,-0.646,-0.651
Pos75_Unpaired,-0.155,-0.155,-0.155
Pos76_Unpaired,-0.155,-0.155,-0.155
Pos77_Unpaired,-0.838,-0.822,-0.838
Pos78_Unpaired,-0.833,-0.82,-0.828
Pos79_Unpaired,-0.833,-0.829,-0.833
Pos83_Unpaired,-0.134,-0.134,-0.134
Pos84_Paired-Opening,-0.217,-0.125,-0.212
Pos89_Paired-Closing,-0.134,-0.134,-0.134
Pos90_Paired-Closing,-0.134,-0.1,-0.134
Pos92_Paired-Closing,-0.173,-0.173,-0.173
Pos93_Paired-Closing,-0.173,-0.173,-0.173
Pos94_Paired-Closing,-0.173,-0.012,-0.173
Pos97_Unpaired,-0.173,-0.173,-0.173
