Feature,Average_Importance_Magnitude,Number_of_Models
Pos22_C,0.0093580329773527,10
Pos21_C,0.009292983862821031,10
Pos40_G,0.006928247965043049,10
Pos21_G,0.0065305202103804905,10
Pos27_T,0.00543020149250493,10
Pos28_C,0.00522597727344751,10
Pos22_T,0.00504382008920428,10
Pos26_T,0.00485858342670814,10
Pos21_T,0.00481158091006453,10
Pos28_T,0.00474008916616635,10
Pos29_C,0.00446899162986285,10
Pos26_A,0.00436974379578463,10
Pos25_G,0.00405966028496859,10
Pos24_G,0.00398647785608391,10
Pos30_C,0.00379729147016963,10
Pos40_C,0.0036881159094409102,10
Pos25_T,0.0036362203557323398,10
Pos23_T,0.00359293586306033,10
Pos27_C,0.003415265332867,10
Pos24_T,0.0033746387778608904,10
Pos33_T,0.00335988155161938,10
Pos33_C,0.0032889947740890697,10
Pos32_C,0.00327038521266581,10
Pos25_C,0.0032608187622802003,10
Pos30_T,0.0032324018970512,10
Pos32_T,0.0030915667532984002,10
Pos34_T,0.00304148887260819,10
Pos35_T,0.00300383956451539,10
Pos22_G,0.00298302509035647,10
Pos31_C,0.00285569980361274,10
Pos27_G,0.00284230532722402,10
Pos34_C,0.00278507736406386,10
Pos29_T,0.00276660170296623,10
Pos31_T,0.00275134548026684,10
Pos23_C,0.00267421743316673,10
Pos35_G,0.0026023292712626803,10
Pos37_G,0.0025950461127906,10
Pos23_G,0.00258251063175449,10
Pos26_G,0.0025617337660887697,10
Pos26_C,0.00252447815619046,10
Pos24_C,0.00248709486848332,10
Pos36_T,0.00246549028375516,10
Pos22_A,0.00238710041980471,10
Pos37_T,0.0023583206783858003,10
Pos39_A,0.00235430536179395,10
Pos35_C,0.00230231816847782,10
Pos38_T,0.0022056791093277802,10
Pos37_C,0.00218148980479905,10
Pos28_G,0.0021703543746973302,10
Pos36_C,0.0021317178054867996,10
Pos33_G,0.00210170069394078,10
Pos30_G,0.00208754991431575,10
Pos32_G,0.00207654861285343,10
Pos39_G,0.00206655708217799,10
Pos27_A,0.00203798525730302,10
Pos40_T,0.00198416561906851,10
Pos39_T,0.00197811134280447,10
Pos37_A,0.0019262872789357001,10
Pos34_G,0.00182693071610764,10
Pos38_G,0.00178001938968033,10
Pos31_G,0.0017776834218128101,10
Pos29_G,0.0017686173922840799,10
Pos38_C,0.0016313129532127002,10
Pos39_C,0.00160543217734692,10
Pos31_A,0.00157639487399742,10
Pos24_A,0.00156679546364491,10
Pos29_A,0.0015412024635528799,10
Pos28_A,0.0014893944309650599,10
Pos34_A,0.0014783142489026599,10
Pos36_G,0.00141194626287926,10
Pos21_A,0.00138582061387518,10
Pos38_A,0.00135349978037367,10
Pos23_A,0.00132059547969065,10
Pos32_A,0.0012957057393781,10
Pos33_A,0.00125988419908825,10
Pos25_A,0.00125341992571307,10
Pos35_A,0.00123519284898494,10
Pos36_A,0.00115660190503155,10
Pos40_A,0.0011365466502499199,10
Pos30_A,0.00100612266411498,10
Pos8_C,0.0,10
Pos3_A,0.0,10
Pos7_T,0.0,10
Pos8_A,0.0,10
Pos4_A,0.0,10
Pos8_G,0.0,10
Pos3_C,0.0,10
Pos8_T,0.0,10
Pos9_A,0.0,10
Pos9_C,0.0,10
Pos9_G,0.0,10
Pos7_G,0.0,10
Pos7_A,0.0,10
Pos7_C,0.0,10
Pos4_C,0.0,10
Pos6_T,0.0,10
Pos6_G,0.0,10
Pos6_C,0.0,10
Pos6_A,0.0,10
Pos3_G,0.0,10
Pos3_T,0.0,10
Pos5_G,0.0,10
Pos5_C,0.0,10
Pos5_A,0.0,10
Pos4_T,0.0,10
Pos4_G,0.0,10
Pos5_T,0.0,10
Pos10_A,0.0,10
Pos2_T,0.0,10
Pos2_G,0.0,10
Pos16_A,0.0,10
Pos15_T,0.0,10
Pos15_G,0.0,10
Pos15_C,0.0,10
Pos15_A,0.0,10
Pos14_T,0.0,10
Pos14_G,0.0,10
Pos14_C,0.0,10
Pos14_A,0.0,10
Pos13_T,0.0,10
Pos13_G,0.0,10
Pos13_C,0.0,10
Pos13_A,0.0,10
Pos12_T,0.0,10
Pos12_G,0.0,10
Pos12_C,0.0,10
Pos12_A,0.0,10
Pos11_T,0.0,10
Pos11_G,0.0,10
Pos11_C,0.0,10
Pos11_A,0.0,10
Pos10_T,0.0,10
Pos10_G,0.0,10
Pos16_C,0.0,10
Pos16_G,0.0,10
Pos16_T,0.0,10
Pos1_A,0.0,10
Pos2_C,0.0,10
Pos2_A,0.0,10
Pos10_C,0.0,10
Pos20_T,0.0,10
Pos20_G,0.0,10
Pos20_C,0.0,10
Pos20_A,0.0,10
Pos1_T,0.0,10
Pos1_G,0.0,10
Pos1_C,0.0,10
Pos19_T,0.0,10
Pos17_A,0.0,10
Pos19_G,0.0,10
Pos19_C,0.0,10
Pos19_A,0.0,10
Pos18_T,0.0,10
Pos18_G,0.0,10
Pos18_C,0.0,10
Pos18_A,0.0,10
Pos17_T,0.0,10
Pos17_G,0.0,10
Pos17_C,0.0,10
Pos9_T,0.0,10
