Feature,Importance Magnitude
Pos13_Unpaired,0.0006164272605139538
Pos14_Unpaired,0.00028643109083578
Pos12_Unpaired,0.00023516073579035783
Pos15_Unpaired,0.0002159177895861724
Pos4_Paired-Opening,0.00020430413719780806
Pos4_Unpaired,0.00018017732246207257
Pos6_Unpaired,0.0001720201524957007
Pos13_Paired-Closing,0.00016025477696743006
Pos13_Paired-Opening,0.0001565667993722857
Pos15_Paired-Closing,0.0001396968833775056
Pos16_Unpaired,0.0001393610047516771
Pos11_Unpaired,0.00013883356331315138
Pos6_Paired-Opening,0.0001344104489551549
Pos10_Unpaired,0.00013325973493137467
Pos19_Unpaired,0.00012126411136294358
Pos12_Paired-Closing,0.00012063962450398251
Pos14_Paired-Opening,0.0001164655097880324
Pos10_Paired-Opening,0.00010451332013074642
Pos14_Paired-Closing,0.0001028865218163773
Pos8_Unpaired,9.316241716541194e-05
Pos5_Unpaired,9.043697359825517e-05
Pos5_Paired-Opening,8.865743897226166e-05
Pos19_Paired-Closing,8.850278548502682e-05
Pos11_Paired-Closing,8.836170258649845e-05
Pos2_Unpaired,8.815330161731273e-05
Pos9_Unpaired,7.930059798480488e-05
Pos16_Paired-Closing,7.734697895767584e-05
Pos7_Paired-Opening,7.513677032145397e-05
Pos7_Unpaired,7.429552739438284e-05
Pos17_Unpaired,7.131050720960665e-05
Pos2_Paired-Opening,7.103152829698983e-05
Pos18_Paired-Closing,6.77082313048307e-05
Pos1_Paired-Opening,6.44962192153975e-05
Pos20_Unpaired,6.351112204427887e-05
Pos3_Paired-Opening,5.818457293774779e-05
Pos18_Unpaired,5.763457115796362e-05
Pos3_Unpaired,5.4280070042797614e-05
Pos20_Paired-Closing,5.0990335314958035e-05
Pos8_Paired-Opening,4.965174130500602e-05
Pos9_Paired-Opening,4.661337076488349e-05
Pos11_Paired-Opening,4.472710384284169e-05
Pos17_Paired-Closing,3.9242856703562916e-05
Pos1_Unpaired,3.907330156847554e-05
Pos12_Paired-Opening,1.8405940648549352e-05
Pos10_Paired-Closing,1.597735402665041e-05
Pos9_Paired-Closing,4.246243612205096e-06
Pos7_Paired-Closing,3.4810136651773e-06
Pos8_Paired-Closing,1.6932893526697135e-06
Pos6_Paired-Closing,3.45108641286e-07
Pos15_Paired-Opening,0.0
Pos16_Paired-Opening,0.0
Pos5_Paired-Closing,0.0
Pos18_Paired-Opening,0.0
Pos4_Paired-Closing,0.0
Pos3_Paired-Closing,0.0
Pos19_Paired-Opening,0.0
Pos2_Paired-Closing,0.0
Pos1_Paired-Closing,0.0
Pos20_Paired-Opening,0.0
Pos17_Paired-Opening,0.0
