Feature,Q1,Q3,Median Spearman Correlation
Pos2_Unpaired,-0.844,-0.208,-0.618
Pos3_Unpaired,-0.841,-0.389,-0.746
Pos4_Unpaired,-0.808,-0.67,-0.702
Pos5_Unpaired,-1.0,-1.0,-1.0
Pos6_Unpaired,-1.0,-1.0,-1.0
Pos7_Unpaired,-1.0,-0.967,-1.0
Pos8_Unpaired,-0.916,-0.569,-0.722
Pos9_Unpaired,-1.0,-0.84,-1.0
Pos10_Unpaired,-0.999,-0.945,-0.999
Pos11_Unpaired,-0.305,-0.234,-0.296
Pos12_Unpaired,-0.348,-0.348,-0.348
Pos13_Unpaired,-1.0,-1.0,-1.0
Pos14_Unpaired,-1.0,-1.0,-1.0
Pos15_Unpaired,-1.0,-1.0,-1.0
Pos16_Unpaired,-0.344,-0.344,-0.344
Pos17_Unpaired,-0.314,-0.314,-0.314
Pos18_Unpaired,-1.0,-1.0,-1.0
Pos19_Unpaired,-1.0,-1.0,-1.0
Pos20_Unpaired,-1.0,-1.0,-1.0
Pos21_Unpaired,-1.0,-1.0,-1.0
Pos22_Unpaired,-0.999,-0.973,-0.999
Pos23_Unpaired,-0.445,-0.294,-0.375
