Feature,Average_Importance_Magnitude,Number_of_Models
Pos56_Unpaired,0.00652379992135627,10
Pos62_Paired-Closing,0.006326791959523891,10
Pos4_Unpaired,0.00616549851119464,10
Pos52_Unpaired,0.00588110851132274,10
Pos56_Paired-Closing,0.00571183053133726,10
Pos4_Paired-Opening,0.0056831029134497505,10
Pos62_Unpaired,0.00547705178696066,10
Pos20_Unpaired,0.00506473556358777,10
Pos14_Unpaired,0.00501951093418198,10
Pos63_Paired-Closing,0.0047241079356317005,10
Pos14_Paired-Opening,0.004657254330794671,10
Pos9_Paired-Opening,0.00458055327889628,10
Pos9_Unpaired,0.00456962025391933,10
Pos61_Unpaired,0.00410708956141073,10
Pos52_Paired-Closing,0.00407675431679553,10
Pos63_Unpaired,0.00379847542484339,10
Pos11_Unpaired,0.0035454566608805497,10
Pos53_Unpaired,0.0034768799751397302,10
Pos64_Unpaired,0.0032909351255851495,10
Pos11_Paired-Opening,0.00328571513100463,10
Pos67_Unpaired,0.00326461897428919,10
Pos17_Unpaired,0.00306649969329871,10
Pos18_Paired-Opening,0.00303583446208749,10
Pos18_Unpaired,0.0030163951714881803,10
Pos19_Unpaired,0.00289774063616664,10
Pos57_Paired-Closing,0.00282945144103501,10
Pos15_Unpaired,0.00281738143089987,10
Pos19_Paired-Opening,0.00280151060569888,10
Pos17_Paired-Opening,0.00274301747150943,10
Pos7_Unpaired,0.00271056265495359,10
Pos10_Unpaired,0.00270538727033712,10
Pos10_Paired-Opening,0.00268317851790527,10
Pos66_Unpaired,0.0026221043801977996,10
Pos6_Unpaired,0.0025995452602455,10
Pos6_Paired-Opening,0.00259657583012064,10
Pos20_Paired-Opening,0.00258490557989102,10
Pos58_Unpaired,0.0025672885482549103,10
Pos57_Unpaired,0.0025400890761395198,10
Pos5_Unpaired,0.0025311532128734797,10
Pos61_Paired-Closing,0.00249448979205129,10
Pos13_Paired-Opening,0.00248829879329175,10
Pos5_Paired-Opening,0.00248779795366695,10
Pos66_Paired-Closing,0.00247363891726869,10
Pos8_Paired-Opening,0.0023896599849549003,10
Pos8_Unpaired,0.00237877645000199,10
Pos12_Paired-Opening,0.0023773049416851402,10
Pos16_Unpaired,0.00235421602302294,10
