Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,-0.473,-0.473,-0.473
Pos2_Paired-Opening,-0.421,-0.38,-0.421
Pos3_Paired-Opening,-0.319,-0.302,-0.318
Pos4_Paired-Opening,-0.323,-0.323,-0.323
Pos5_Paired-Opening,-0.3,-0.3,-0.3
Pos6_Paired-Opening,-0.249,-0.249,-0.249
Pos7_Paired-Opening,-0.271,-0.271,-0.271
Pos8_Paired-Opening,-0.26,-0.26,-0.26
Pos9_Paired-Opening,-1.0,-1.0,-1.0
Pos10_Paired-Opening,-0.266,-0.265,-0.266
Pos11_Paired-Opening,-0.291,-0.291,-0.291
Pos12_Paired-Opening,-1.0,-0.867,-1.0
Pos13_Paired-Opening,-0.249,-0.249,-0.249
Pos14_Paired-Opening,-1.0,-1.0,-1.0
Pos15_Paired-Opening,-0.197,-0.196,-0.197
Pos16_Paired-Opening,-0.26,-0.26,-0.26
Pos17_Paired-Opening,-0.237,-0.237,-0.237
Pos18_Paired-Opening,-0.278,-0.228,-0.255
Pos19_Paired-Opening,-0.363,-0.358,-0.363
Pos20_Paired-Opening,-0.398,-0.398,-0.398
Pos21_Paired-Opening,-0.34,-0.307,-0.321
