Feature,Average_Importance_Magnitude,Number_of_Models
Pos40_Unpaired,0.00451659602106349,10
Pos40_Paired-Closing,0.00407283751417934,10
Pos39_Paired-Closing,0.00235370304796062,10
Pos23_Paired-Opening,0.00208486059004032,10
Pos22_Unpaired,0.00186912419068422,10
Pos39_Unpaired,0.00183053801657358,10
Pos23_Unpaired,0.0017482218100047999,10
Pos21_Unpaired,0.00174610690110036,10
Pos38_Unpaired,0.0015959400620460598,10
Pos24_Paired-Opening,0.0015421184003697199,10
Pos38_Paired-Closing,0.00150419915793974,10
Pos22_Paired-Opening,0.0012765768822932601,10
Pos21_Paired-Opening,0.0012709702390249701,10
Pos24_Unpaired,0.0012079775734089402,10
Pos25_Paired-Opening,0.0010840325243040001,10
Pos27_Unpaired,0.00105095356992076,10
Pos26_Unpaired,0.00105033574726875,10
Pos25_Unpaired,0.00104413597823254,10
Pos37_Paired-Closing,0.00102416279300247,10
Pos26_Paired-Opening,0.00096334494331625,10
Pos28_Unpaired,0.00095529242592222,10
Pos19_Paired-Opening,0.0009097607228045701,10
Pos33_Unpaired,0.0009058058718757801,10
Pos31_Unpaired,0.0008994538702450899,10
Pos20_Paired-Opening,0.0008866297979503,10
Pos36_Unpaired,0.00087028767856894,10
Pos19_Unpaired,0.00086195815342906,10
Pos20_Unpaired,0.0008561620018097099,10
Pos32_Unpaired,0.00085043296223617,10
Pos29_Unpaired,0.0008247098502901701,10
Pos34_Unpaired,0.00079163888210971,10
Pos27_Paired-Opening,0.00077761011973972,10
Pos37_Unpaired,0.00077585805364881,10
Pos35_Paired-Closing,0.00077493654368722,10
Pos33_Paired-Closing,0.0007663657732221499,10
Pos32_Paired-Closing,0.00075539438746587,10
Pos30_Unpaired,0.00075027884842479,10
Pos35_Unpaired,0.0007171871017372,10
Pos19_Paired-Closing,0.0006910103393704,10
Pos28_Paired-Opening,0.00068406719282991,10
Pos18_Paired-Opening,0.0006688365651024601,10
Pos18_Paired-Closing,0.00062136554609375,10
Pos17_Paired-Opening,0.00061764577144132,10
Pos34_Paired-Closing,0.0006077579474110301,10
Pos31_Paired-Closing,0.0005959912415923701,10
Pos3_Unpaired,0.00056168420978504,10
Pos17_Paired-Closing,0.00055857054456255,10
Pos29_Paired-Opening,0.00053780647471375,10
Pos4_Unpaired,0.0005340041170571,10
Pos30_Paired-Closing,0.00053387825324175,10
Pos3_Paired-Opening,0.00052042523665972,10
Pos16_Paired-Opening,0.00051263864674385,10
Pos29_Paired-Closing,0.0005041599537261999,10
Pos36_Paired-Closing,0.000500144779947,10
Pos9_Paired-Opening,0.00049276908806207,10
Pos4_Paired-Opening,0.00045945263796412,10
Pos24_Paired-Closing,0.00045589824090349,10
Pos28_Paired-Closing,0.00045050064345054003,10
Pos15_Paired-Opening,0.00044438160198835,10
Pos14_Paired-Opening,0.00044178632113322,10
Pos16_Paired-Closing,0.00042151299884454996,10
Pos27_Paired-Closing,0.00040630190073510003,10
Pos15_Paired-Closing,0.00038530984638757,10
Pos5_Paired-Opening,0.0003821640542078,10
Pos23_Paired-Closing,0.00037719916169174,10
Pos12_Unpaired,0.00036727939661985,10
Pos16_Unpaired,0.0003664411587382,10
Pos13_Unpaired,0.00036203115379172,10
Pos14_Unpaired,0.00036192990962458,10
Pos8_Paired-Opening,0.00036092354971011,10
Pos26_Paired-Closing,0.00035968455972926,10
Pos9_Unpaired,0.0003572067270510634,10
Pos25_Paired-Closing,0.00035083720140336,10
Pos8_Unpaired,0.00035073764090589314,10
Pos6_Unpaired,0.0003501486942270804,10
Pos11_Unpaired,0.0003418491558813,10
Pos7_Paired-Opening,0.00033017635325870615,10
Pos13_Paired-Opening,0.00032742256377758,10
Pos11_Paired-Opening,0.00031930867601038,10
Pos5_Unpaired,0.00031921979997675,10
Pos10_Paired-Opening,0.00030862614208968994,10
Pos6_Paired-Opening,0.0002997331228523085,10
Pos21_Paired-Closing,0.00029945113193044373,10
Pos22_Paired-Closing,0.00028780347999602,10
Pos7_Unpaired,0.00028770556590406414,10
Pos12_Paired-Opening,0.00027479815790057,10
Pos17_Unpaired,0.000271465561618,10
Pos30_Paired-Opening,0.00026791082052986,10
Pos2_Unpaired,0.0002656242169199906,10
Pos18_Unpaired,0.00025006947282113,10
Pos10_Unpaired,0.00023809430182091936,10
Pos2_Paired-Opening,0.0002109985040456131,10
Pos31_Paired-Opening,0.00018877327123299707,10
Pos15_Unpaired,0.00016933785024517508,10
Pos1_Paired-Opening,0.0001380244721567856,10
Pos32_Paired-Opening,0.00011001837152590255,10
Pos1_Unpaired,7.558186267182046e-05,10
Pos33_Paired-Opening,4.95057680335933e-05,10
Pos20_Paired-Closing,1.7063432707150298e-06,10
Pos34_Paired-Opening,1.0625716922836652e-06,10
Pos8_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos9_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos40_Paired-Opening,0.0,10
Pos13_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos39_Paired-Opening,0.0,10
Pos38_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
Pos37_Paired-Opening,0.0,10
Pos36_Paired-Opening,0.0,10
Pos35_Paired-Opening,0.0,10
Pos2_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
