Feature,Average_Importance_Magnitude,Number_of_Models
Pos56_Unpaired,0.0012535100455987,10
Pos62_Unpaired,0.0012113335092767,10
Pos62_Paired-Closing,0.0011044677010732,10
Pos10_Unpaired,0.0010674315738454,10
Pos1_Unpaired,0.0010147342187609,10
Pos12_Unpaired,0.000911215622444,10
Pos56_Paired-Closing,0.0009047169957199,10
Pos10_Paired-Opening,0.0008865586175527,10
Pos7_Unpaired,0.0008243221829433,10
Pos1_Paired-Opening,0.0008133651941408,10
Pos6_Unpaired,0.0008032501642149,10
Pos20_Unpaired,0.0007051727923351,10
Pos52_Unpaired,0.0006642552863753,10
Pos12_Paired-Opening,0.0006564694986003,10
Pos7_Paired-Opening,0.0006482255231339,10
Pos6_Paired-Opening,0.0006462887238999,10
Pos17_Unpaired,0.0006437801745055,10
Pos78_Unpaired,0.0006318197164939,10
Pos2_Unpaired,0.0006303143154649,10
Pos17_Paired-Opening,0.0006246972351399,10
Pos2_Paired-Opening,0.0006204839780207,10
Pos77_Unpaired,0.0006204204937638,10
Pos67_Unpaired,0.0006001986626875,10
Pos19_Unpaired,0.0005894047862899,10
Pos64_Unpaired,0.0005885162666422,10
Pos57_Unpaired,0.0005693205649492,10
Pos53_Unpaired,0.0005511349316322,10
Pos80_Unpaired,0.0005499836294976,10
Pos18_Unpaired,0.0005435883151797,10
Pos79_Unpaired,0.0005415327860691,10
Pos67_Paired-Closing,0.000541219134677,10
Pos4_Unpaired,0.0005370237617143,10
Pos78_Paired-Closing,0.0005148285206842,10
Pos66_Unpaired,0.0005034900547973,10
Pos11_Unpaired,0.0004858404376819,10
Pos13_Unpaired,0.0004826275432569,10
Pos3_Unpaired,0.0004538552883318,10
Pos5_Paired-Opening,0.0004463544231191,10
Pos11_Paired-Opening,0.0004434505916603,10
Pos5_Unpaired,0.0004421254168147,10
Pos20_Paired-Opening,0.0004406151992485,10
Pos18_Paired-Opening,0.0004342679700369,10
Pos8_Paired-Opening,0.000429525245918,10
Pos79_Paired-Closing,0.0004248811301526,10
Pos8_Unpaired,0.0004232013770413,10
Pos14_Unpaired,0.0004212276280552,10
Pos57_Paired-Closing,0.0004208971038723,10
Pos15_Unpaired,0.0004112901683765,10
Pos55_Unpaired,0.0004102356674798,10
Pos77_Paired-Closing,0.0004101773576544,10
Pos53_Paired-Closing,0.0004096116557778,10
Pos61_Paired-Closing,0.0003960350705746,10
Pos54_Paired-Closing,0.0003936643306378,10
Pos4_Paired-Opening,0.0003926709443623,10
Pos19_Paired-Opening,0.0003892876643468,10
Pos63_Unpaired,0.0003885786966503,10
Pos66_Paired-Closing,0.0003875327418829,10
Pos14_Paired-Opening,0.0003870609002842,10
Pos61_Unpaired,0.0003852263923275,10
Pos13_Paired-Opening,0.000375862013883,10
Pos64_Paired-Closing,0.000374952728658,10
Pos16_Unpaired,0.0003700745531371,10
Pos58_Unpaired,0.0003682134994443,10
Pos15_Paired-Opening,0.0003677377012001,10
Pos54_Unpaired,0.00036601535535,10
Pos9_Unpaired,0.000363393541282,10
Pos65_Unpaired,0.000362477535811,10
Pos60_Unpaired,0.0003472009325422,10
Pos3_Paired-Opening,0.0003274422959449,10
Pos16_Paired-Opening,0.000321255642895,10
Pos80_Paired-Closing,0.0003134182864319,10
Pos63_Paired-Closing,0.0003109704083033,10
Pos71_Paired-Closing,0.0003107308385823,10
Pos58_Paired-Closing,0.0003040670222814,10
Pos70_Paired-Closing,0.0003005354451972,10
Pos9_Paired-Opening,0.000295065142466,10
Pos60_Paired-Closing,0.0002785559760037,10
Pos69_Unpaired,0.0002781174526845,10
Pos59_Unpaired,0.0002749420621177,10
Pos51_Unpaired,0.000273690718327,10
Pos65_Paired-Closing,0.0002688788970166,10
Pos68_Unpaired,0.0002563495392773,10
Pos55_Paired-Closing,0.0002533864743284,10
Pos52_Paired-Closing,0.000226596337922,10
Pos73_Paired-Closing,0.0002240260422948,10
Pos73_Unpaired,0.000223716340525,10
Pos59_Paired-Closing,0.0002209375463314,10
Pos46_Unpaired,0.0002190449675056,10
Pos39_Unpaired,0.0002115507860651,10
Pos72_Paired-Opening,0.0002046167604553,10
Pos68_Paired-Closing,0.0001988075609042,10
Pos69_Paired-Closing,0.0001973488646684,10
Pos70_Paired-Opening,0.0001946089036242,10
Pos49_Paired-Opening,0.0001910438280744,10
Pos48_Unpaired,0.0001824834601107,10
Pos51_Paired-Closing,0.0001712138811872,10
Pos31_Paired-Closing,0.0001693467698005,10
Pos38_Unpaired,0.0001646224245446,10
Pos54_Paired-Opening,0.0001618462698134,10
Pos45_Paired-Opening,0.0001582502173547,10
Pos32_Unpaired,0.0001567437898051,10
Pos46_Paired-Closing,0.0001541591685914,10
Pos38_Paired-Closing,0.0001497572907759,10
Pos47_Unpaired,0.0001490493673448,10
Pos72_Paired-Closing,0.0001484434721607,10
Pos49_Paired-Closing,0.0001469092351404,10
Pos49_Unpaired,0.0001445098821579,10
Pos31_Unpaired,0.00014069779815,10
Pos31_Paired-Opening,0.0001392815565822,10
Pos69_Paired-Opening,0.0001383495728127,10
Pos71_Paired-Opening,0.0001372928734259,10
Pos52_Paired-Opening,0.0001354049138188,10
Pos37_Unpaired,0.0001348975959658,10
Pos43_Unpaired,0.0001296686764343,10
Pos72_Unpaired,0.0001264905120263,10
Pos41_Unpaired,0.0001253775153514,10
