Feature,Q1,Q3,Median Spearman Correlation
Pos2_G,-0.854,-0.835,-0.852
Pos2_T,-0.555,-0.348,-0.503
Pos3_G,-0.794,-0.751,-0.793
Pos3_T,-0.788,-0.609,-0.738
Pos4_G,-0.793,-0.538,-0.674
Pos4_T,-0.171,-0.003,-0.057
Pos5_G,-0.718,-0.355,-0.429
Pos5_T,-0.523,-0.42,-0.495
Pos6_G,-0.829,-0.696,-0.798
Pos6_T,-0.541,-0.248,-0.467
Pos7_T,-0.694,-0.57,-0.619
Pos8_C,-0.618,-0.463,-0.529
Pos8_T,-0.555,-0.096,-0.351
Pos9_C,-0.733,-0.733,-0.733
Pos10_C,-0.567,-0.548,-0.567
Pos11_G,-0.842,-0.675,-0.783
Pos11_T,-0.445,-0.218,-0.352
Pos12_G,-0.844,-0.709,-0.801
Pos12_T,-0.453,-0.203,-0.319
Pos13_G,-0.346,-0.194,-0.296
Pos13_T,-0.48,-0.459,-0.468
Pos14_T,-0.577,-0.577,-0.577
Pos15_C,-0.718,-0.167,-0.481
Pos15_T,-0.652,-0.65,-0.652
Pos16_C,-0.658,-0.586,-0.658
Pos17_C,-0.518,-0.377,-0.438
Pos17_G,-0.799,-0.753,-0.787
Pos18_C,-0.796,-0.781,-0.793
Pos18_G,-0.7,-0.666,-0.699
Pos19_C,-0.838,-0.752,-0.826
Pos19_G,-0.57,-0.027,-0.318
Pos20_G,-0.842,-0.842,-0.842
