Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.281,-0.281,-0.281
Pos2_Unpaired,-0.335,-0.335,-0.335
Pos3_Unpaired,-0.377,-0.271,-0.374
Pos4_Unpaired,-0.424,-0.424,-0.424
Pos5_Unpaired,-0.421,-0.421,-0.421
Pos6_Unpaired,-0.728,-0.728,-0.728
Pos7_Unpaired,-0.694,-0.694,-0.694
Pos8_Unpaired,-0.682,-0.682,-0.682
Pos9_Unpaired,-0.677,-0.586,-0.661
Pos10_Unpaired,-0.618,-0.575,-0.618
Pos11_Unpaired,-0.699,-0.354,-0.636
Pos12_Unpaired,-0.72,-0.641,-0.72
Pos13_Unpaired,-0.709,-0.362,-0.706
Pos14_Unpaired,-0.704,-0.135,-0.662
Pos15_Unpaired,-0.445,-0.445,-0.445
Pos16_Unpaired,-0.505,-0.505,-0.505
Pos17_Unpaired,-0.531,-0.531,-0.531
Pos18_Paired-Opening,-0.727,-0.3,-0.616
Pos19_Paired-Opening,-0.648,-0.637,-0.648
Pos20_Paired-Opening,-0.745,-0.745,-0.745
Pos20_Paired-Closing,-1.0,-1.0,-1.0
Pos21_Paired-Opening,-0.826,-0.726,-0.8
Pos21_Paired-Closing,-0.351,-0.13,-0.274
Pos22_Unpaired,-0.827,-0.108,-0.665
Pos23_Paired-Opening,-0.777,-0.043,-0.359
Pos24_Paired-Opening,-0.859,-0.62,-0.854
Pos25_Paired-Opening,-0.834,-0.013,-0.356
Pos27_Unpaired,-0.66,-0.005,-0.249
Pos29_Paired-Opening,-0.628,-0.128,-0.511
Pos29_Paired-Closing,-0.76,-0.012,-0.685
Pos30_Paired-Opening,-0.51,-0.077,-0.39
Pos30_Paired-Closing,-0.759,-0.328,-0.535
Pos31_Unpaired,-0.851,-0.205,-0.805
Pos33_Paired-Closing,-0.834,-0.215,-0.74
Pos37_Unpaired,-0.854,-0.01,-0.762
Pos38_Paired-Closing,-0.865,-0.547,-0.798
Pos39_Paired-Closing,-0.853,-0.853,-0.853
Pos40_Paired-Closing,-0.77,-0.712,-0.769
