Feature,Model,Spearman Correlation,P-Value
Pos1_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos1_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos1_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos1_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos2_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos2_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos2_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos2_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos3_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos3_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos3_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos3_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos4_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos4_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos4_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos4_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos5_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos5_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos5_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos5_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos6_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos6_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos6_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos6_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos7_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos7_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos7_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos7_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos8_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos8_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos8_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos8_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos9_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos9_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos9_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos9_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos10_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos10_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos10_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos10_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos11_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos11_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos11_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos11_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos12_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos12_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos12_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos12_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos13_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos13_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos13_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos13_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos14_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos14_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos14_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos14_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos15_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos15_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos15_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos15_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos16_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos16_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos16_G,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos16_T,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos17_A,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
,97,,
Pos17_C,18,,
,23,,
,24,,
,25,,
,44,,
,67,,
,70,,
,95,,
,96,,
