Feature,Importance Magnitude
Pos20_G,0.01183310202064257
Pos20_C,0.0091245216538857
Pos2_A,0.0077588894351785925
Pos11_A,0.006905940298996435
Pos9_A,0.006810088216576609
Pos12_C,0.006247785727438573
Pos15_A,0.00618982019160551
Pos3_A,0.006024205576340179
Pos13_C,0.005941705934015418
Pos18_A,0.005595840099499186
Pos17_A,0.005564070259028036
Pos19_C,0.005100154519480171
Pos14_T,0.005058118339583951
Pos3_T,0.005038671771445739
Pos2_G,0.004917924517718351
Pos4_G,0.0048479862709061095
Pos14_A,0.004659228396836297
Pos18_C,0.004629393512965523
Pos9_C,0.004557482306801418
Pos6_C,0.004487790797556468
Pos4_C,0.0043952017950533865
Pos8_A,0.0040202406404895525
Pos5_A,0.003964380343289383
Pos11_G,0.00393369376572709
Pos12_G,0.003923962808630646
Pos15_T,0.003911020553340082
Pos18_T,0.0038443369291461414
Pos16_C,0.0038392978720760097
Pos10_C,0.0038182317052077304
Pos13_G,0.0037607464510659937
Pos16_A,0.0035991878090191926
Pos3_G,0.0034463293917398616
Pos10_A,0.0034323748877088155
Pos17_G,0.0033852502191731456
Pos10_G,0.003366593718387609
Pos12_A,0.0032960904368841202
Pos5_G,0.003129751251642143
Pos14_C,0.003118241643096014
Pos6_G,0.003018560943749904
Pos16_T,0.002994258636819537
Pos5_T,0.0028372638829549284
Pos14_G,0.0028299609439039124
Pos12_T,0.002636867149600411
Pos6_A,0.002636434671946543
Pos5_C,0.0026217953870096115
Pos15_G,0.002558731721547253
Pos8_C,0.0025476781616613777
Pos18_G,0.0025389404349983186
Pos19_G,0.0024367123278139138
Pos16_G,0.002351350221432072
Pos3_C,0.0023414236271065846
Pos7_T,0.0022179150798937613
Pos7_C,0.0021937868444181613
Pos9_G,0.002175118813831957
Pos11_C,0.0021419965565640325
Pos13_A,0.0021378513053963138
Pos6_T,0.0021376037735018395
Pos8_T,0.002116994393596695
Pos8_G,0.0020745385650595837
Pos20_T,0.0020605058809056286
Pos17_T,0.0019860697492327228
Pos7_G,0.0019786309642749584
Pos4_A,0.0019196346135045928
Pos9_T,0.0018507756254830098
Pos13_T,0.0017421033034516835
Pos15_C,0.0016389538635055466
Pos2_C,0.0016384565425252272
Pos10_T,0.0015948302489628525
Pos11_T,0.0015911287378209918
Pos2_T,0.0014722774416764438
Pos19_A,0.001421809577830853
Pos17_C,0.0011342358991072148
Pos7_A,0.0010476375502269466
Pos4_T,0.0010445230836402632
Pos19_T,0.0009353598158024156
Pos20_A,0.0009039897791004734
Pos73_A,0.0
Pos75_A,0.0
Pos74_T,0.0
Pos74_G,0.0
Pos74_C,0.0
Pos74_A,0.0
Pos73_T,0.0
Pos73_G,0.0
Pos73_C,0.0
Pos72_C,0.0
Pos72_T,0.0
Pos72_G,0.0
Pos75_G,0.0
Pos71_A,0.0
Pos72_A,0.0
Pos71_T,0.0
Pos71_G,0.0
Pos71_C,0.0
Pos75_C,0.0
Pos79_C,0.0
Pos75_T,0.0
Pos76_A,0.0
Pos70_G,0.0
Pos80_A,0.0
Pos80_C,0.0
Pos79_T,0.0
Pos79_G,0.0
Pos79_A,0.0
Pos78_T,0.0
Pos78_G,0.0
Pos78_C,0.0
Pos78_A,0.0
Pos77_T,0.0
Pos77_G,0.0
Pos77_C,0.0
Pos77_A,0.0
Pos76_T,0.0
Pos76_G,0.0
Pos76_C,0.0
Pos70_T,0.0
Pos1_A,0.0
Pos70_C,0.0
Pos70_A,0.0
Pos64_T,0.0
Pos64_G,0.0
Pos64_C,0.0
Pos64_A,0.0
Pos63_T,0.0
Pos63_G,0.0
Pos63_C,0.0
Pos63_A,0.0
Pos62_T,0.0
Pos62_G,0.0
Pos62_C,0.0
Pos62_A,0.0
Pos61_T,0.0
Pos61_G,0.0
Pos80_T,0.0
Pos61_C,0.0
Pos61_A,0.0
Pos65_A,0.0
Pos65_C,0.0
Pos65_G,0.0
Pos68_A,0.0
Pos69_T,0.0
Pos69_G,0.0
Pos69_C,0.0
Pos69_A,0.0
Pos68_T,0.0
Pos68_G,0.0
Pos68_C,0.0
Pos67_T,0.0
Pos65_T,0.0
Pos67_G,0.0
Pos67_C,0.0
Pos67_A,0.0
Pos66_T,0.0
Pos66_G,0.0
Pos66_C,0.0
Pos66_A,0.0
Pos80_G,0.0
Pos90_C,0.0
Pos81_A,0.0
Pos81_C,0.0
Pos95_G,0.0
Pos95_C,0.0
Pos95_A,0.0
Pos94_T,0.0
Pos94_G,0.0
Pos94_C,0.0
Pos94_A,0.0
Pos93_T,0.0
Pos93_G,0.0
Pos93_C,0.0
Pos93_A,0.0
Pos92_T,0.0
Pos92_G,0.0
Pos92_C,0.0
Pos92_A,0.0
Pos91_T,0.0
Pos91_G,0.0
Pos95_T,0.0
Pos96_A,0.0
Pos96_C,0.0
Pos98_T,0.0
Pos100_G,0.0
Pos100_C,0.0
