Feature,Average_Importance_Magnitude,Number_of_Models
Pos10_Unpaired,0.0083087150343818,10
Pos16_Unpaired,0.007742179718249339,10
Pos6_Unpaired,0.00735680568529343,10
Pos17_Unpaired,0.007203648918433241,10
Pos2_Unpaired,0.00712836208531565,10
Pos7_Unpaired,0.00670459496909408,10
Pos15_Unpaired,0.00667942831869682,10
Pos9_Unpaired,0.0066729617169407705,10
Pos5_Unpaired,0.00665776071191789,10
Pos22_Unpaired,0.006567493310536759,10
Pos23_Unpaired,0.00636954841853121,10
Pos12_Unpaired,0.00617799111339722,10
Pos18_Unpaired,0.00610364318908577,10
Pos21_Unpaired,0.0060236995475616605,10
Pos3_Unpaired,0.0058634308257222,10
Pos10_Paired-Opening,0.00561753043497103,10
Pos16_Paired-Opening,0.00535774178291175,10
Pos17_Paired-Opening,0.00504620848153068,10
Pos20_Unpaired,0.00503911128294082,10
Pos11_Unpaired,0.0050357839476085796,10
Pos6_Paired-Opening,0.0049236674900711205,10
Pos2_Paired-Opening,0.0046328944265988095,10
Pos14_Unpaired,0.00457268941835622,10
Pos15_Paired-Opening,0.0044354889404095,10
Pos21_Paired-Opening,0.0043468220098949895,10
Pos8_Unpaired,0.0042916211819484995,10
Pos7_Paired-Opening,0.00412992982683789,10
Pos9_Paired-Opening,0.0041259348406616,10
Pos4_Unpaired,0.00410684719514937,10
Pos5_Paired-Opening,0.0040237156040633295,10
Pos12_Paired-Opening,0.0038566931866618804,10
Pos3_Paired-Opening,0.0037904106742907297,10
Pos1_Unpaired,0.0037635656161932795,10
Pos18_Paired-Opening,0.00372801903804977,10
Pos22_Paired-Opening,0.00351139357345649,10
Pos20_Paired-Opening,0.0033632627635205,10
Pos19_Unpaired,0.0033386504928295904,10
Pos11_Paired-Opening,0.0032624521011395797,10
Pos14_Paired-Opening,0.00307378412468453,10
Pos1_Paired-Opening,0.0029381787902666304,10
Pos13_Unpaired,0.00284271369449858,10
Pos23_Paired-Opening,0.0024717358075474097,10
Pos8_Paired-Opening,0.00228011569429959,10
Pos4_Paired-Opening,0.0021918967791318003,10
Pos19_Paired-Opening,0.00211938483551162,10
Pos13_Paired-Opening,0.00173561900019717,10
Pos9_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos21_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos23_Paired-Closing,0.0,10
Pos1_Paired-Closing,0.0,10
Pos22_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
