Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.446,0.676,0.607
Pos2_Paired-Opening,0.816,0.829,0.829
Pos4_Unpaired,0.546,0.704,0.679
Pos5_Unpaired,0.241,0.445,0.335
Pos6_Unpaired,0.624,0.808,0.724
Pos9_Unpaired,0.435,0.668,0.522
Pos10_Unpaired,0.787,0.836,0.8
Pos11_Unpaired,0.834,0.84,0.837
Pos12_Unpaired,0.232,0.378,0.288
Pos13_Paired-Closing,0.042,0.183,0.091
Pos14_Unpaired,0.794,0.829,0.825
Pos15_Unpaired,0.215,0.598,0.423
Pos16_Unpaired,0.176,0.478,0.344
Pos16_Paired-Closing,0.29,0.347,0.339
Pos17_Unpaired,0.705,0.801,0.736
Pos17_Paired-Closing,0.069,0.192,0.135
Pos18_Paired-Opening,0.694,0.782,0.751
Pos19_Unpaired,0.023,0.277,0.153
Pos19_Paired-Closing,0.19,0.352,0.303
Pos20_Unpaired,0.863,0.864,0.864
Pos20_Paired-Closing,0.405,0.405,0.405
Pos21_Paired-Closing,0.386,0.451,0.444
Pos22_Paired-Opening,0.132,0.459,0.242
Pos23_Paired-Opening,0.487,0.535,0.525
Pos24_Paired-Opening,0.624,0.666,0.648
Pos25_Paired-Opening,0.628,0.669,0.661
Pos25_Paired-Closing,0.251,0.42,0.383
Pos26_Paired-Opening,0.581,0.678,0.613
Pos27_Unpaired,0.262,0.481,0.351
Pos28_Paired-Opening,0.249,0.4,0.293
Pos29_Unpaired,0.287,0.328,0.317
Pos30_Paired-Closing,0.531,0.531,0.531
Pos31_Paired-Closing,0.427,0.469,0.44
Pos32_Unpaired,0.377,0.48,0.434
Pos32_Paired-Closing,0.149,0.196,0.182
Pos33_Unpaired,0.422,0.509,0.455
Pos34_Unpaired,0.186,0.323,0.289
Pos34_Paired-Opening,0.196,0.196,0.196
Pos35_Unpaired,0.377,0.377,0.377
Pos36_Unpaired,0.339,0.339,0.339
Pos37_Paired-Closing,0.07,0.608,0.528
Pos38_Unpaired,0.381,0.477,0.429
Pos38_Paired-Opening,0.049,0.159,0.12
Pos39_Unpaired,0.606,0.613,0.613
Pos40_Paired-Closing,0.654,0.658,0.658
Pos41_Unpaired,0.351,0.636,0.617
Pos42_Unpaired,0.677,0.677,0.677
Pos43_Paired-Closing,0.077,0.16,0.128
Pos44_Paired-Closing,0.674,0.674,0.674
Pos45_Paired-Closing,0.689,0.695,0.692
Pos46_Unpaired,0.755,0.755,0.755
Pos47_Unpaired,0.759,0.759,0.759
Pos48_Unpaired,0.756,0.756,0.756
Pos49_Unpaired,0.383,0.541,0.516
Pos50_Paired-Closing,0.595,0.627,0.619
Pos51_Unpaired,0.826,0.827,0.827
Pos52_Unpaired,0.833,0.833,0.833
Pos53_Unpaired,0.087,0.68,0.355
Pos54_Paired-Closing,0.711,0.749,0.725
Pos55_Unpaired,0.636,0.812,0.733
Pos56_Paired-Closing,0.607,0.824,0.75
Pos58_Unpaired,0.748,0.856,0.771
Pos59_Paired-Closing,0.662,0.833,0.761
Pos60_Paired-Closing,0.829,0.864,0.857
Pos61_Paired-Closing,0.546,0.723,0.571
Pos64_Paired-Closing,0.725,0.819,0.807
Pos65_Unpaired,0.403,0.689,0.463
Pos67_Paired-Closing,0.713,0.713,0.713
Pos68_Unpaired,0.029,0.682,0.514
Pos69_Paired-Opening,0.448,0.816,0.777
Pos70_Paired-Opening,0.412,0.836,0.764
Pos70_Paired-Closing,0.741,0.819,0.815
Pos71_Paired-Closing,0.809,0.813,0.813
Pos72_Paired-Closing,0.643,0.773,0.729
Pos73_Paired-Closing,0.334,0.597,0.475
Pos75_Unpaired,0.344,0.36,0.36
Pos76_Unpaired,0.305,0.305,0.305
Pos78_Unpaired,0.796,0.828,0.823
Pos80_Paired-Closing,0.746,0.808,0.808
Pos81_Paired-Closing,0.418,0.418,0.418
Pos82_Paired-Closing,0.402,0.402,0.402
Pos83_Paired-Closing,0.084,0.181,0.098
Pos84_Paired-Closing,0.094,0.139,0.122
Pos85_Paired-Closing,0.152,0.342,0.303
Pos86_Paired-Closing,0.301,0.331,0.331
Pos87_Paired-Closing,0.381,0.391,0.391
Pos90_Paired-Closing,0.326,0.339,0.339
Pos91_Paired-Closing,0.196,0.196,0.196
Pos93_Unpaired,0.85,1.0,1.0
Pos94_Unpaired,0.051,0.196,0.129
Pos95_Paired-Closing,1.0,1.0,1.0
Pos96_Paired-Closing,0.286,0.286,0.286
Pos97_Paired-Closing,0.319,0.355,0.347
Pos99_Paired-Closing,1.0,1.0,1.0
Pos100_Paired-Closing,1.0,1.0,1.0
