Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,32,0.4477144318369749,1.862096415991255e-50
,43,0.44771443318011966,1.8620950127728583e-50
,62,0.4477144318369749,1.862096415991255e-50
,63,0.4477144318369749,1.862096415991255e-50
,65,0.4477144318369749,1.862096415991255e-50
,67,0.4477144318369749,1.862096415991255e-50
,70,0.4477144318369749,1.862096415991255e-50
,71,0.4477144318369749,1.862096415991255e-50
,74,0.44771443318011966,1.8620950127728583e-50
,82,0.44771443318011966,1.8620950127728583e-50
Pos1_Paired-Opening,32,-0.4477144318369749,1.862096415991255e-50
,43,-0.44771443318011966,1.8620950127728583e-50
,62,-0.4477144318369749,1.862096415991255e-50
,63,-0.4477144318369749,1.862096415991255e-50
,65,-0.4477144318369749,1.862096415991255e-50
,67,-0.4477144318369749,1.862096415991255e-50
,70,-0.4477144318369749,1.862096415991255e-50
,71,-0.4477144318369749,1.862096415991255e-50
,74,-0.44771443318011966,1.8620950127728583e-50
,82,-0.44771443318011966,1.8620950127728583e-50
Pos1_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos2_Unpaired,32,0.558773936604341,3.4576508335302124e-83
,43,0.558773936604341,3.4576508335302124e-83
,62,0.558773936604341,3.4576508335302124e-83
,63,0.558773936604341,3.4576508335302124e-83
,65,0.558773936604341,3.4576508335302124e-83
,67,0.558773936604341,3.4576508335302124e-83
,70,0.558773936604341,3.4576508335302124e-83
,71,0.558773936604341,3.4576508335302124e-83
,74,0.558773936604341,3.4576508335302124e-83
,82,0.558773936604341,3.4576508335302124e-83
Pos2_Paired-Opening,32,-0.558773936604341,3.4576508335302124e-83
,43,-0.558773936604341,3.4576508335302124e-83
,62,-0.558773936604341,3.4576508335302124e-83
,63,-0.558773936604341,3.4576508335302124e-83
,65,-0.558773936604341,3.4576508335302124e-83
,67,-0.558773936604341,3.4576508335302124e-83
,70,-0.558773936604341,3.4576508335302124e-83
,71,-0.558773936604341,3.4576508335302124e-83
,74,-0.558773936604341,3.4576508335302124e-83
,82,-0.558773936604341,3.4576508335302124e-83
Pos2_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos3_Unpaired,32,0.6201591606977879,2.509459200816638e-107
,43,0.6201591606977879,2.509459200816638e-107
,62,0.6201591606977879,2.509459200816638e-107
,63,0.6120225316422283,8.079883899379953e-104
,65,0.42811149511769614,7.824605248882673e-46
,67,0.5840135647981797,1.7187103544536923e-92
,70,0.6201591606977879,2.509459200816638e-107
,71,0.6201591606977879,2.509459200816638e-107
,74,0.6201591606977879,2.509459200816638e-107
,82,0.6201591606977879,2.509459200816638e-107
Pos3_Paired-Opening,32,-0.6201591606977879,2.509459200816638e-107
,43,-0.5985163079067216,3.232367268499215e-98
,62,-0.6201591606977879,2.509459200816638e-107
,63,-0.35212447418741705,1.459383979083428e-30
,65,-0.6201591606977879,2.509459200816638e-107
,67,-0.4313042270895566,1.4486629010843649e-46
,70,-0.6201591606977879,2.509459200816638e-107
,71,-0.6201591606977879,2.509459200816638e-107
,74,-0.6201591606977879,2.509459200816638e-107
,82,-0.6201591606977879,2.509459200816638e-107
Pos3_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos4_Unpaired,32,0.6429038912041312,1.0562006159650802e-117
,43,0.6429038912041312,1.0562006159650802e-117
,62,0.6422692700522258,2.1146549350442478e-117
,63,0.642885225876134,1.0780131873645315e-117
,65,0.6348591348373309,6.2143574711371384e-114
,67,0.6429038912041312,1.0562006159650802e-117
,70,0.6429038912041312,1.0562006159650802e-117
,71,0.6429038912041312,1.0562006159650802e-117
,74,0.6429038912041312,1.0562006159650802e-117
,82,0.6429038912041312,1.0562006159650802e-117
Pos4_Paired-Opening,32,-0.6429038912041312,1.0562006159650802e-117
,43,-0.6429038912041312,1.0562006159650802e-117
,62,-0.6429038912041312,1.0562006159650802e-117
,63,-0.642885225876134,1.0780131873645315e-117
,65,-0.6429038912041312,1.0562006159650802e-117
,67,-0.5577060015608357,8.221994657420077e-83
,70,-0.6429038912041312,1.0562006159650802e-117
,71,-0.6429038912041312,1.0562006159650802e-117
,74,-0.6429038912041312,1.0562006159650802e-117
,82,-0.6180696723038345,2.0428155105997738e-106
Pos4_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos5_Unpaired,32,0.6444628890265253,1.9057149646292918e-118
,43,0.35659497812103047,2.363470332991554e-31
,62,0.6316335882106205,1.8774856420065127e-112
,63,0.3153419796338944,1.5896970974457402e-24
,65,0.6350038399489061,5.328174168154047e-114
,67,0.6180687904684049,2.0446172576604606e-106
,70,0.6444628890265253,1.9057149646292918e-118
,71,0.6444628890265253,1.9057149646292918e-118
,74,0.6397333644877158,3.3333716418132235e-116
,82,0.6444628890265253,1.9057149646292918e-118
Pos5_Paired-Opening,32,-0.6378527267774018,2.5338941409845515e-115
,43,-0.543504298280756,6.171014937596115e-78
,62,-0.6444628890265253,1.9057149646292918e-118
,63,-0.5826997673917564,5.491815456464414e-92
,65,-0.5843662730855496,1.2570893672376468e-92
,67,-0.27618375087359326,5.77014455113293e-19
,70,-0.6408598850963692,9.823224244878908e-117
,71,-0.6444628890265253,1.9057149646292918e-118
,74,-0.6444628890265253,1.9057149646292918e-118
,82,-0.46079347937763776,1.0299065727864497e-53
Pos5_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos6_Unpaired,32,0.6045728785749205,1.0729784872248197e-100
,43,0.6045728785749205,1.0729784872248197e-100
,62,0.6030544496963959,4.54024825778438e-100
,63,0.5817567479100308,1.260173801219096e-91
,65,0.534586208958217,5.427608698666899e-75
,67,0.3220458634517904,1.4509225466676181e-25
,70,0.5889618418042065,2.0614544676135323e-94
,71,0.6045728785749205,1.0729784872248197e-100
,74,0.6023200461865211,9.096600102112276e-100
,82,0.5968417929777264,1.5331541705523197e-97
Pos6_Paired-Opening,32,-0.6045728785749205,1.0729784872248197e-100
,43,-0.5036916396847063,1.910339876937567e-65
,62,-0.6045728785749205,1.0729784872248197e-100
,63,-0.5876815978478034,6.521884365750782e-94
,65,-0.5969410366952771,1.3983904636545253e-97
,67,-0.331920613348078,3.816733131138505e-27
,70,-0.585567706663975,4.319293102925916e-93
,71,-0.6045728785749205,1.0729784872248197e-100
,74,-0.6045728785749205,1.0729784872248197e-100
,82,-0.6045728785749205,1.0729784872248197e-100
Pos6_Paired-Closing,32,,
,43,,
,62,,
,63,,
,65,,
,67,,
,70,,
,71,,
,74,,
,82,,
Pos7_Unpaired,32,0.3127193294379223,3.989255393990495e-24
,43,-0.17742628577626265,1.617901740771113e-08
,62,0.41683970963563216,2.6150435792935082e-43
,63,0.305770465848946,4.368683305756668e-23
,65,0.3848585627791506,1.1866518004672569e-36
,67,0.02617848757084155,0.40826948757370407
,70,0.3455703634889002,1.997562672120762e-29
,71,0.3379972279132853,3.8040323691536943e-28
,74,0.17164409442461082,4.717130597962701e-08
,82,0.5278680175543421,7.854248516929232e-73
Pos7_Paired-Opening,32,-0.5843948506937253,1.2256117797103549e-92
,43,-0.5843948506937253,1.2256117797103549e-92
,62,-0.5741688776740932,9.128922096372311e-89
,63,-0.5487784848251472,1.0163446779260677e-79
,65,-0.5622693769414089,1.985406636872503e-84
,67,-0.2855520829402794,3.2276342725885434e-20
,70,-0.5299692653753821,1.6771931696516813e-73
,71,-0.5762941551992578,1.4686256136965041e-89
,74,-0.5843948506937253,1.2256117797103549e-92
,82,-0.3254190038591866,4.2509987984077655e-26
