Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,0.448,0.448,0.448
Pos2_Unpaired,0.559,0.559,0.559
Pos3_Unpaired,0.614,0.62,0.62
Pos4_Unpaired,0.643,0.643,0.643
Pos5_Unpaired,0.621,0.644,0.637
Pos6_Unpaired,0.584,0.604,0.6
Pos7_Unpaired,0.205,0.375,0.325
Pos10_Unpaired,0.573,0.573,0.573
Pos11_Unpaired,0.573,0.573,0.573
Pos12_Unpaired,0.559,0.559,0.559
Pos13_Unpaired,0.503,0.584,0.581
Pos14_Unpaired,0.221,0.407,0.27
Pos15_Unpaired,0.0,0.239,0.202
Pos18_Unpaired,0.54,0.632,0.583
Pos19_Unpaired,0.565,0.565,0.565
Pos20_Unpaired,0.421,0.421,0.421
