Feature,Average_Importance_Magnitude,Number_of_Models
Pos15_Unpaired,0.0029426898188703496,10
Pos17_Unpaired,0.0027899691284345,10
Pos5_Unpaired,0.00277206885779206,10
Pos2_Unpaired,0.00266931886064166,10
Pos15_Paired-Closing,0.00260516429889555,10
Pos10_Unpaired,0.00249908607244668,10
Pos17_Paired-Closing,0.00239327514175519,10
Pos2_Paired-Opening,0.00220900976670308,10
Pos8_Unpaired,0.0021687035957601497,10
Pos6_Unpaired,0.00204341025875052,10
Pos19_Unpaired,0.00194470911399218,10
Pos11_Unpaired,0.00191760499280959,10
Pos14_Unpaired,0.0018174663924432899,10
Pos7_Unpaired,0.00176913034485765,10
Pos19_Paired-Closing,0.00175257551680587,10
Pos5_Paired-Opening,0.0017068210301919803,10
Pos7_Paired-Opening,0.0015468844844573801,10
Pos1_Unpaired,0.00154562644446399,10
Pos18_Unpaired,0.00150288519221328,10
Pos4_Unpaired,0.00149940653738371,10
Pos14_Paired-Closing,0.00148548971514032,10
Pos18_Paired-Closing,0.00147533190722989,10
Pos11_Paired-Closing,0.0014292013060844002,10
Pos4_Paired-Opening,0.00141049460117857,10
Pos16_Unpaired,0.00140354470535835,10
Pos1_Paired-Opening,0.00136516251577204,10
Pos8_Paired-Opening,0.00126122208397199,10
Pos16_Paired-Closing,0.0012365184923134698,10
Pos6_Paired-Opening,0.00114604494420545,10
Pos12_Paired-Closing,0.0011436446355888598,10
Pos13_Paired-Closing,0.00105972960983705,10
Pos13_Unpaired,0.00102875493765778,10
Pos10_Paired-Closing,0.00099177185538376,10
Pos20_Paired-Closing,0.00098903935481201,10
Pos12_Unpaired,0.00094292102559348,10
Pos9_Unpaired,0.0008445283214563899,10
Pos20_Unpaired,0.0008223320205518501,10
Pos3_Unpaired,0.00080535989084062,10
Pos9_Paired-Opening,0.00075578721634116,10
Pos10_Paired-Opening,0.00074354412167729,10
Pos3_Paired-Opening,0.0006977978522044301,10
Pos11_Paired-Opening,0.00034153296558237,10
Pos12_Paired-Opening,0.00013299317204764247,10
Pos9_Paired-Closing,0.00012969979627362992,10
Pos8_Paired-Closing,0.00012063642478921905,10
Pos13_Paired-Opening,3.738106063066287e-05,10
Pos7_Paired-Closing,1.5195839530671889e-05,10
Pos2_Paired-Closing,0.0,10
Pos15_Paired-Opening,0.0,10
Pos14_Paired-Opening,0.0,10
Pos6_Paired-Closing,0.0,10
Pos16_Paired-Opening,0.0,10
Pos17_Paired-Opening,0.0,10
Pos18_Paired-Opening,0.0,10
Pos5_Paired-Closing,0.0,10
Pos19_Paired-Opening,0.0,10
Pos4_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos20_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
