Feature,Average_Importance_Magnitude,Number_of_Models
Pos20_Unpaired,0.03632940766637926,10
Pos20_Paired-Opening,0.030269459098373162,10
Pos7_Paired-Opening,0.02918580989555839,10
Pos17_Unpaired,0.02850698177518366,10
Pos17_Paired-Opening,0.026427087197177613,10
Pos7_Unpaired,0.02519757417963734,10
Pos6_Paired-Opening,0.02354886575032995,10
Pos9_Unpaired,0.02207647386717064,10
Pos13_Paired-Opening,0.021708060752207207,10
Pos9_Paired-Opening,0.02143775151754902,10
Pos6_Unpaired,0.02067805405498955,10
Pos5_Unpaired,0.0206161146195384,10
Pos19_Unpaired,0.02018111733396795,10
Pos13_Unpaired,0.01905477404392799,10
Pos8_Paired-Opening,0.018994123116334298,10
Pos18_Paired-Opening,0.01852248581871705,10
Pos5_Paired-Opening,0.01844102658874692,10
Pos18_Unpaired,0.01812882386505504,10
Pos4_Unpaired,0.01725833271289236,10
Pos19_Paired-Opening,0.0162503769627738,10
Pos3_Unpaired,0.01581081814493058,10
Pos8_Unpaired,0.015536468550496771,10
Pos10_Paired-Opening,0.014973158944667189,10
Pos14_Paired-Opening,0.01478385508645073,10
Pos14_Unpaired,0.01468901564504079,10
Pos16_Unpaired,0.01385153357563253,10
Pos10_Unpaired,0.01376929008405497,10
Pos15_Paired-Opening,0.01370951119947172,10
Pos15_Unpaired,0.01323686823299594,10
Pos12_Unpaired,0.01259814214489954,10
Pos12_Paired-Opening,0.01066672548969784,10
Pos16_Paired-Opening,0.010303241915534781,10
Pos4_Paired-Opening,0.01023330287020734,10
Pos2_Unpaired,0.01019778921200254,10
Pos3_Paired-Opening,0.00959017783291104,10
Pos11_Unpaired,0.00862329306367736,10
Pos11_Paired-Opening,0.00817790485523248,10
Pos2_Paired-Opening,0.00812897261763065,10
Pos1_Unpaired,0.00515451166817397,10
Pos1_Paired-Opening,0.00500608813553127,10
Pos19_Paired-Closing,0.00035067004577277996,10
Pos20_Paired-Closing,0.00025725228257872997,10
Pos16_Paired-Closing,0.00023988492057985,10
Pos18_Paired-Closing,0.00021147484512365898,10
Pos17_Paired-Closing,0.00020819949343587723,10
Pos14_Paired-Closing,0.00017663889754710783,10
Pos15_Paired-Closing,0.0001578018224754051,10
Pos13_Paired-Closing,0.00013646803305609066,10
Pos12_Paired-Closing,9.770588220760859e-05,10
Pos11_Paired-Closing,5.3628884567219794e-05,10
Pos9_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos1_Paired-Closing,0.0,10
