Feature,Model,Spearman Correlation,P-Value
Pos1_A,32,0.42030283758053844,4.489366195747438e-44
,43,0.48403631535555286,7.307157194865158e-60
,62,0.1830151777457353,5.558917050527459e-09
,63,0.6723462606068132,1.6072111003789362e-132
,65,0.42300597920509464,1.1183809384245876e-44
,67,0.4919940788179426,4.438720398147974e-62
,70,0.5593495879446726,2.1648688403747218e-83
,71,0.5023070547848962,4.857296586197323e-65
,74,0.6700624181781453,2.610357295908639e-131
,82,0.2883930948059915,1.3170469931548772e-20
Pos1_C,32,-0.7898896276858078,3.6815974074284937e-214
,43,-0.7898896276858078,3.6815974074284937e-214
,62,-0.7898896276858078,3.6815974074284937e-214
,63,-0.7898896276858078,3.6815974074284937e-214
,65,-0.7898896276858078,3.6815974074284937e-214
,67,-0.7660685542642648,8.905910114279886e-194
,70,-0.7898896276858078,3.6815974074284937e-214
,71,-0.7898896276858078,3.6815974074284937e-214
,74,-0.7898896276858078,3.6815974074284937e-214
,82,-0.7898896276858078,3.6815974074284937e-214
Pos1_G,32,0.740372762843448,2.3644526004548093e-174
,43,0.7818731427319979,5.155017866491543e-207
,62,0.7818577949583705,5.316426408788776e-207
,63,0.7818040777506745,5.922089217961465e-207
,65,0.7818731427319979,5.155017866491543e-207
,67,0.7817887299770472,6.1074466210033714e-207
,70,0.7757186855074016,9.902304434229648e-202
,71,0.7818654688451843,5.235101746802865e-207
,74,0.7433118614930994,1.863827952320522e-176
,82,0.6535504074331197,7.196074557672515e-123
Pos1_T,32,0.1591898806426834,4.1919080500727415e-07
,43,0.20648646095218554,4.319532857863922e-11
,62,0.32296725996282155,1.0391539396740243e-25
,63,0.5123496630677203,5.059392255441365e-68
,65,0.5617949738352289,2.9318232443663255e-84
,67,0.14633834828358047,3.370021702157876e-06
,70,0.5689274517433642,7.812094838986785e-87
,71,0.7218467976844509,1.0056106369895854e-161
,74,0.2737507113733517,1.198437021498334e-18
,82,0.14359320214711602,5.14514556036555e-06
Pos2_A,32,0.7242627608702125,2.5960558371950784e-163
,43,0.6667484590143646,1.426379514647824e-129
,62,0.5180511287698318,9.249394088160354e-70
,63,0.6942632215093426,1.0238399707253481e-144
,65,0.6873472592326096,9.455723084866858e-141
,67,0.4906937354763605,1.03145782805215e-61
,70,0.3913523563779967,6.040353060382029e-38
,71,0.6604619735436578,2.451423959469876e-126
,74,0.6746914623956661,8.944294843027631e-134
,82,0.709726816204744,5.2702864722669684e-154
Pos2_C,32,0.7656985971581933,1.7657987119292084e-193
,43,0.7758199715541224,8.131119450369215e-202
,62,0.753180258619607,9.818887244046569e-184
,63,0.7759823465444314,5.927218557959108e-202
,65,0.7754952215735044,1.528983679681171e-201
,67,0.7759823465444314,5.927218557959108e-202
,70,0.7756807929910005,1.0659666512034359e-201
,71,0.6304556945155675,6.452651232107587e-112
,74,0.6558093894309622,5.4173294952706734e-124
,82,0.13525836692741725,1.7736505635776787e-05
Pos2_G,32,0.6178154642384877,2.6336060139471975e-106
,43,-0.6558514048943255,5.161793776539998e-124
,62,-0.2609813570378552,4.926867389532245e-17
,63,-0.6216143874967867,5.771352619584078e-108
,65,-0.14800231349750043,2.5978131219278238e-06
,67,0.2734835512034866,1.2980033083092814e-18
,70,-0.3978827185551623,2.8248406357502505e-39
,71,-0.09459941687469102,0.002749200572769785
,74,-0.7672034505638105,1.0822663948409741e-194
,82,-0.570578033231606,1.940885374133417e-87
Pos2_T,32,-0.6592000303658752,1.0701246671939559e-125
,43,-0.5549251509752713,7.730172976386588e-82
,62,-0.2544057794470838,3.0904649182058566e-16
,63,-0.5445641330788503,2.719864511296874e-78
,65,-0.3313614713128825,4.706688848986739e-27
,67,-0.687050978231796,1.3902503797738727e-140
,70,-0.3699556398204008,8.593264417744637e-34
,71,-0.48582954165158504,2.340810149932306e-60
,74,-0.6585768737161305,2.2097131845452717e-125
,82,-0.4645840542729576,1.1016245671254545e-54
Pos3_A,32,0.6897110310611632,4.294676957769006e-142
,43,0.6779030375458667,1.639005506842789e-135
,62,0.6668290108406058,1.294991784392819e-129
,63,0.7380237914140494,1.0821827912933147e-172
,65,0.7436374276754198,1.085538588674667e-176
,67,0.6955988966801292,1.703528826379765e-145
,70,0.5334890184943759,1.2324914668703208e-74
,71,0.5925370516401991,8.042816831526086e-96
,74,0.6307194569007272,4.896418845375662e-112
,82,0.6834360181138266,1.4773160201913422e-138
Pos3_C,32,-0.3752880478399831,8.47148471989469e-35
,43,-0.5977027413726986,6.894242757975714e-98
,62,-0.6097559202162833,7.352923368088207e-103
,63,-0.03066814141658826,0.3326316586915592
,65,0.1082863919183971,0.0006033047368253476
,67,-0.31098181349688014,7.301528180326079e-24
,70,-0.18056777523993203,8.91159911993455e-09
,71,-0.7614797374543536,3.9660287511693335e-190
,74,-0.6771527132372286,4.191536973288794e-135
,82,-0.7959658495302763,8.661417519508172e-220
Pos3_G,32,0.7043222514843746,1.0885854302576606e-150
,43,0.1334328954468852,2.304060078079035e-05
,62,0.6986324938800678,2.794428476665092e-147
,63,0.641080042895998,7.731998843430905e-117
,65,0.04897103779610969,0.12172058394028375
,67,0.7054789137178359,2.1565320917565715e-151
,70,0.5812908112692784,1.8976711811028595e-91
,71,0.5711615118571273,1.1841156304572281e-87
,74,0.26046162426291414,5.707262143765451e-17
,82,0.5541177536522985,1.4758296008992721e-81
Pos3_T,32,0.12380535272943541,8.662787754065659e-05
,43,0.14362583976978735,5.119558957814451e-06
,62,0.2141202207348206,7.803379225124356e-12
,63,0.5594845344452722,1.939562982858877e-83
,65,0.16238018814293204,2.43295159481053e-07
,67,0.7183634262833988,1.8312505671984855e-159
,70,-0.39688223408000534,4.5363600433892835e-39
,71,0.5379436872828359,4.3301681490354096e-76
,74,0.17047314984400483,5.8332027579669394e-08
,82,0.37929902287917155,1.4408709666200461e-35
Pos4_A,32,0.3634402343463138,1.374658507801112e-32
,43,0.4108256002278976,5.313465840330635e-42
,62,0.05423605424829497,0.08648992209943226
,63,0.5345780224492299,5.46098434105947e-75
,65,0.5141640064849496,1.427591592542153e-68
,67,0.2565815751250073,1.6930205782868933e-16
,70,0.20511513166476555,5.833632203910456e-11
,71,0.5751385841770751,3.97268570960561e-89
,74,0.3304810031613812,6.541331936021542e-27
,82,0.242975107172484,6.6490737222922546e-15
Pos4_C,32,0.17477269382001592,2.6555164890153553e-08
,43,0.1664778557535858,1.1908244750555735e-07
,62,-0.34964033770947356,3.9630713200258765e-30
,63,0.15316205801507668,1.1382776703716938e-06
,65,0.6411446469011607,7.207231370863927e-117
,67,0.6891210179886813,9.317577462586245e-142
,70,0.7371657531262003,4.3293152677356056e-172
,71,0.17726418364216712,1.6679837458845234e-08
,74,-0.24531679741244863,3.591060549053374e-15
,82,0.5665746603643983,5.609542678801549e-86
Pos4_G,32,0.768060928519079,2.184079383754728e-195
,43,0.7287358840043588,2.6834235975248235e-166
,62,0.7666235411152832,3.182059043991008e-194
,63,0.7679671858623098,2.602566558744463e-195
,65,0.7397740818389434,6.29025217060422e-174
,67,0.7579757810283155,2.1343980205989487e-187
,70,0.7145026239515537,5.3486487782178e-157
,71,0.7654048865772825,3.0377216873378414e-193
,74,0.7547104118175182,6.800754373904322e-185
,82,0.7468438405369614,5.062216008938541e-179
Pos4_T,32,-0.40712844120927855,3.2829191961711515e-41
,43,-0.2972255266563819,7.59816707116501e-22
,62,-0.5968157005958034,1.5706838988483477e-97
,63,0.07582417429732674,0.01647473726023675
,65,-0.36287108081495023,1.746065019330001e-32
,67,0.17897679816334577,1.206970264710443e-08
,70,-0.6928743826127038,6.540176042261939e-144
,71,0.2848131739630567,4.0681996254225915e-20
,74,-0.20418606556488497,7.142282800406782e-11
,82,-0.5742820029574265,8.285687565795872e-89
Pos5_A,32,0.5467730415819383,4.885042219966279e-79
,43,0.36463563700196233,8.305392628420778e-33
,62,0.20509879043214327,5.854484669832879e-11
,63,0.4489674712299445,9.205515642176627e-51
,65,0.4974457530623998,1.243650288133829e-63
,67,0.5024633825830619,4.372490676364051e-65
,70,-0.24946787989911548,1.1858562589669596e-15
,71,0.2445776013815158,4.364954274423431e-15
,74,0.3398955821403556,1.8313463304562364e-28
,82,0.656829778428544,1.6718547641235897e-124
Pos5_C,32,0.687830671873941,5.036574428656279e-141
,43,0.7413816762537938,4.5180095401665847e-175
,62,0.5130048889539776,3.2065525816434043e-68
,63,0.7699278102698515,6.539402579333508e-197
,65,0.731953736857139,1.7526004642594812e-168
,67,0.7754981639886606,1.5202675989968886e-201
,70,0.7721960706484247,8.803633965062073e-199
,71,0.7651598343720343,4.773729433658402e-193
,74,0.3726659219939539,2.6613139646877443e-34
,82,0.69340102559275,3.241465544639276e-144
Pos5_G,32,0.5177347217488868,1.1572609765181678e-69
,43,0.07694670665916334,0.01493983334344979
,62,0.5281305194495314,6.480313891224878e-73
,63,0.6805841573603227,5.590164466177462e-137
,65,0.5721442988433246,5.139809748764694e-88
,67,0.27215238530015534,1.929321228319859e-18
,70,0.3327003596966118,2.8473458984185077e-27
,71,0.18560330556009144,3.3510933161744544e-09
,74,0.21985602694903544,2.0660693005628753e-12
,82,-0.25719729880898246,1.426430947103622e-16
Pos5_T,32,0.3610354243176182,3.7637808367399785e-32
,43,0.43848163847181004,3.057616015717014e-48
,62,-0.004127948047002067,0.8962701649848459
,63,0.3954951735211205,8.724507143341464e-39
,65,-0.13176607125778367,2.9172110493250472e-05
,67,0.5382171307485817,3.5198591934322696e-76
,70,-0.2545458540235847,2.9735289664998567e-16
,71,-0.14353441618701027,5.191540167256011e-06
,74,0.1922245071668577,8.881861892630303e-10
,82,-0.11538558556828842,0.0002557143401175849
Pos6_A,32,0.3833870176496832,2.3086990958840953e-36
,43,0.5384667978106764,2.9127113653839016e-76
,62,-0.3277616691067604,1.7956741433188435e-26
,63,0.5912227844830592,2.6627329721329635e-95
,65,0.6135316535291575,1.838782713363735e-104
,67,0.5907613373986157,4.048627406362391e-95
,70,0.21901117622389993,2.5186658805307572e-12
,71,0.1046645886987876,0.0009172405410989894
,74,0.11685518167508727,0.00021276447870382565
,82,0.5991512843884984,1.7869449826570214e-98
Pos6_C,32,0.5255895107887536,4.1389026339832395e-72
,43,0.6914067194962614,4.588633781170768e-143
,62,0.6999135218372148,4.849811350449729e-148
,63,0.7790922205491658,1.3204511039649227e-204
,65,0.6570176823405699,1.3457269475066806e-124
,67,0.7613164679652189,5.329080527620497e-190
,70,0.7764285521238539,2.4828866218600467e-202
,71,0.7763746628782551,2.7583062258993996e-202
,74,0.39320672974347287,2.549207596418069e-38
,82,0.7118153466508926,2.631671580709156e-155
Pos6_G,32,0.4863122456028375,1.7210163128847454e-60
,43,0.6749399400822556,6.575751729437543e-134
,62,0.6902213178074914,2.1946129701071804e-142
,63,0.7224820041163231,3.8593859328539576e-162
,65,0.7244118474821659,2.0689843295622715e-163
,67,0.7239148921089875,4.405827342735153e-163
,70,0.7234345019149151,9.13421041504647e-163
,71,0.6786753879706465,6.216465189355597e-136
,74,0.7243869997135071,2.148759713949651e-163
,82,0.7219850487431447,8.165948411093761e-162
Pos6_T,32,-0.22043215279482573,1.8041792002234374e-12
,43,-0.6547334349141404,1.8621951719362416e-123
,62,-0.7310198450036642,7.604665624177221e-168
,63,-0.7575670807688845,4.4133655729810443e-187
,65,-0.7162161494599224,4.355937189542884e-158
,67,-0.28732839084217543,1.8450669225368517e-20
,70,-0.7607204387913185,1.5636297578242468e-189
,71,-0.7723397087459027,6.690484745934324e-199
,74,-0.7700018743499604,5.685779749763768e-197
,82,-0.6978552175263412,8.050168702784164e-147
Pos7_A,32,0.34546075848406504,2.0858114547999362e-29
,43,0.41294914918631354,1.8475948854427988e-42
,62,-0.04903527128645884,0.12123172709934989
,63,0.5074672195722343,1.4670345261130436e-66
,65,0.5722698040075019,4.6192675267831446e-88
,67,0.6327218971413024,5.972066626003217e-113
,70,0.486984728967496,1.1202853126065786e-60
,71,0.16697048321420238,1.0915095657263651e-07
,74,-0.18969257584987356,1.4841289545158118e-09
,82,0.6710096529344917,8.239550910781405e-132
Pos7_C,32,0.6695302979810258,4.979821459474954e-131
,43,0.6825071587383379,4.8461893051559375e-138
,62,0.7405994140869286,1.631356654270942e-174
,63,0.7753618076927379,1.9812431663519177e-201
,65,0.5802665885429472,4.6562116248402983e-91
,67,0.8003484494628826,5.724564659449957e-224
,70,0.8002884755252405,6.54101049007802e-224
,71,0.7733451840395218,9.73999211822945e-200
,74,0.49933175969491705,3.556500978205406e-64
,82,0.8003259592362669,6.018083049718795e-224
Pos7_G,32,0.6155766702244208,2.442261967674198e-105
,43,0.1381099770844346,1.1706772280968336e-05
,62,0.5173012823418413,1.5724571611840384e-69
,63,0.4555586345319276,2.1553001670546078e-52
,65,0.7465152627089674,8.807626097696886e-179
,67,0.6186275015835546,1.1689239890736517e-106
,70,0.6589757117610614,1.3895582113854465e-125
,71,0.5667247503598094,4.94899287249013e-86
,74,0.7576604516994234,3.7389354946047687e-187
,82,0.3130423301300605,3.563662770184448e-24
Pos7_T,32,-0.22049317732020876,1.7784224601843487e-12
,43,-0.6032108849498571,3.9146394261932687e-100
,62,-0.5783986158925933,2.3736687178927615e-90
,63,-0.6970392242449681,2.4356474848934994e-146
,65,-0.037000377100382086,0.2424070407625427
,67,0.012453159849036744,0.6940785655465797
,70,-0.23640483573356777,3.61799110361504e-14
,71,-0.3040699967670568,7.771313841008449e-23
,74,-0.6231239706267582,1.2461301833688783e-108
,82,-0.6049807470087314,7.273316881757639e-101
Pos8_A,32,0.38493892915348416,1.1441817909067231e-36
,43,0.5797124705380241,7.557015393796372e-91
,62,0.48948878584108585,2.2458219584124853e-61
,63,0.6820784081287561,8.373323161726836e-138
,65,-0.19153982333956102,1.0211708221779897e-09
,67,0.6495051283171418,6.993972423748368e-121
,70,0.40744425760732794,2.8124811457801387e-41
,71,0.09596174240126232,0.002383165692278257
,74,0.08284136357991315,0.00876970870139106
,82,0.5959105731831474,3.629386866826341e-97
Pos8_C,32,0.678297625029733,9.99166451498025e-136
,43,0.7692704881893008,2.25777563984977e-196
,62,0.38053255374835826,8.3147886092276e-36
,63,0.3197002100035203,3.3761688749735165e-25
,65,0.7882640753424067,1.0969952689332435e-212
,67,0.6647038051984844,1.6410575363650465e-128
,70,0.791873989719816,5.6057071219516016e-216
,71,0.7195397639733159,3.186275271039458e-160
,74,-0.37804035344596265,2.5188870598566355e-35
,82,0.6451362567636145,9.067666594256773e-119
Pos8_G,32,0.6090717873752208,1.4269501313916284e-102
,43,0.31597421203044396,1.2717162797190042e-24
,62,0.6221643592468531,3.3049639818305348e-108
,63,0.3354480374193424,1.0071497059537829e-27
,65,0.6387619053410232,9.521187264347514e-116
,67,0.38953151858415247,1.401590117026086e-37
,70,0.7286888560775708,2.886616272547736e-166
,71,0.7486813547819121,2.2510669492619067e-180
,74,0.6875250556792456,7.5014197257784e-141
,82,0.3522420506784531,1.391675728909848e-30
Pos8_T,32,-0.5976373761105302,7.326155267927936e-98
,43,-0.7096687742068933,5.725867601224571e-154
,62,-0.4308571862446004,1.836551751803448e-46
,63,-0.6599039873089717,4.707537247434675e-126
,65,-0.35300301618584545,1.0228165912096812e-30
,67,-0.4500740372429913,4.929407865949095e-51
,70,0.034160503189045524,0.2804924072301034
,71,-0.16235646742113072,2.4429093185350673e-07
,74,-0.6661590806713723,2.890050134297721e-129
,82,-0.6150730307370077,4.02078397909458e-105
Pos9_A,32,0.62681004872682,2.848318195719883e-110
