Feature,Average_Importance_Magnitude,Number_of_Models
Pos6_Unpaired,0.002130358860404,10
Pos15_Unpaired,0.0018861659336979,10
Pos14_Unpaired,0.0017369902330224,10
Pos6_Paired-Opening,0.0017272725575507,10
Pos7_Unpaired,0.0016981314445898,10
Pos13_Unpaired,0.0015015552646181,10
Pos7_Paired-Opening,0.0014891980614426,10
Pos16_Unpaired,0.0013934217307051,10
Pos15_Paired-Opening,0.0013642708170057,10
Pos17_Unpaired,0.0013203992960751,10
Pos4_Unpaired,0.0012812527821381,10
Pos14_Paired-Opening,0.0012161618976699,10
Pos12_Unpaired,0.0012003647179582,10
Pos13_Paired-Opening,0.0011594711811929,10
Pos4_Paired-Opening,0.0010991150180904,10
Pos16_Paired-Opening,0.0010839251528513,10
Pos17_Paired-Opening,0.0010796166568531,10
Pos2_Unpaired,0.0010660647195105,10
Pos11_Unpaired,0.001022490007449,10
Pos5_Unpaired,0.0010206820815563,10
Pos12_Paired-Opening,0.0010149778251526,10
Pos18_Unpaired,0.0009932565659149,10
Pos11_Paired-Opening,0.0009268936231642,10
Pos1_Unpaired,0.0009163425412994,10
Pos3_Unpaired,0.0008696229177229,10
Pos2_Paired-Opening,0.0008278944790355,10
Pos20_Unpaired,0.0008188340908535,10
Pos9_Unpaired,0.0007469990435218,10
Pos3_Paired-Opening,0.0007344758859938,10
Pos20_Paired-Opening,0.0006958636949308,10
Pos18_Paired-Opening,0.0006834103948759,10
Pos10_Unpaired,0.0006724839072634,10
Pos9_Paired-Opening,0.0006508583992867,10
Pos10_Paired-Opening,0.0006370765704466,10
Pos8_Unpaired,0.0006357920834963,10
Pos5_Paired-Opening,0.0006334257277034,10
Pos8_Paired-Opening,0.0005655269026431,10
Pos1_Paired-Opening,0.0005104321942159,10
Pos19_Unpaired,0.0004924813428272,10
Pos19_Paired-Opening,0.0004252388483948,10
Pos4_Paired-Closing,5.373226481584554e-06,10
Pos2_Paired-Closing,4.326821027590819e-06,10
Pos5_Paired-Closing,3.2676288819485985e-06,10
Pos3_Paired-Closing,2.7913188744711734e-06,10
Pos7_Paired-Closing,2.258199014994136e-06,10
Pos1_Paired-Closing,2.234447872285059e-06,10
Pos6_Paired-Closing,1.903324714356917e-06,10
Pos8_Paired-Closing,1.7789340277211311e-06,10
Pos10_Paired-Closing,1.2886512502284827e-06,10
Pos9_Paired-Closing,1.1831453071732151e-06,10
Pos12_Paired-Closing,6.9775397275538e-07,10
Pos11_Paired-Closing,3.460389715027416e-07,10
Pos14_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
