Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.48,0.48,0.48
Pos2_Paired-Opening,0.415,0.442,0.442
Pos3_Paired-Opening,0.211,0.391,0.349
Pos4_Paired-Opening,0.319,0.319,0.319
Pos5_Paired-Opening,0.291,0.291,0.291
Pos6_Paired-Opening,0.211,0.211,0.211
Pos7_Paired-Opening,1.0,1.0,1.0
Pos8_Paired-Opening,0.255,0.255,0.255
Pos9_Paired-Opening,0.237,0.237,0.237
Pos10_Paired-Opening,0.266,0.266,0.266
Pos11_Paired-Opening,0.231,0.231,0.231
Pos12_Paired-Opening,0.224,0.225,0.225
Pos13_Paired-Opening,1.0,1.0,1.0
Pos14_Paired-Opening,1.0,1.0,1.0
Pos15_Paired-Opening,1.0,1.0,1.0
Pos16_Paired-Opening,0.244,0.244,0.244
Pos17_Paired-Opening,0.942,1.0,1.0
Pos18_Paired-Opening,0.212,0.25,0.25
Pos19_Paired-Opening,0.354,0.369,0.357
Pos20_Paired-Opening,0.406,0.42,0.411
Pos21_Paired-Opening,0.364,0.422,0.405
