Feature,Q1,Q3,Median Spearman Correlation
Pos1_A,0.405,0.658,0.625
Pos1_G,0.254,0.763,0.57
Pos1_T,0.322,0.612,0.506
Pos2_A,0.434,0.669,0.583
Pos2_C,0.713,0.776,0.754
Pos3_A,0.261,0.7,0.604
Pos3_G,0.365,0.608,0.511
Pos3_T,0.257,0.548,0.457
Pos4_G,0.702,0.748,0.723
Pos5_C,0.466,0.736,0.662
Pos6_C,0.146,0.752,0.578
Pos6_G,0.372,0.717,0.629
Pos7_A,0.224,0.61,0.435
Pos7_C,0.552,0.798,0.735
Pos8_A,0.142,0.475,0.404
Pos8_C,0.468,0.721,0.566
Pos8_G,0.072,0.646,0.506
Pos9_A,0.51,0.702,0.604
Pos10_A,0.491,0.676,0.621
Pos11_A,0.584,0.696,0.623
Pos11_G,0.03,0.478,0.323
Pos12_A,0.558,0.679,0.626
Pos12_C,0.033,0.722,0.645
Pos13_C,0.646,0.783,0.75
Pos13_G,0.091,0.439,0.283
Pos14_A,0.663,0.743,0.714
Pos14_C,0.034,0.496,0.19
Pos14_T,0.437,0.638,0.635
Pos15_A,0.734,0.759,0.758
Pos16_A,0.648,0.685,0.673
Pos16_C,0.091,0.668,0.474
Pos17_A,0.463,0.675,0.615
Pos17_C,0.401,0.782,0.674
Pos17_G,0.274,0.607,0.512
Pos18_C,0.808,0.81,0.81
Pos19_C,0.526,0.781,0.743
Pos19_G,0.69,0.75,0.745
Pos20_G,0.759,0.759,0.759
