Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,18,0.26018375500637475,6.17319273661938e-17
,19,-0.28099829831716183,1.3292083254806596e-19
,24,-0.2159010768706314,5.185884707600135e-12
,32,-0.218565426878604,2.7952230822673936e-12
,40,-0.23966723775953533,1.5700250457924543e-14
,54,-0.2393689049608708,1.695453444535276e-14
,62,-0.2813700024672198,1.1853402221536256e-19
,65,-0.07592516668902358,0.01633119510132142
,81,-0.21862066530924743,2.759400870302494e-12
,82,-0.05372171008889178,0.0895207705681151
Pos1_Paired-Opening,18,0.28099845540688473,1.3291440252484635e-19
,19,0.28099829831716183,1.3292083254806596e-19
,24,-0.1914659106047592,1.036636194192158e-09
,32,0.2810126917010623,1.3233295261542143e-19
,40,0.28134849650032406,1.1932281875109826e-19
,54,0.2607183993217403,5.307584953813664e-17
,62,0.21884333525228208,2.6195023991418672e-12
,65,-0.06522725388997719,0.03918075135011353
,81,0.21855648780585413,2.8010627334705437e-12
,82,0.17708590596922322,1.7247991060741997e-08
Pos1_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos2_Unpaired,18,0.33531672498452425,1.0586888484028283e-27
,19,-0.2837295365253667,5.705222134206487e-20
,24,0.3268023500412593,2.5579045954660454e-26
,32,-0.06784350545142424,0.0319377636268722
,40,0.23666970828555492,3.382460901864049e-14
,54,0.31749471927819745,7.418784249064723e-25
,62,-0.2575356631031942,1.297998473719508e-16
,65,0.33532055571886127,1.0571489666913196e-27
,81,0.31810311050787576,5.974498907095695e-25
,82,0.11866133474877248,0.00016923354513668473
Pos2_Paired-Opening,18,-0.1638067695974187,1.9009884016655142e-07
,19,-0.33531672498452425,1.0586888484028283e-27
,24,-0.33531977105145117,1.0574642071949293e-27
,32,-0.08577287178726155,0.006647881452100108
,40,-0.008741023891240584,0.7824904606612344
,54,-0.1619100497302544,2.637809594250676e-07
,62,0.24139550898687795,1.0037948825978964e-14
,65,-0.33532055571886127,1.0571489666913196e-27
,81,-0.33531673403810086,1.0586852064213006e-27
,82,-0.2701663511014848,3.4709003893516064e-18
Pos2_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos3_Unpaired,18,0.37749192183430913,3.2105180632260706e-35
,19,0.37749192183430913,3.2105180632260706e-35
,24,0.21331874750566807,9.36788662938467e-12
,32,0.1962481161637143,3.871816218237995e-10
,40,0.3376605636820237,4.328288425252637e-28
,54,0.37749192183430913,3.2105180632260706e-35
,62,0.12472337288116048,7.665719814358717e-05
,65,0.3473561717261411,9.852546914840276e-30
,81,0.1524431588342256,1.2790712015742504e-06
,82,0.3626306619994621,1.9313978516224704e-32
Pos3_Paired-Opening,18,-0.37749192183430913,3.2105180632260706e-35
,19,-0.37749192183430913,3.2105180632260706e-35
,24,0.12499356459165291,7.393559796449337e-05
,32,-0.28322225495433906,6.680441559513568e-20
,40,-0.3605326005460056,4.641035804576147e-32
,54,-0.37749192183430913,3.2105180632260706e-35
,62,-0.10744615785352934,0.0006656422662977441
,65,-0.3669221755421418,3.1491129331117816e-33
,81,-0.37749192183430913,3.2105180632260706e-35
,82,-0.37749192296678613,3.210516456344651e-35
Pos3_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos4_Unpaired,18,-0.4239247335461564,6.953161492995001e-45
,19,-0.29657181045426556,9.416708119329772e-22
,24,-0.23537220615894036,4.700050704447188e-14
,32,-0.20608867672160736,4.7139555958877556e-11
,40,-0.14575243409649835,3.6909373158324704e-06
,54,-0.278795052129814,2.611769359918113e-19
,62,-0.13080636977275567,3.3374686924198115e-05
,65,-0.2914482543129825,4.96578486940707e-21
,81,-0.32838881102223294,1.4238974692115844e-26
,82,0.19047739930769808,1.2667266579484805e-09
Pos4_Paired-Opening,18,0.18558029868647177,3.366311471142656e-09
,19,0.3830495121759207,2.6881467451688697e-36
,24,0.32712915219191746,2.267782151356973e-26
,32,0.03517137295880739,0.2664955312102185
,40,0.24106190110036513,1.0946162036517749e-14
,54,0.4239247335461564,6.953161492995001e-45
,62,0.16907735266233925,7.499316529052676e-08
,65,0.34719877265694316,1.048776246854625e-29
,81,0.20608867672160736,4.7139555958877556e-11
,82,0.17948015311494422,1.0968415392918885e-08
Pos4_Paired-Closing,18,,
,19,,
,24,,
,32,,
,40,,
,54,,
,62,,
,65,,
,81,,
,82,,
Pos5_Unpaired,18,-0.25013070806644844,9.916854856997196e-16
,19,-0.23420481023626097,6.30839211974695e-14
,24,-0.42079612357621315,3.4869618766868095e-44
,32,-0.42082440551952016,3.4367661308880714e-44
,40,-0.3993522461676163,1.4046131330383248e-39
,54,-0.40747915588024414,2.764793641648372e-41
,62,-0.1655429015808834,1.4038501263638786e-07
,65,-0.3930826869316933,2.701105278119574e-38
,81,-0.2450264398754716,3.8774737975632524e-15
,82,-0.3972135811769157,3.878431142109338e-39
Pos5_Paired-Opening,18,0.42082440299457113,3.43677058005656e-44
,19,0.42079588877167307,3.487381649407924e-44
,24,0.39330718033820544,2.432438173827161e-38
,32,0.42082440551952016,3.4367661308880714e-44
,40,0.23095404628951366,1.4197735604299995e-13
,54,0.25141390490436455,7.004639207250236e-16
,62,-0.020898748463513285,0.50917555687258
