Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.279,-0.109,-0.198
Pos3_Unpaired,-0.395,-0.222,-0.32
Pos5_Paired-Opening,-0.337,-0.02,-0.181
Pos6_Unpaired,-0.548,-0.322,-0.427
Pos9_Paired-Opening,-0.512,-0.23,-0.494
Pos10_Paired-Opening,-0.504,-0.387,-0.438
Pos11_Unpaired,-0.328,-0.079,-0.257
Pos14_Paired-Opening,-0.486,-0.217,-0.371
Pos16_Paired-Closing,-0.557,-0.389,-0.44
Pos18_Unpaired,-0.468,-0.107,-0.335
Pos20_Paired-Closing,-0.641,-0.415,-0.583
Pos22_Paired-Closing,-0.377,-0.029,-0.204
Pos26_Paired-Closing,-0.257,-0.019,-0.117
Pos27_Unpaired,-0.378,-0.155,-0.25
Pos28_Paired-Opening,-0.423,-0.352,-0.394
Pos29_Unpaired,-0.217,-0.053,-0.16
Pos31_Paired-Closing,-0.338,-0.074,-0.175
Pos32_Unpaired,-0.289,-0.118,-0.198
Pos32_Paired-Closing,-0.208,-0.003,-0.104
Pos33_Unpaired,-0.354,-0.153,-0.28
Pos33_Paired-Opening,-0.123,-0.015,-0.071
Pos34_Paired-Closing,-0.374,-0.231,-0.295
Pos35_Paired-Closing,-0.266,-0.109,-0.202
Pos36_Unpaired,-0.566,-0.158,-0.448
Pos37_Paired-Closing,-0.335,-0.005,-0.151
Pos39_Paired-Closing,-0.543,-0.221,-0.406
Pos40_Paired-Closing,-0.567,-0.288,-0.359
Pos41_Unpaired,-0.802,-0.282,-0.647
Pos42_Unpaired,-0.529,-0.162,-0.335
