Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,0,-0.4644870458346667,1.1668901755981158e-54
,11,-0.4644870458346667,1.1668901755981158e-54
,47,-0.4644870458346667,1.1668901755981158e-54
,5,-0.4644870458346667,1.1668901755981158e-54
,8,-0.4644870458346667,1.1668901755981158e-54
,80,-0.4644870458346667,1.1668901755981158e-54
,87,-0.4644870458346667,1.1668901755981158e-54
,9,-0.44039593007512357,1.0755939382013177e-48
,96,-0.202468712286906,1.0356621343096971e-10
,99,-0.4644870458346667,1.1668901755981158e-54
Pos1_Paired-Opening,0,0.2854451633380346,3.3377037711077905e-20
,11,0.48045002948509724,6.977504714685265e-59
,47,0.48045002948509724,6.977504714685265e-59
,5,0.48045002948509724,6.977504714685265e-59
,8,0.48045002948509724,6.977504714685265e-59
,80,0.48045002948509724,6.977504714685265e-59
,87,0.48045002948509724,6.977504714685265e-59
,9,0.48045002948509724,6.977504714685265e-59
,96,0.22878572832623675,2.422468921358507e-13
,99,0.48045002948509724,6.977504714685265e-59
Pos1_Paired-Closing,0,-0.3333313771690194,2.244870984213514e-27
,11,-0.9999941315070582,0.0
,47,-0.9999941315070582,0.0
,5,-0.9999941315070582,0.0
,8,-0.9999941315070582,0.0
,80,-0.9999941315070582,0.0
,87,-0.9999941315070582,0.0
,9,-0.9999941315070582,0.0
,96,-0.9999941315070582,0.0
,99,-0.9999941315070582,0.0
Pos2_Unpaired,0,-0.4239247335461564,6.953161492995001e-45
,11,-0.4239247335461564,6.953161492995001e-45
,47,-0.013247647923317387,0.6756387425742326
,5,-0.4239247335461564,6.953161492995001e-45
,8,-0.3046959022362999,6.289470620045318e-23
,80,-0.4239247335461564,6.953161492995001e-45
,87,-0.4239247335461564,6.953161492995001e-45
,9,-0.4239247335461564,6.953161492995001e-45
,96,-0.37799672338465545,2.568020176248457e-35
,99,-0.4239247335461564,6.953161492995001e-45
Pos2_Paired-Opening,0,0.2524079890304243,5.343539948996587e-16
,11,0.2892149417635468,1.0142787646411483e-20
,47,0.42456297267335796,4.99366197695452e-45
,5,0.4042247892745319,1.3503934505610767e-40
,8,0.4419278168436507,4.639351952229486e-49
,80,0.4419278168436507,4.639351952229486e-49
,87,0.012653662835584714,0.6894073367424616
,9,0.24867434388043952,1.4679298099696579e-15
,96,0.3588236642507172,9.432939023282323e-32
,99,0.3581583965694472,1.2418045272155541e-31
Pos2_Paired-Closing,0,-0.9999941315070582,0.0
,11,-0.9999941315070582,0.0
,47,-0.9999941315070582,0.0
,5,-0.9999941315070582,0.0
,8,-0.9999941315070582,0.0
