Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.901,-0.803,-0.868
Pos2_Unpaired,-0.634,-0.309,-0.499
Pos4_Paired-Opening,-0.364,-0.074,-0.315
Pos5_Unpaired,-0.417,-0.114,-0.31
Pos6_Unpaired,-0.438,-0.21,-0.377
Pos7_Unpaired,-0.541,-0.327,-0.462
Pos8_Unpaired,-0.558,-0.441,-0.517
Pos9_Paired-Opening,-0.394,-0.268,-0.332
Pos10_Paired-Opening,-0.32,-0.082,-0.244
Pos13_Paired-Opening,-0.243,-0.206,-0.243
Pos13_Paired-Closing,-0.443,-0.215,-0.327
Pos14_Paired-Opening,-0.173,-0.138,-0.173
Pos14_Paired-Closing,-0.386,-0.126,-0.233
Pos15_Unpaired,-0.622,-0.51,-0.601
Pos16_Unpaired,-0.434,-0.048,-0.213
Pos17_Paired-Closing,-0.503,-0.171,-0.444
Pos20_Paired-Closing,-0.32,-0.061,-0.261
