Feature,Average_Importance_Magnitude,Number_of_Models
Pos1_Unpaired,0.00839845295047919,10
Pos1_Paired-Opening,0.00821280080996041,10
Pos4_Unpaired,0.00512925339562565,10
Pos4_Paired-Opening,0.00489272890813574,10
Pos2_Paired-Opening,0.00485261988053303,10
Pos5_Paired-Opening,0.00464588215100052,10
Pos5_Unpaired,0.0042723191657517996,10
Pos2_Unpaired,0.00403965050737032,10
Pos7_Paired-Opening,0.00363217398098034,10
Pos3_Paired-Opening,0.0034709623580497797,10
Pos7_Unpaired,0.0033650677713278703,10
Pos6_Paired-Opening,0.003328382773612,10
Pos6_Unpaired,0.0031303913424128296,10
Pos3_Unpaired,0.00306359709650291,10
Pos10_Paired-Opening,0.00279138711604873,10
Pos10_Unpaired,0.00273891161286094,10
Pos19_Paired-Opening,0.00273210168868268,10
Pos19_Unpaired,0.00246805421466964,10
Pos8_Unpaired,0.00236668278176469,10
Pos8_Paired-Opening,0.00231003245933679,10
Pos13_Paired-Opening,0.00208054327858324,10
Pos16_Paired-Opening,0.00203237814251104,10
Pos13_Unpaired,0.0019514459863441702,10
Pos11_Paired-Opening,0.00189325349475984,10
Pos16_Unpaired,0.0018754511649600298,10
Pos11_Unpaired,0.00173405121326154,10
Pos20_Paired-Opening,0.0017306220920158902,10
Pos18_Paired-Opening,0.0016757473668502,10
Pos18_Unpaired,0.00150856220402079,10
Pos15_Paired-Opening,0.00132830905395746,10
Pos15_Unpaired,0.00116436613368768,10
Pos17_Paired-Opening,0.0011486995507657,10
Pos17_Unpaired,0.00105013362800535,10
Pos20_Unpaired,0.00104701269164036,10
Pos9_Unpaired,0.00102636063468643,10
Pos14_Paired-Opening,0.0010163598050753,10
Pos9_Paired-Opening,0.00101043988028553,10
Pos14_Unpaired,0.00093506732235121,10
Pos21_Paired-Opening,0.0009271886820505801,10
Pos12_Paired-Opening,0.00084350418705666,10
Pos12_Unpaired,0.00080510602453613,10
Pos21_Unpaired,0.00051356207590318,10
Pos3_Paired-Closing,5.9061398714077965e-05,10
Pos2_Paired-Closing,5.38828450412662e-05,10
Pos1_Paired-Closing,5.175067169093415e-05,10
Pos7_Paired-Closing,0.0,10
Pos9_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
Pos21_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
