Feature,Average_Importance_Magnitude,Number_of_Models
Pos13_Unpaired,0.0037384975329831397,10
Pos14_Unpaired,0.00209484013300929,10
Pos15_Unpaired,0.0018073498802165199,10
Pos4_Unpaired,0.00177823657878128,10
Pos17_Unpaired,0.00164091338229876,10
Pos4_Paired-Opening,0.00157084693726484,10
Pos5_Unpaired,0.00152117986638436,10
Pos11_Unpaired,0.0014723119086267199,10
Pos8_Unpaired,0.00146807844017594,10
Pos12_Unpaired,0.0012784277332650701,10
Pos15_Paired-Closing,0.0012627962124581202,10
Pos6_Unpaired,0.00119480708683128,10
Pos16_Unpaired,0.00117313972525754,10
Pos13_Paired-Closing,0.0011517817127772601,10
Pos7_Unpaired,0.00110856579076139,10
Pos10_Unpaired,0.00109263457038688,10
Pos9_Unpaired,0.00104761386428057,10
Pos17_Paired-Closing,0.00103235935310387,10
Pos5_Paired-Opening,0.00101684160659514,10
Pos6_Paired-Opening,0.0008354141703552301,10
Pos9_Paired-Opening,0.0008276160056201199,10
Pos7_Paired-Opening,0.0007981833321688,10
Pos3_Unpaired,0.00079180827554837,10
Pos16_Paired-Closing,0.00077753574956771,10
Pos2_Unpaired,0.00077017930758407,10
Pos14_Paired-Closing,0.00072663303604018,10
Pos3_Paired-Opening,0.0006677750090077599,10
Pos8_Paired-Opening,0.0006457075789230401,10
Pos12_Paired-Closing,0.0006270918526100801,10
Pos11_Paired-Closing,0.00062654381501998,10
Pos1_Unpaired,0.0006053506171233901,10
Pos2_Paired-Opening,0.00059495401856809,10
Pos19_Unpaired,0.00057643777388394,10
Pos18_Unpaired,0.0005370745044516,10
Pos11_Paired-Opening,0.00053249201321951,10
Pos1_Paired-Opening,0.00044683743420797004,10
Pos18_Paired-Closing,0.00043854180977661,10
Pos10_Paired-Opening,0.00042836781072281,10
Pos13_Paired-Opening,0.00035548576786331,10
Pos19_Paired-Closing,0.0003103685207414,10
Pos20_Unpaired,0.00027247124289338004,10
Pos20_Paired-Closing,0.00021720637344051002,10
Pos12_Paired-Opening,0.00021320856376350002,10
Pos10_Paired-Closing,0.00018782956887491143,10
Pos14_Paired-Opening,0.00016108584474620408,10
Pos9_Paired-Closing,0.00011519944146128098,10
Pos8_Paired-Closing,7.26679882899946e-05,10
Pos7_Paired-Closing,1.3199818239690271e-05,10
Pos6_Paired-Closing,2.627267846466505e-06,10
Pos4_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos20_Paired-Opening,0.0,10
Pos19_Paired-Opening,0.0,10
Pos18_Paired-Opening,0.0,10
Pos17_Paired-Opening,0.0,10
Pos16_Paired-Opening,0.0,10
Pos15_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
