Feature,Average_Importance_Magnitude,Number_of_Models
Pos1_G,0.0145393193920055,10
Pos3_C,0.0136380127534286,10
Pos1_C,0.0089936711378086,10
Pos2_T,0.0077937856229794,10
Pos2_C,0.0075711659316721,10
Pos2_G,0.0069874544416739,10
Pos20_C,0.0065169475585043,10
Pos1_T,0.0063923481306678,10
Pos3_T,0.0062305336665562,10
Pos3_A,0.0048774318939305,10
Pos4_T,0.0048300958524474,10
Pos4_C,0.0046749386750599,10
Pos6_A,0.0046371412949897,10
Pos4_G,0.0044955813063485,10
Pos8_C,0.0040593297844482,10
Pos19_C,0.0039790266669631,10
Pos7_T,0.0037701162759766,10
Pos4_A,0.0037408346861689,10
Pos3_G,0.0037405857120891,10
Pos7_G,0.0036807144247503,10
Pos7_A,0.00365965703257,10
Pos2_A,0.0035433984796473,10
Pos5_C,0.0034327425900437,10
Pos5_A,0.0033872766873914,10
Pos5_G,0.0033744573885674,10
Pos17_G,0.0033461872551189,10
Pos5_T,0.0033422383920494,10
Pos20_T,0.0031447860823398,10
Pos10_A,0.003126500731255,10
Pos9_A,0.0030811419011326,10
Pos15_G,0.0030310524816209,10
Pos16_C,0.0029966132182813,10
Pos18_A,0.0029635460103478,10
Pos14_C,0.0029508466613277,10
Pos20_G,0.0029439997273193,10
Pos10_T,0.0028532113169638,10
Pos19_A,0.0027722365097787,10
Pos1_A,0.0027692176723686,10
Pos8_T,0.0027567176920036,10
Pos9_T,0.0027448487689535,10
Pos9_C,0.002728812779502,10
Pos18_C,0.0026892622509241,10
Pos15_T,0.0026605656182259,10
Pos11_A,0.0026470145377749,10
Pos13_C,0.0026222214621259,10
Pos10_C,0.0026162105955479,10
Pos8_G,0.0025825049989209,10
Pos11_G,0.0025534096802897,10
Pos7_C,0.0025384547901813,10
Pos6_T,0.0025383622257662,10
Pos19_T,0.0025274073637279,10
Pos12_A,0.002497860392662,10
Pos15_C,0.0024632674593226,10
Pos13_G,0.0024517604283598,10
Pos10_G,0.0024456554270199,10
Pos11_T,0.0024088437971888,10
Pos19_G,0.0023840669964994,10
Pos18_G,0.002381220067466,10
Pos14_G,0.0023691033929896,10
Pos12_T,0.0023503875645859,10
Pos6_G,0.0022909593773845,10
Pos18_T,0.0021794672215085,10
Pos11_C,0.0021258156956004,10
Pos6_C,0.0020778073864102,10
Pos17_C,0.0020384792544142,10
Pos17_T,0.0020380041687166,10
Pos13_T,0.0020104871938374,10
Pos9_G,0.0019098475808454,10
Pos16_G,0.0018858861784215,10
Pos12_C,0.0018827247210302,10
Pos12_G,0.0018719849667106,10
Pos8_A,0.0018679890835482,10
Pos14_A,0.0018022184524888,10
Pos15_A,0.0017611133035426,10
Pos17_A,0.0016819253597839,10
Pos16_T,0.0016743685523347,10
Pos14_T,0.0016567768927687,10
Pos16_A,0.0016090519117641,10
Pos20_A,0.001589325855416,10
Pos13_A,0.0015057251694441,10
Pos74_T,0.0,10
Pos75_T,0.0,10
Pos75_G,0.0,10
Pos75_C,0.0,10
Pos75_A,0.0,10
Pos74_C,0.0,10
Pos74_G,0.0,10
Pos76_C,0.0,10
Pos74_A,0.0,10
Pos73_T,0.0,10
Pos73_G,0.0,10
Pos73_C,0.0,10
Pos63_T,0.0,10
Pos76_A,0.0,10
Pos66_G,0.0,10
Pos76_G,0.0,10
Pos64_A,0.0,10
Pos62_G,0.0,10
Pos79_C,0.0,10
Pos79_A,0.0,10
Pos78_T,0.0,10
Pos78_G,0.0,10
Pos78_C,0.0,10
Pos78_A,0.0,10
Pos77_T,0.0,10
Pos77_G,0.0,10
Pos77_C,0.0,10
Pos62_T,0.0,10
Pos63_A,0.0,10
Pos63_C,0.0,10
Pos63_G,0.0,10
Pos77_A,0.0,10
Pos76_T,0.0,10
Pos73_A,0.0,10
Pos79_G,0.0,10
Pos68_T,0.0,10
Pos66_A,0.0,10
Pos66_C,0.0,10
Pos69_T,0.0,10
Pos69_G,0.0,10
Pos69_C,0.0,10
Pos69_A,0.0,10
Pos68_G,0.0,10
Pos65_G,0.0,10
Pos68_C,0.0,10
Pos68_A,0.0,10
Pos67_T,0.0,10
Pos67_G,0.0,10
Pos67_C,0.0,10
Pos67_A,0.0,10
Pos65_T,0.0,10
Pos65_C,0.0,10
Pos72_T,0.0,10
Pos71_A,0.0,10
Pos72_G,0.0,10
Pos72_C,0.0,10
Pos72_A,0.0,10
Pos71_T,0.0,10
Pos71_G,0.0,10
Pos71_C,0.0,10
Pos70_T,0.0,10
Pos65_A,0.0,10
Pos70_G,0.0,10
Pos64_C,0.0,10
Pos64_G,0.0,10
Pos70_C,0.0,10
Pos70_A,0.0,10
Pos64_T,0.0,10
Pos66_T,0.0,10
Pos86_A,0.0,10
Pos79_T,0.0,10
Pos95_A,0.0,10
Pos94_G,0.0,10
Pos94_C,0.0,10
Pos94_A,0.0,10
Pos93_T,0.0,10
Pos93_G,0.0,10
Pos93_C,0.0,10
