Feature,Average_Importance_Magnitude,Number_of_Models
Pos1_Unpaired,0.0029801247787485,10
Pos2_Unpaired,0.0017617061514547,10
Pos4_Unpaired,0.0014807625522812,10
Pos10_Unpaired,0.0013885620941763,10
Pos3_Unpaired,0.0013571441499998,10
Pos1_Paired-Opening,0.0012502662102232,10
Pos61_Unpaired,0.0009286274427488,10
Pos4_Paired-Opening,0.0009231023656464,10
Pos19_Unpaired,0.0008886797685359,10
Pos13_Unpaired,0.0008852011866892,10
Pos18_Unpaired,0.0007512066608589,10
Pos53_Unpaired,0.0007234460949893,10
Pos12_Unpaired,0.0006416854360152,10
Pos52_Unpaired,0.0006286408914959,10
Pos66_Unpaired,0.000620211378865,10
Pos61_Paired-Closing,0.0006103704740484,10
Pos68_Unpaired,0.0006070777721422,10
Pos11_Unpaired,0.000604717652831,10
Pos65_Unpaired,0.0005997567062593,10
Pos9_Unpaired,0.0005940508667753,10
Pos2_Paired-Opening,0.0005912344403584,10
Pos58_Unpaired,0.0005761653039202,10
Pos21_Unpaired,0.0005530909462534,10
Pos8_Paired-Opening,0.0005336710244867,10
Pos56_Unpaired,0.0005326055384183,10
Pos7_Unpaired,0.0005277744117741,10
Pos14_Unpaired,0.0005089771084567,10
Pos55_Unpaired,0.0005047435860767,10
Pos3_Paired-Opening,0.0004950590494548,10
Pos10_Paired-Opening,0.0004906966285935,10
Pos63_Unpaired,0.0004831647702344,10
Pos19_Paired-Opening,0.0004784950630259,10
Pos54_Unpaired,0.0004724561731419,10
Pos12_Paired-Opening,0.0004661967030823,10
Pos57_Unpaired,0.0004512009570681,10
Pos60_Unpaired,0.000449746790955,10
Pos26_Unpaired,0.0004437515909185,10
Pos53_Paired-Closing,0.0004389693815755,10
Pos16_Unpaired,0.0004359252147362,10
Pos59_Unpaired,0.0004355927522857,10
Pos18_Paired-Opening,0.000434694302883,10
Pos20_Unpaired,0.0003933640048953,10
Pos54_Paired-Closing,0.0003916151300087,10
Pos41_Unpaired,0.0003913720956423,10
Pos8_Unpaired,0.0003771584801845,10
Pos65_Paired-Closing,0.0003758354669944,10
Pos5_Unpaired,0.0003689410801457,10
Pos51_Unpaired,0.0003659987171208,10
Pos62_Unpaired,0.0003627590787684,10
Pos15_Unpaired,0.0003621812161338,10
Pos6_Paired-Opening,0.0003616486073331,10
Pos21_Paired-Opening,0.0003531696536034,10
Pos25_Unpaired,0.0003416611440018,10
Pos13_Paired-Opening,0.000338334780527,10
Pos57_Paired-Closing,0.0003348396334033,10
Pos9_Paired-Opening,0.0003244109067545,10
Pos6_Unpaired,0.0003234799315127,10
Pos42_Unpaired,0.0003167588392057,10
Pos22_Unpaired,0.0003111268189785,10
Pos56_Paired-Closing,0.0003043837776026,10
Pos68_Paired-Closing,0.0002999650408884,10
Pos67_Unpaired,0.0002970802355612,10
Pos55_Paired-Closing,0.0002961003203535,10
Pos43_Unpaired,0.000295146805962,10
Pos66_Paired-Closing,0.0002937439761693,10
Pos62_Paired-Closing,0.0002930106319269,10
Pos5_Paired-Opening,0.0002917738276588,10
Pos77_Unpaired,0.0002799071739383,10
Pos78_Unpaired,0.0002764407977514,10
Pos64_Unpaired,0.0002692578219343,10
Pos16_Paired-Opening,0.0002626601453001,10
Pos2_Paired-Closing,0.0002566250308168,10
Pos32_Unpaired,0.0002535238026346,10
Pos17_Unpaired,0.0002514404405492,10
Pos58_Paired-Closing,0.0002503155580535,10
Pos60_Paired-Closing,0.0002485354043229,10
Pos15_Paired-Opening,0.0002475115293213,10
Pos59_Paired-Closing,0.0002396577741198,10
Pos77_Paired-Closing,0.0002378230380053,10
Pos11_Paired-Opening,0.0002364852690829,10
Pos32_Paired-Opening,0.0002352611797478,10
Pos63_Paired-Closing,0.000230961078485,10
Pos52_Paired-Closing,0.0002285954177216,10
Pos22_Paired-Opening,0.0002195813034014,10
Pos31_Paired-Opening,0.0002157882906633,10
Pos1_Paired-Closing,0.0002090255200234,10
Pos69_Unpaired,0.0002024488085464,10
Pos28_Unpaired,0.0002014848958057,10
Pos6_Paired-Closing,0.0002002360684448,10
Pos48_Unpaired,0.0001985462478799,10
Pos71_Paired-Opening,0.0001943078029236,10
Pos7_Paired-Closing,0.000192023089531,10
Pos7_Paired-Opening,0.0001913449615888,10
Pos9_Paired-Closing,0.0001908025096185,10
Pos78_Paired-Closing,0.0001903504134698,10
Pos70_Paired-Opening,0.0001881330080455,10
Pos47_Unpaired,0.0001874999860101,10
Pos80_Unpaired,0.0001831384998586,10
Pos69_Paired-Opening,0.0001823126714179,10
Pos8_Paired-Closing,0.0001814823394711,10
Pos31_Unpaired,0.0001812335999006,10
Pos17_Paired-Opening,0.0001789518338255,10
Pos10_Paired-Closing,0.000178098723739,10
Pos79_Unpaired,0.000177902836368,10
Pos23_Unpaired,0.0001764054899418,10
Pos14_Paired-Opening,0.0001752541909767,10
Pos69_Paired-Closing,0.0001707534125086,10
Pos67_Paired-Closing,0.00017003485521,10
Pos79_Paired-Closing,0.0001555469227252,10
Pos30_Paired-Opening,0.0001538843204179,10
Pos24_Unpaired,0.0001495030649441,10
Pos20_Paired-Opening,0.0001437746645671,10
Pos46_Unpaired,0.000143007636887,10
Pos72_Paired-Opening,0.0001429069286613,10
Pos51_Paired-Closing,0.0001369085544369,10
Pos27_Paired-Closing,0.0001324348363995,10
Pos29_Paired-Opening,0.0001302837177169,10
Pos64_Paired-Closing,0.0001299062480627,10
Pos3_Paired-Closing,0.0001282562986778,10
Pos30_Unpaired,0.0001257319239029,10
Pos21_Paired-Closing,0.0001255338612198,10
Pos73_Unpaired,0.0001226217522145,10
Pos27_Paired-Opening,0.0001210880655381,10
Pos71_Paired-Closing,0.0001195860380617,10
Pos24_Paired-Opening,0.0001169982283161,10
Pos5_Paired-Closing,0.0001119329952878,10
Pos29_Unpaired,0.0001101922853691,10
Pos23_Paired-Opening,0.0001066935012231,10
Pos80_Paired-Closing,0.0001046693477514,10
Pos70_Paired-Closing,0.0001017779067155,10
Pos22_Paired-Closing,0.0001016555194992,10
Pos26_Paired-Opening,0.0001014123670325,10
Pos48_Paired-Closing,9.69195393214612e-05,10
Pos26_Paired-Closing,8.828291340191394e-05,10
Pos4_Paired-Closing,8.753623217653232e-05,10
Pos38_Unpaired,8.663102503197732e-05,10
Pos54_Paired-Opening,8.591583443374651e-05,10
Pos25_Paired-Closing,8.57759954308992e-05,10
Pos47_Paired-Closing,8.455243973608705e-05,10
Pos49_Paired-Closing,8.298317591465679e-05,10
Pos28_Paired-Closing,8.276040798701261e-05,10
Pos25_Paired-Opening,7.982211010968958e-05,10
Pos76_Unpaired,7.948816001697003e-05,10
Pos72_Paired-Closing,7.709536915823671e-05,10
Pos50_Unpaired,7.641873836831386e-05,10
Pos49_Unpaired,7.528801329752273e-05,10
Pos50_Paired-Closing,7.389349884806021e-05,10
Pos11_Paired-Closing,7.22748890724097e-05,10
Pos27_Unpaired,7.02012971759714e-05,10
Pos90_Unpaired,6.701073988734117e-05,10
Pos73_Paired-Closing,6.618074200305554e-05,10
Pos33_Unpaired,6.589009453259926e-05,10
Pos41_Paired-Opening,6.444131901510471e-05,10
Pos91_Unpaired,6.32567486514864e-05,10
Pos88_Unpaired,6.134770263105723e-05,10
Pos37_Unpaired,6.026533846889945e-05,10
Pos71_Unpaired,6.0226293566005824e-05,10
Pos44_Paired-Closing,6.009997854765913e-05,10
Pos40_Paired-Closing,5.908899389664247e-05,10
Pos23_Paired-Closing,5.793532196898677e-05,10
Pos28_Paired-Opening,5.7268860369677935e-05,10
Pos35_Unpaired,5.643320787846657e-05,10
Pos52_Paired-Opening,5.624422542017625e-05,10
Pos70_Unpaired,5.562677033849361e-05,10
Pos38_Paired-Closing,5.527538567146258e-05,10
Pos86_Unpaired,5.426835183671909e-05,10
Pos46_Paired-Closing,5.3820594874901274e-05,10
Pos42_Paired-Closing,5.288025293174936e-05,10
Pos74_Unpaired,5.250658325847327e-05,10
Pos37_Paired-Closing,5.16013715408402e-05,10
Pos41_Paired-Closing,5.108842941949841e-05,10
Pos36_Unpaired,5.088555364566411e-05,10
Pos50_Paired-Opening,5.079399114469903e-05,10
Pos75_Unpaired,5.033558058353647e-05,10
Pos29_Paired-Closing,4.991196785497016e-05,10
Pos40_Paired-Opening,4.916182366923791e-05,10
Pos43_Paired-Closing,4.857167420359669e-05,10
Pos76_Paired-Closing,4.8315446890025704e-05,10
Pos51_Paired-Opening,4.818858965496937e-05,10
Pos30_Paired-Closing,4.782491314428784e-05,10
Pos39_Unpaired,4.735887143843082e-05,10
Pos42_Paired-Opening,4.713336351137232e-05,10
Pos43_Paired-Opening,4.511986901089624e-05,10
Pos34_Unpaired,4.464249596300799e-05,10
Pos89_Unpaired,4.449704321429391e-05,10
Pos91_Paired-Closing,4.433251542913712e-05,10
Pos31_Paired-Closing,4.3433842484153176e-05,10
Pos45_Paired-Opening,4.1341989633811507e-05,10
Pos97_Unpaired,3.910324225984701e-05,10
Pos87_Paired-Closing,3.87450615220482e-05,10
Pos72_Unpaired,3.798776423955092e-05,10
Pos86_Paired-Opening,3.598269728255669e-05,10
Pos24_Paired-Closing,3.582481735026729e-05,10
Pos35_Paired-Closing,3.5033310964370195e-05,10
Pos49_Paired-Opening,3.4931051672936974e-05,10
Pos87_Paired-Opening,3.488401678025089e-05,10
Pos39_Paired-Closing,3.463748976365635e-05,10
Pos90_Paired-Closing,3.4580931537219945e-05,10
Pos75_Paired-Closing,3.347356313889311e-05,10
Pos32_Paired-Closing,3.197571312124985e-05,10
Pos74_Paired-Closing,3.165447245497356e-05,10
Pos85_Paired-Opening,3.093513728408662e-05,10
Pos36_Paired-Closing,2.9947065558704746e-05,10
Pos45_Unpaired,2.9377128336649146e-05,10
Pos45_Paired-Closing,2.923050921620165e-05,10
Pos44_Paired-Opening,2.887414541009911e-05,10
Pos34_Paired-Closing,2.552082955030666e-05,10
Pos81_Paired-Closing,2.5345208380467265e-05,10
Pos33_Paired-Closing,2.4243998374183382e-05,10
Pos94_Unpaired,2.394791330603959e-05,10
Pos89_Paired-Closing,2.368563939346911e-05,10
Pos96_Unpaired,2.3183767102094592e-05,10
Pos88_Paired-Closing,2.2317143940731465e-05,10
Pos84_Paired-Opening,2.1553656263177897e-05,10
Pos97_Paired-Closing,2.1163080764923334e-05,10
Pos84_Paired-Closing,1.9313407039542604e-05,10
Pos44_Unpaired,1.9234428147361036e-05,10
Pos82_Paired-Closing,1.8845716538661586e-05,10
Pos83_Paired-Closing,1.857130275035045e-05,10
Pos94_Paired-Closing,1.64641803730573e-05,10
Pos81_Paired-Opening,1.5457192509086398e-05,10
Pos82_Paired-Opening,1.5341119979556168e-05,10
Pos86_Paired-Closing,1.492703150466915e-05,10
Pos96_Paired-Closing,1.4925539549004506e-05,10
Pos85_Unpaired,1.4736118985268604e-05,10
Pos85_Paired-Closing,1.4113505890530091e-05,10
Pos83_Paired-Opening,1.4019397948514308e-05,10
Pos92_Unpaired,1.2898649539235107e-05,10
Pos12_Paired-Closing,1.0640469219638977e-05,10
Pos33_Paired-Opening,1.060628465142426e-05,10
Pos38_Paired-Opening,1.0357382745496984e-05,10
Pos84_Unpaired,1.0076184596599648e-05,10
Pos37_Paired-Opening,8.631843651188196e-06,10
Pos39_Paired-Opening,8.062039766010527e-06,10
Pos92_Paired-Closing,7.92894755957018e-06,10
Pos34_Paired-Opening,6.617993452585021e-06,10
Pos87_Unpaired,6.569352246748827e-06,10
Pos82_Unpaired,5.331797773448038e-06,10
Pos95_Unpaired,4.894371223522157e-06,10
Pos93_Unpaired,4.727925162842912e-06,10
Pos98_Unpaired,4.385020233227647e-06,10
Pos95_Paired-Closing,3.088177593588795e-06,10
Pos93_Paired-Closing,3.072237792188666e-06,10
Pos40_Unpaired,2.7326544282181414e-06,10
Pos13_Paired-Closing,2.64902811962266e-06,10
Pos99_Unpaired,1.9326133747472096e-06,10
Pos98_Paired-Closing,1.823154386762492e-06,10
Pos99_Paired-Closing,1.3308199112570622e-06,10
Pos100_Unpaired,1.2442498492514557e-06,10
Pos81_Unpaired,1.1451761218956672e-06,10
Pos100_Paired-Closing,6.726014732442648e-07,10
Pos83_Unpaired,6.313423216005386e-07,10
Pos14_Paired-Closing,3.423794757991037e-07,10
Pos17_Paired-Closing,0.0,10
Pos59_Paired-Opening,0.0,10
Pos58_Paired-Opening,0.0,10
Pos94_Paired-Opening,0.0,10
Pos57_Paired-Opening,0.0,10
Pos56_Paired-Opening,0.0,10
Pos95_Paired-Opening,0.0,10
Pos55_Paired-Opening,0.0,10
Pos100_Paired-Opening,0.0,10
Pos96_Paired-Opening,0.0,10
Pos53_Paired-Opening,0.0,10
Pos97_Paired-Opening,0.0,10
Pos16_Paired-Closing,0.0,10
Pos48_Paired-Opening,0.0,10
Pos47_Paired-Opening,0.0,10
