Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,1,-0.5472016122197453,3.495804739202094e-79
,16,-0.55671816199748,1.8270235091027018e-82
,21,-0.55671816199748,1.8270235091027018e-82
,28,-0.55671816199748,1.8270235091027018e-82
,53,-0.30301535138833524,1.1086811207454135e-22
,55,-0.55671816199748,1.8270235091027018e-82
,76,-0.04828867642031748,0.12700926369753338
,82,0.0557036098824709,0.07829481388489332
,89,-0.5353247856568193,3.119671194083635e-75
,92,-0.3551462135343179,4.277183239536586e-31
Pos1_Paired-Opening,1,0.4615526642201331,6.597021302936125e-54
,16,0.5472016122197453,3.495804739202094e-79
,21,0.55671816199748,1.8270235091027018e-82
,28,0.14095378965810113,7.672294290585454e-06
,53,-0.1855727206658267,3.3713387303489647e-09
,55,0.55671816199748,1.8270235091027018e-82
,76,-0.16600074513200308,1.2953009969497172e-07
,82,-0.1855727206658267,3.3713387303489647e-09
,89,0.45151879350317836,2.173367766400428e-51
,92,0.33547724032439064,9.960299549468666e-28
Pos1_Paired-Closing,1,,
,16,,
,21,,
,28,,
,53,,
,55,,
,76,,
,82,,
,89,,
,92,,
Pos2_Unpaired,1,-0.9987188055573525,0.0
,16,-0.9987188055573525,0.0
,21,-0.9987188055573525,0.0
,28,-0.9987188055573525,0.0
,53,-0.9987188055573525,0.0
,55,-0.9987188055573525,0.0
,76,-0.9987188055573525,0.0
,82,-0.9987188055573525,0.0
,89,-0.9987188055573525,0.0
,92,-0.9987188055573525,0.0
Pos2_Paired-Opening,1,0.9987188055573525,0.0
,16,0.9987188055573525,0.0
,21,0.9987188055573525,0.0
,28,0.9987188055573525,0.0
,53,0.9987188055573525,0.0
,55,0.642033517858298,2.735631803218802e-117
,76,0.9987188055573525,0.0
,82,0.9987188055573525,0.0
,89,0.9987188055573525,0.0
,92,0.9987188055573525,0.0
Pos2_Paired-Closing,1,,
,16,,
,21,,
,28,,
,53,,
,55,,
,76,,
,82,,
,89,,
,92,,
Pos3_Unpaired,1,-0.999294947701527,0.0
,16,-0.999294947701527,0.0
,21,-0.999294947701527,0.0
,28,-0.999294947701527,0.0
,53,-0.999294947701527,0.0
,55,-0.999294947701527,0.0
,76,-0.999294947701527,0.0
,82,-0.999294947701527,0.0
,89,-0.999294947701527,0.0
,92,-0.9675712985681452,0.0
Pos3_Paired-Opening,1,0.999294947701527,0.0
,16,0.999294947701527,0.0
