Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,38,-0.9993403763392347,0.0
,46,-0.9993403763392347,0.0
,47,-0.9338098598579733,0.0
,52,-0.9993403763392347,0.0
,54,-0.6061572774516669,2.3619606660725317e-101
,57,-0.9338098598579733,0.0
,59,-0.8027488268954507,2.6539966459935936e-226
,75,-0.9993403763392347,0.0
,77,-0.8027488268954507,2.6539966459935936e-226
,95,-0.9010446016173427,0.0
Pos1_Paired-Opening,38,0.9338098598579733,0.0
,46,0.9993403763392347,0.0
,47,0.9993403763392347,0.0
,52,0.9993403763392347,0.0
,54,0.47509624448914434,1.9280832898607393e-57
,57,0.966575118098604,0.0
,59,0.9993403763392347,0.0
,75,0.9993403763392347,0.0
,77,0.1474436620828379,2.835908499995042e-06
,95,0.868279343376712,4.1707936680783896e-306
Pos1_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos2_Unpaired,38,-0.2794829689447259,2.1165527932648885e-19
,46,-0.3393721765757386,2.24142187179362e-28
,47,-0.31940910736540107,3.7472822924656224e-25
,52,-0.9183011836755282,0.0
,54,0.0598892076310127,0.05833209479563028
,57,-0.43918752262742644,2.0816543805017946e-48
,59,-0.8783750452548529,3.16e-322
,75,-0.6987074223618148,2.5230053730441345e-147
,77,-0.1796676228930381,1.0583706868170623e-08
,95,-0.6587812839411397,1.74230316484071e-125
Pos2_Paired-Opening,38,0.7985227684135027,3.247489704488239e-222
,46,-0.019963069210337567,0.5283276385347759
,47,0.21959376131371322,2.197290049999923e-12
,52,0.9981534605168783,0.0
,54,-0.09981534605168783,0.001575602271881564
,57,0.21959376131371322,2.197290049999923e-12
,59,0.9183011836755282,0.0
,75,0.8184858376238403,1.908271522959795e-242
,77,0.29944603815506354,3.6506178136586805e-22
,95,0.73863356078249,4.0267806483326126e-173
Pos2_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos3_Unpaired,38,0.6057999321920685,3.325429148582391e-101
,46,0.582329268614676,7.613357654654734e-92
,47,0.6072258562191665,8.469467094869116e-102
,52,-0.2262362880753615,4.5089319860852993e-13
,54,0.4407445612451053,8.885896802121175e-49
,57,0.07160720380639966,0.023543754349551582
,59,0.17458561191165547,2.7491437249499677e-08
,75,-0.013063877614838045,0.6798872453844769
,77,-0.09082248861172842,0.004047837566985367
,95,0.3683254227692491,1.729913440484604e-33
Pos3_Paired-Opening,38,-0.44562953939088357,5.973749700117923e-50
,46,-0.4432837786186733,2.196057051536302e-49
,47,-0.44960020946713686,6.442684732479339e-51
,52,0.28559023892815694,3.189228116158446e-20
,54,-0.10205051182148915,0.0012313187946038303
,57,-0.10172831421582738,0.001276246492041928
,59,0.15811416583509583,5.023869842592687e-07
,75,0.28911396117561233,1.0474092246551806e-20
,77,0.09243350888918868,0.003437776498182489
,95,-0.30353593200584034,9.304997238649699e-23
Pos3_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos4_Unpaired,38,0.34763890146552273,8.805809973000338e-30
,46,0.6654325231009098,6.886328463391875e-129
,47,-0.2072128023493497,3.680831971722511e-11
,52,-0.06343249051510705,0.044917900390984374
,54,0.6122880882613873,6.230630465545065e-104
,57,0.23420880470929717,6.30205959893948e-14
,59,0.5752925646532161,3.4801367193198075e-89
,75,0.2188533631531881,2.6133683000692772e-12
,77,0.6518263215106757,5.10442637016852e-122
,95,0.18336362858780622,5.1949349091262674e-09
Pos4_Paired-Opening,38,-0.43309919216945797,5.567980514323616e-47
,46,-0.6580568618014986,4.041468563393689e-125
,47,-0.00980115382941313,0.7568959696892321
,52,-0.16727783426244008,1.0336537897995004e-07
,54,-0.6255967387234054,9.934991187900763e-110
,57,-0.038834930582596454,0.21982438327374418
,59,-0.6357315104844546,2.4548960730872237e-114
,75,-0.5249703571813166,6.487412537844306e-72
,77,-0.5502982698830844,3.0707486065123094e-80
,95,-0.027735371830059596,0.38095336199180674
Pos4_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos5_Unpaired,38,0.021415850423749855,0.49874913540001575
,46,0.23173853998057678,1.1686557385038385e-13
,47,-0.6061103014061282,2.4706708078457054e-101
,52,-0.5682679731995022,1.3596982473326409e-86
,54,-0.15382179580693378,1.0222683151371485e-06
,57,-0.2806006291891324,1.502224253537428e-19
,59,-0.37820288684622233,2.3439237593480597e-35
,75,0.023038334384033948,0.46678409103720564
,77,0.15261196672672192,1.2445807601027042e-06
,95,-0.5341020248335198,7.797373848712271e-75
Pos5_Paired-Opening,38,0.21617957529785242,4.863290804662173e-12
,46,-0.11509788672015331,0.00026502085092151704
,47,0.3754924945657477,7.744716971597411e-35
,52,0.44105772789722797,7.483583108234439e-49
,54,-0.1612402051282327,2.958650238775976e-07
,57,0.30877370327406545,1.5650181143748872e-23
,59,-0.26957148966720124,4.1344719584126964e-18
,75,-0.33880372431932354,2.7902215972835866e-28
,77,-0.09255192463620558,0.0033964141329848765
,95,0.403815624970707,1.6463490118490033e-40
Pos5_Paired-Closing,38,,
,46,,
,47,,
,52,,
,54,,
,57,,
,59,,
,75,,
,77,,
,95,,
Pos6_Unpaired,38,-0.3560649392023726,2.937328560413148e-31
,46,0.0526846000432551,0.09589159482739561
,47,-0.5388444521924716,2.186682772269001e-76
,52,-0.613329745058379,2.242557985803644e-104
,54,0.2921645014561016,3.943897764377915e-21
,57,-0.37293027212866947,2.3723796501253402e-34
,59,-0.17468434883899076,2.6993381451147504e-08
,75,-0.16585059267167865,1.3299745953725366e-07
,77,0.06873797088551331,0.029739846714590464
,95,-0.11447197983588331,0.00028637381166123776
Pos6_Paired-Opening,38,0.37743444300539203,3.293111624761782e-35
,46,-0.21524937265046412,6.024827868238102e-12
,47,0.5369412817968736,9.239550248197869e-76
,52,0.6115982129244444,1.2233095028025924e-103
,54,-0.1283000453727164,4.7224175070079446e-05
,57,0.42944903549400976,3.8685779881314965e-46
,59,0.417235122320051,2.1406782018833117e-43
,75,0.23275107634712464,9.080800657498039e-14
,77,-0.2505078497164943,8.955418310009783e-16
,95,0.1346375457023367,1.9394342998126254e-05
Pos6_Paired-Closing,38,-1.0,0.0
,46,-1.0,0.0
,47,-1.0,0.0
,52,1.0,0.0
,54,-1.0,0.0
,57,1.0,0.0
,59,1.0,0.0
,75,-1.0,0.0
,77,-1.0,0.0
,95,-1.0,0.0
Pos7_Unpaired,38,-0.2045413018718459,6.611160532869475e-11
,46,0.3888964315938939,1.8775184473906069e-37
,47,-0.0755046203125184,0.016936240065338354
,52,-0.5538196414195289,1.8730008447937167e-81
,54,0.1315673963568686,2.9998597515999044e-05
,57,-0.25010409259933963,9.988416713835245e-16
,59,-0.028393627591234896,0.3697492396737385
,75,-0.3381134213232372,3.6381106217549024e-28
,77,-0.10861232448740815,0.0005806187248894338
,95,-0.18714387818522069,2.4708986034677725e-09
Pos7_Paired-Opening,38,0.2545311608537944,2.985587633849915e-16
,46,-0.5937275069527708,2.7064314264820036e-96
,47,0.234885764639557,5.314297167318375e-14
,52,0.5937275069527708,2.7064314264820036e-96
,54,-0.03669363728461177,0.24633643700147242
,57,0.22519444044348352,5.799659911475559e-13
,59,0.28793035348751267,1.525145745264695e-20
,75,0.2280442354625583,2.904475071751493e-13
,77,0.10051085553091398,0.0014599979231432563
,95,0.20594316558058479,4.866852195012937e-11
Pos7_Paired-Closing,38,-0.9999941315070582,0.0
,46,-0.3333313771690194,2.244870984213514e-27
,47,-0.9999941315070582,0.0
,52,-0.9999941315070582,0.0
,54,-0.6666627543380388,1.580787136883781e-129
,57,-0.9999941315070582,0.0
,59,0.9999941315070582,0.0
,75,-0.3333313771690194,2.244870984213514e-27
,77,-0.6666627543380388,1.580787136883781e-129
,95,-0.9999941315070582,0.0
Pos8_Unpaired,38,-0.543015863353705,8.993056327544631e-78
,46,0.09964197433130562,0.0016057008357899067
,47,-0.1302080473075809,3.627884706896019e-05
,52,-0.56081843275459,6.527554790083323e-84
,54,-0.45949141939851595,2.205190121433706e-53
,57,-0.1445656496646553,4.432861107908781e-06
,59,-0.5327344490084498,2.162602175384263e-74
,75,-0.4695160642633287,5.761479277448052e-56
,77,-0.44380718314257633,1.643883557621001e-49
,95,-0.56081843275459,6.527554790083323e-84
Pos8_Paired-Opening,38,0.42707145790057943,1.350153105784782e-45
,46,-0.14455110310935473,4.442784570073198e-06
,47,0.017192253196001917,0.5871112536771825
,52,0.5287270369030503,4.183652940168069e-73
,54,0.5084140776813716,7.6682895107213e-67
,57,0.2522892231376334,5.519514403251045e-16
,59,0.38651362630747543,5.5906851328440256e-37
,75,0.41280699307654245,1.9834507509885254e-42
,77,0.4609453020253478,9.422160193928491e-54
,95,0.5287270369030503,4.183652940168069e-73
Pos8_Paired-Closing,38,0.9999621002934385,0.0
,46,-0.9999621002934385,0.0
,47,-0.46664898013693795,3.2214193423642927e-55
,52,0.9999621002934385,0.0
,54,-0.1999924200586877,1.759620747320943e-10
,57,-0.06666414001956256,0.03504711295934105
,59,-0.33332070009781284,2.2539298961085545e-27
,75,0.599977260176063,8.249148196850014e-99
,77,0.9999621002934385,0.0
,95,0.33332070009781284,2.2539298961085545e-27
Pos9_Unpaired,38,0.19187532260516224,9.537500094722596e-10
,46,0.25090218962543115,8.048211633626319e-16
,47,0.3613006732521924,3.369453278495554e-32
,52,-0.4819387329643314,2.7436278455156407e-59
,54,-0.37603567298480917,6.100652182885037e-35
,57,0.34243943925399384,6.821371029916992e-29
,59,-0.2739656674677879,1.1238271147171187e-18
,75,0.08033669529975342,0.011040934077858035
,77,-0.2174362580293184,3.635759169764438e-12
,95,-0.552356178259851,6.013452200904262e-81
Pos9_Paired-Opening,38,0.3681807483999196,1.840377102016951e-33
,46,-0.132055584031717,2.8006338799592154e-05
,47,-0.1740405822948414,3.0405069382950146e-08
,52,0.3847685981276285,1.2360519814694789e-36
,54,0.42656182934187764,1.7626841248232744e-45
,57,-0.0677177391340716,0.03225768428257559
,59,0.2274237345254883,3.379140562542457e-13
,75,0.017091238231006393,0.5893102352515381
,77,0.3452046588565541,2.3073535395754296e-29
,95,0.4785666559087337,2.2578115644387168e-58
Pos9_Paired-Closing,38,0.9999099405196243,0.0
,46,-0.30432041667988563,7.141026886343641e-23
,47,-0.39126910715985297,6.278066329030196e-38
,52,-0.30432041667988563,7.141026886343641e-23
,54,-0.21737172619991832,3.69063795573523e-12
,57,-0.30432041667988563,7.141026886343641e-23
,59,-0.39126910715985297,6.278066329030196e-38
,75,-0.39126910715985297,6.278066329030196e-38
,77,0.7390638690797223,2.0010115743473358e-173
,95,-0.04347434523998367,0.16953187384373938
Pos10_Unpaired,38,0.5354016779080305,2.944668704563474e-75
,46,0.5354005856844943,2.947084777410332e-75
,47,0.49377929469752885,1.386564570936477e-62
,52,0.5354005776534637,2.947102549903711e-75
,54,0.4405367703318071,9.957514704083324e-49
,57,0.5353669659053805,3.0224271466545627e-75
,59,0.5063194813079066,3.2119499541350164e-66
,75,0.5342463098070722,6.999845095677052e-75
,77,0.343801472765952,4.004867533545928e-29
,95,-0.07438574072571418,0.018642599548823725
Pos10_Paired-Opening,38,-0.14255784867666,6.023311589287038e-06
,46,-0.44192830605904554,4.638103077953551e-49
,47,-0.44192830208167805,4.6381132300725216e-49
,52,-0.4334834637236321,4.533883729261871e-47
,54,-0.305602584384464,4.625087505266294e-23
,57,-0.44192830473325634,4.638106461990605e-49
,59,-0.4419283100364131,4.638092925856672e-49
,75,-0.44192830871062394,4.638096309886651e-49
,77,0.13403122402827733,2.1154963587831604e-05
,95,0.012803450445509557,0.6859253379322262
Pos10_Paired-Closing,38,-0.13510315188179176,1.8137870877201123e-05
,46,-0.999763323925259,0.0
,47,-0.999763323925259,0.0
,52,-0.45935071639809205,2.393817154057113e-53
,54,-0.8376395416671089,2.3690908127282067e-264
,57,-0.2972269341399419,7.594653005069289e-22
,59,-0.6214744986562422,6.6494091067799e-108
,75,-0.5674332379035254,2.7371465984273495e-86
,77,-0.24318567338722516,6.292437403266733e-15
,95,0.2972269341399419,7.594653005069289e-22
Pos11_Unpaired,38,0.5658028922860209,1.06725428874552e-85
,46,0.4693067863066847,6.536394074521728e-56
,47,0.547169665417445,3.5841572150157206e-79
,52,0.5156341033054184,5.09247233930891e-69
,54,-0.059824662848071766,0.05860434727089242
,57,0.540728936578279,5.201247971775475e-77
,59,0.5465642160289983,5.749120544984682e-79
,75,0.5592995307514983,2.254915010099471e-83
,77,0.5152374295681602,6.72883784849068e-69
,95,-0.5162291139113057,3.350515594902053e-69
Pos11_Paired-Opening,38,-0.26051589760266136,5.620386534652277e-17
,46,-0.2244428204043944,6.949285260231316e-13
,47,-0.4113399333458014,4.116845490554747e-42
,52,-0.01369674450688691,0.6652998229504112
,54,-0.08918199858230676,0.004768346505247601
,57,-0.33016594180407743,7.357077857189691e-27
,59,-0.4113253566951825,4.146749283619703e-42
,75,-0.4113399382818964,4.1168354005888514e-42
,77,0.23369068052322173,7.177804564216753e-14
,95,0.2315396133686169,1.2278661805468524e-13
Pos11_Paired-Closing,38,-0.0537860704870578,0.08913690620109578
,46,-0.41748036345363,1.8905107750561467e-43
,47,-0.3791394758535172,1.5467980107313473e-35
,52,-0.3903152585928514,9.762379481927812e-38
,54,0.003362501423445118,0.9154245115519835
,57,-0.3570948607122587,1.9246622807306031e-31
,59,-0.2956489840780168,1.2736301920460562e-21
,75,-0.33777094174349737,4.148968924426166e-28
,77,-0.1911323941899364,1.1093033764562808e-09
,95,0.33962659707490184,2.03183759074078e-28
Pos12_Unpaired,38,0.5579201928456525,6.912491899968055e-83
,46,0.5587572824073115,3.5047603100901925e-83
,47,0.43133364913256883,1.4262005625205642e-46
,52,0.5726364340283966,3.380565070274954e-88
,54,0.5563390236736303,2.4804264358004555e-82
,57,0.48604416937234884,2.0417262299452338e-60
,59,0.4493362419277514,7.47759768754252e-51
,75,0.5734631891510227,1.6696206539952754e-88
,77,0.25956493796797037,7.349617020319594e-17
,95,0.0729559725711022,0.021040324341370334
Pos12_Paired-Opening,38,-0.13659698021258754,1.4608836630096788e-05
,46,-0.31473573252684395,1.9680486424407115e-24
,47,-0.14074497879602235,7.916288057925357e-06
,52,-0.31854600962042656,5.101661606341168e-25
,54,-0.3185272855521386,5.135866117638756e-25
,57,-0.30238023974642075,1.3722350531982097e-22
,59,-0.20935389996371384,2.2888302353969264e-11
,75,-0.31854613594718123,5.101431603923362e-25
,77,0.007762363377903165,0.8063293216161744
,95,0.28579946385091565,2.9865138875091046e-20
Pos12_Paired-Closing,38,-0.1533171899926702,1.1099122424440537e-06
,46,-0.42285678686194567,1.2079447862305778e-44
,47,-0.17158562878166989,4.7675793212823195e-08
,52,-0.4009204159184296,6.638394338072063e-40
,54,-0.5054386768262541,5.848806375040754e-66
,57,0.041273139486258464,0.1922013430597301
,59,-0.34158063326332283,9.530460350364854e-29
,75,-0.3602051819702367,5.318348631215293e-32
,77,-0.3134123387563078,3.131095926706604e-24
,95,0.10063666310446975,0.0014399397938156299
Pos13_Unpaired,38,0.6150515249053353,4.1072159205306364e-105
,46,0.6150515249053353,4.1072159205306364e-105
,47,0.5033436989363752,2.41619626685213e-65
,52,0.6150515249053353,4.1072159205306364e-105
,54,0.6150515249053353,4.1072159205306364e-105
,57,0.5970725254065322,1.2378474719600025e-97
,59,0.554744322028721,8.936265615152908e-82
,75,0.6150515249053353,4.1072159205306364e-105
,77,0.6150515249053353,4.1072159205306364e-105
,95,0.5537883036071894,1.9204901693523029e-81
Pos13_Paired-Opening,38,-0.2436017607836661,5.642106923852335e-15
,46,-0.2427666226058463,7.0217335767541e-15
,47,-0.24276658537688373,7.021801921566939e-15
,52,-0.2427666612947863,7.021662552411946e-15
,54,-0.2427665627475227,7.0218434647964336e-15
,57,-0.24278613074796257,6.986010368681196e-15
,59,-0.24276657661713036,7.0218180027898545e-15
,75,-0.2427667934213058,7.0214200026496595e-15
,77,-0.24277952602795094,6.998084852918688e-15
,95,-0.1990388036290159,2.1541909800114288e-10
Pos13_Paired-Closing,38,-0.5380359359309388,4.0379283366964344e-76
,46,-0.34351764419718633,4.4758868510683665e-29
,47,-0.21429155305231665,7.503730729409848e-12
,52,-0.5686860462915448,9.570419277045859e-87
,54,-0.5786608115712821,1.889748909863518e-90
,57,-0.4059065867004906,5.9628754969806e-41
,59,-0.26357435905500987,2.3542445548685248e-17
,75,-0.5786608115712821,1.889748909863518e-90
,77,-0.544879329989802,2.1305088739287076e-78
,95,-0.2098537156929325,2.0470431020867306e-11
Pos14_Unpaired,38,0.5994428428138963,1.360581645391058e-98
,46,0.6009999860142063,3.157781725412261e-99
