Feature,Average_Importance_Magnitude,Number_of_Models
Pos28_G,0.03468126919969147,10
Pos25_G,0.03334716578332251,10
Pos26_G,0.02902216843950481,10
Pos22_G,0.02755266197103277,10
Pos27_G,0.02662477553028823,10
Pos29_G,0.02662077896476526,10
Pos24_G,0.02371256947563241,10
Pos23_G,0.02265477501865596,10
Pos28_A,0.02085697390174918,10
Pos23_A,0.01940093160887204,10
Pos33_G,0.01867759234390301,10
Pos22_A,0.01755663305060565,10
Pos40_A,0.01616395543502677,10
Pos30_G,0.015604088617596771,10
Pos32_G,0.01519154829196959,10
Pos31_A,0.01483034326711154,10
Pos32_A,0.01396428158370482,10
Pos39_A,0.01292067019629021,10
Pos25_T,0.01229928746790276,10
Pos33_A,0.012145553836837561,10
Pos22_T,0.01213364186938116,10
Pos24_A,0.0120714027200326,10
Pos39_G,0.011936934458793699,10
Pos38_G,0.011717571858129031,10
Pos35_T,0.01164942282799431,10
Pos35_A,0.01024351893905137,10
Pos27_A,0.01006608906287635,10
Pos29_A,0.009979687663866959,10
Pos30_A,0.00970646372340701,10
Pos41_T,0.00944566303732786,10
Pos25_A,0.009434740405969349,10
Pos34_A,0.00936975707561449,10
Pos24_T,0.00928383341504521,10
Pos27_T,0.00914895886798689,10
Pos31_G,0.008787824017445791,10
Pos28_T,0.00855867102929144,10
Pos26_T,0.00854537843253798,10
Pos36_A,0.008442451350300601,10
Pos40_G,0.00843376578722488,10
Pos26_C,0.00796573924068235,10
Pos34_T,0.00763192528110859,10
Pos41_A,0.0076238069617314205,10
Pos34_G,0.0075648256091084805,10
Pos29_T,0.00743389860369169,10
Pos24_C,0.007116574722204951,10
Pos40_T,0.00664586517614581,10
Pos36_C,0.00656847082217515,10
Pos42_C,0.00639143953419039,10
Pos31_T,0.0062688893740573005,10
Pos26_A,0.00623009083965496,10
Pos38_A,0.0062131204331050596,10
Pos37_A,0.0059765433777484705,10
Pos36_T,0.00571256289365351,10
Pos23_T,0.00555051267331965,10
Pos27_C,0.00552743708429733,10
Pos37_G,0.005460825905118391,10
Pos37_C,0.00535486376425999,10
Pos25_C,0.005307277074852431,10
Pos31_C,0.005210566417463499,10
Pos32_C,0.005041408245249341,10
Pos41_C,0.0050383743356219,10
Pos41_G,0.00496182557810415,10
Pos22_C,0.00476829806088096,10
Pos42_A,0.00471163047079977,10
Pos23_C,0.00461569254340127,10
Pos38_C,0.00460339911258935,10
Pos32_T,0.00457652382306261,10
Pos29_C,0.00450615273486404,10
Pos28_C,0.00428681384336759,10
Pos33_C,0.00427823205589059,10
Pos33_T,0.004031366354245889,10
Pos30_T,0.0037092416355328497,10
Pos37_T,0.00366198616910835,10
Pos40_C,0.0036584669991110903,10
Pos35_C,0.00360297140483554,10
Pos35_G,0.00355192720375243,10
Pos42_T,0.00350538835262632,10
Pos36_G,0.00336417365346373,10
Pos30_C,0.0032918693388914303,10
Pos34_C,0.00320356565664753,10
Pos39_T,0.0031711989402440797,10
Pos38_T,0.00308335459423314,10
Pos39_C,0.00287242539072874,10
Pos42_G,0.0027861594815061603,10
Pos3_G,0.0,10
Pos3_C,0.0,10
Pos3_A,0.0,10
Pos8_T,0.0,10
Pos3_T,0.0,10
Pos4_C,0.0,10
Pos4_A,0.0,10
Pos9_G,0.0,10
Pos9_C,0.0,10
Pos4_G,0.0,10
Pos9_A,0.0,10
Pos7_G,0.0,10
Pos5_A,0.0,10
Pos4_T,0.0,10
Pos7_T,0.0,10
Pos5_C,0.0,10
Pos8_G,0.0,10
Pos5_G,0.0,10
Pos8_C,0.0,10
Pos5_T,0.0,10
Pos6_A,0.0,10
Pos6_C,0.0,10
Pos6_G,0.0,10
Pos6_T,0.0,10
Pos8_A,0.0,10
Pos7_A,0.0,10
Pos7_C,0.0,10
Pos10_A,0.0,10
Pos2_A,0.0,10
Pos2_T,0.0,10
Pos13_G,0.0,10
Pos16_C,0.0,10
Pos16_A,0.0,10
Pos15_T,0.0,10
Pos15_G,0.0,10
Pos15_C,0.0,10
Pos15_A,0.0,10
Pos14_T,0.0,10
Pos14_G,0.0,10
Pos14_C,0.0,10
Pos14_A,0.0,10
Pos13_T,0.0,10
Pos13_C,0.0,10
Pos16_T,0.0,10
Pos13_A,0.0,10
Pos12_T,0.0,10
Pos12_G,0.0,10
Pos12_C,0.0,10
Pos12_A,0.0,10
Pos11_T,0.0,10
Pos11_G,0.0,10
Pos11_C,0.0,10
Pos11_A,0.0,10
Pos10_T,0.0,10
Pos10_G,0.0,10
Pos16_G,0.0,10
Pos17_A,0.0,10
Pos2_G,0.0,10
Pos1_G,0.0,10
Pos2_C,0.0,10
Pos10_C,0.0,10
Pos21_T,0.0,10
Pos21_G,0.0,10
Pos21_C,0.0,10
Pos21_A,0.0,10
Pos20_T,0.0,10
Pos20_G,0.0,10
Pos20_C,0.0,10
Pos20_A,0.0,10
Pos1_T,0.0,10
Pos1_C,0.0,10
Pos17_C,0.0,10
Pos1_A,0.0,10
Pos19_T,0.0,10
Pos19_G,0.0,10
Pos19_C,0.0,10
Pos19_A,0.0,10
Pos18_T,0.0,10
Pos18_G,0.0,10
Pos18_C,0.0,10
Pos18_A,0.0,10
Pos17_T,0.0,10
Pos17_G,0.0,10
Pos9_T,0.0,10
