Feature,Model,Spearman Correlation,P-Value
Pos1_Unpaired,21,-0.3551672134659928,4.240659086780719e-31
,23,-0.3548269073952469,4.872531620744212e-31
,24,-0.3702541631277547,7.556579290176742e-34
,41,-0.3702541631277547,7.556579290176742e-34
,44,-0.3702541631277547,7.556579290176742e-34
,59,-0.3702541642385185,7.55657567355634e-34
,6,-0.3702541631277547,7.556579290176742e-34
,61,-0.3702541631277547,7.556579290176742e-34
,64,-0.3702541642385185,7.55657567355634e-34
,80,-0.3702541631277547,7.556579290176742e-34
Pos1_Paired-Opening,21,0.3702541631277547,7.556579290176742e-34
,23,0.3702541642385185,7.55657567355634e-34
,24,0.3702541631277547,7.556579290176742e-34
,41,0.3702541631277547,7.556579290176742e-34
,44,0.3702541631277547,7.556579290176742e-34
,59,0.3702541642385185,7.55657567355634e-34
,6,0.3702541631277547,7.556579290176742e-34
,61,0.24213662926535856,8.277030464510942e-15
,64,0.3702541631277547,7.556579290176742e-34
,80,0.3702541631277547,7.556579290176742e-34
Pos1_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos2_Unpaired,21,-0.025143346934024202,0.4270594787527574
,23,-0.31839417222769595,5.385660952248001e-25
,24,0.2568326722608114,1.5788489948788288e-16
,41,-0.09616668535239677,0.002332129537529143
,44,-0.45340071192291437,7.435018915431914e-52
,59,-0.36684143176741313,3.2592602233739416e-33
,6,-0.3538065913831953,7.381948574731394e-31
,61,-0.45340071192291437,7.435018915431914e-52
,64,0.2452137993091939,3.6901958590334386e-15
,80,-0.1938287381803434,6.392320055599363e-10
Pos2_Paired-Opening,21,0.3970928481311917,4.106397282331651e-39
,23,0.4528846116437422,9.984543339974346e-52
,24,0.19048070303597073,1.265880549746457e-09
,41,0.14442867812523164,4.527147435963267e-06
,44,0.45340071192291437,7.435018915431914e-52
,59,-0.25973077382847004,7.014279006776263e-17
,6,0.40463585221139897,1.106313892521909e-40
,61,-0.10205552187115507,0.0012306318464859823
,64,0.29452122598086455,1.8393392575312766e-21
,80,-0.3959680141894064,6.983409582580318e-39
Pos2_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos3_Unpaired,21,-0.31327544521882544,3.2847192888267924e-24
,23,-0.5006078810888325,1.5178328436672885e-64
,24,-0.4020635888480648,3.83424986555991e-40
,41,-0.5006078810888325,1.5178328436672885e-64
,44,-0.5006078810888325,1.5178328436672885e-64
,59,-0.5006078810888325,1.5178328436672885e-64
,6,-0.5006078810888325,1.5178328436672885e-64
,61,-0.5006078810888325,1.5178328436672885e-64
,64,-0.5006078810888325,1.5178328436672885e-64
,80,-0.5006078810888325,1.5178328436672885e-64
Pos3_Paired-Opening,21,0.5006078810888325,1.5178328436672885e-64
,23,0.5006078810888325,1.5178328436672885e-64
,24,0.5006078810888325,1.5178328436672885e-64
,41,0.5006078810888325,1.5178328436672885e-64
,44,0.4737005670435243,4.536364056676733e-57
,59,0.47826701989486614,2.7197647953086506e-58
,6,0.5006078810888325,1.5178328436672885e-64
,61,0.3632667177724914,1.478707696884001e-32
,64,0.5006078810888325,1.5178328436672885e-64
,80,0.5006078810888325,1.5178328436672885e-64
Pos3_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos4_Unpaired,21,-0.17170042729481738,4.6690111999063545e-08
,23,0.3482975437160856,6.775483343196434e-30
,24,0.40871234670230894,1.5088762934280757e-41
,41,0.4864024256129055,1.6248201868219942e-60
,44,0.41463703640313265,7.935838993257578e-43
,59,0.49315438204813583,2.085288670775356e-62
,6,-0.19760117549410644,2.9169066834838935e-10
,61,-0.47595210024738677,1.1387099937206403e-57
,64,-0.3145499272272045,2.100925325704502e-24
,80,0.42472239115053084,4.5968670701981415e-45
Pos4_Paired-Opening,21,0.03150304718743966,0.3196317784815728
,23,-0.3270927508032811,2.2984132674896556e-26
,24,0.10998389577063071,0.0004935714744373937
,41,-0.4831055243625497,1.315850818263327e-59
,44,-0.42323817730350727,9.919377139309465e-45
,59,-0.49315438204813583,2.085288670775356e-62
,6,-0.027391044889948018,0.3868961617155797
,61,-0.1797297808934697,1.0459066976727816e-08
,64,-0.2893547888896152,9.700993516357308e-21
,80,-0.4012547804053789,5.655035215507626e-40
Pos4_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos5_Unpaired,21,-0.4089973723106647,1.3113169056298758e-41
,23,0.43003742271130885,2.8349450867963103e-46
,24,0.062352775358407615,0.04869871087695897
,41,0.2649120934728318,1.6032476012739676e-17
,44,0.3150287121990345,1.775224577148941e-24
,59,0.4066115310517057,4.2271285576301365e-41
,6,-0.3722889024140502,3.134736412530382e-34
,61,-0.43003742271130885,2.8349450867963103e-46
,64,-0.18577471557332678,3.239798559314108e-09
,80,-0.047130829080488004,0.13638962349451883
Pos5_Paired-Opening,21,0.4282375775510416,7.322924226196846e-46
,23,-0.42327056300022636,9.754697349590728e-45
,24,-0.4046303061466053,1.109295722829165e-40
,41,-0.4295072357648735,3.75153549082147e-46
,44,-0.31652160702189197,1.047812179511373e-24
,59,-0.31310329644619045,3.4885259822347876e-24
,6,0.24726244907176093,2.1418537727963155e-15
,61,0.37813491111290287,2.4155808199354174e-35
,64,-0.04311257011803077,0.17311350413139592
,80,0.3459748871251809,1.7027205980752437e-29
Pos5_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos6_Unpaired,21,-0.2499609811030274,1.0382002185064742e-15
,23,-0.6359118445015551,2.025298668125082e-114
,24,-0.22741922896546268,3.382851184524259e-13
,41,-0.656451889049304,2.585358322815863e-124
,44,-0.6654325231009098,6.886328463391875e-129
,59,-0.6623127446050707,2.7869161785217332e-127
,6,-0.3314629401316063,4.531179000213322e-27
,61,-0.6654325231009098,6.886328463391875e-129
,64,-0.623369613612214,9.702666648200053e-109
,80,-0.2671017294284316,8.508324903067295e-18
Pos6_Paired-Opening,21,0.6387430885700331,9.716361616593779e-116
,23,0.07190818931883138,0.02296376909006784
,24,0.48648707793206625,1.5393947196125386e-60
,41,0.6510148184337233,1.2779316539187098e-121
,44,0.6654325231009098,6.886328463391875e-129
,59,0.4830156481028812,1.3926172464358792e-59
,6,0.561650296259562,3.301495803356891e-84
,61,0.6647382371350727,1.5751724921956078e-128
,64,0.33951485399514436,2.1213839334719013e-28
,80,0.6643054354940315,2.6353796041894233e-128
Pos6_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos7_Unpaired,21,-0.5459467011659113,9.299800848428913e-79
,23,-0.3607784706685627,4.189312966869982e-32
,24,-0.6098568454361826,6.666861523519174e-103
,41,-0.5641772272331547,4.1140391101404264e-85
,44,-0.5937907639101122,2.5539208688581165e-96
,59,-0.5525876105536011,5.002412221672102e-81
,6,-0.3929499872578157,2.8735594492201185e-38
,61,-0.5033268204733596,2.4438707712894103e-65
,64,-0.47486437475693505,2.2231941060155057e-57
,80,-0.1311210664658314,3.193709428565264e-05
Pos7_Paired-Opening,21,0.5637541767091981,5.837562346510094e-85
,23,0.5263289629154616,2.416826140072302e-72
,24,-0.45138015148520816,2.3514596043685917e-51
,41,0.520219326278787,1.9790987371557377e-70
,44,0.6047015320744796,9.49193083423621e-101
,59,-0.4654687177713887,6.5119176193470344e-55
,6,-0.5785511066633989,2.0789505776476116e-90
,61,0.5399846402934075,9.181382412769792e-77
,64,0.5082853661495014,8.376243005859009e-67
,80,0.28336022478451645,6.399996384499741e-20
Pos7_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos8_Unpaired,21,-0.401751172981542,4.455742906411556e-40
,23,-0.0656606894463397,0.03789238268839007
,24,0.27501216545207835,8.21178907592975e-19
,41,-0.5153121190743067,6.385091122081336e-69
,44,-0.5269327732503049,1.5560899998536196e-72
,59,0.2992218616520744,3.932164042748564e-22
,6,0.588640044265635,2.7549417073980254e-94
,61,0.5941708367170979,1.8019412414093381e-96
,64,-0.47254331968429325,9.194121329080436e-57
,80,-0.03395347495925213,0.2834194136504187
Pos8_Paired-Opening,21,0.11806345041697024,0.00018262060039261546
,23,-0.27540151726725354,7.304497682845458e-19
,24,0.46309904232132576,2.653383729564495e-54
,41,0.4738611258279631,4.1119565020287644e-57
,44,-0.5573321649735988,1.1126130633706623e-82
,59,-0.038565796462096735,0.2230395142339716
,6,-0.3772819089047626,3.522654519949826e-35
,61,-0.4156180876297046,4.845150533530772e-43
,64,-0.4860807827965384,1.9946447867146922e-60
,80,-0.35311214622427173,9.785613245751934e-31
Pos8_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos9_Unpaired,21,-0.24229133123645272,7.94973874253959e-15
,23,0.612887851702888,3.4610730182063255e-104
,24,0.6206903888293727,1.4687868063267734e-107
,41,0.5815049532974692,1.5723348498692618e-91
,44,0.31559487191553165,1.4540281934120216e-24
,59,0.5626656170375802,1.4329897080143225e-84
,6,0.6251818862158364,1.5210196256400198e-109
,61,0.6251818862158364,1.5210196256400198e-109
,64,0.5436535308782119,5.499622384754697e-78
,80,0.6250763168328212,1.69496082371293e-109
Pos9_Paired-Opening,21,-0.5805740232836082,3.5577097601904113e-91
,23,-0.5855645759352344,4.331358990057115e-93
,24,0.30885762583583626,1.5205006206823888e-23
,41,-0.4814923587155523,3.6314756082605642e-59
,44,0.21611972146532832,4.930920809796528e-12
,59,0.04134480927539564,0.1914298130791016
,6,-0.4722406418767683,1.1055041333670245e-56
,61,-0.6233968039212162,9.437482716306657e-109
,64,-0.5923498080981184,9.541734836856835e-96
,80,-0.6116594079732569,1.1523244999459286e-103
Pos9_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos10_Unpaired,21,0.4159776248154444,4.0420088077456615e-43
,23,0.4324749055659279,7.7698289156443295e-47
,24,0.5129816356282871,3.258927604326991e-68
,41,0.4763314862022925,9.011998774967402e-58
,44,0.48809430923898645,5.505170675097484e-61
,59,0.5153383900212133,6.268385462066982e-69
,6,0.190525262356139,1.254522197800036e-09
,61,0.4947560683229912,7.314578841907655e-63
,64,0.5180826995809763,9.044766236982823e-70
,80,0.4640554144311391,1.5071340444860685e-54
Pos10_Paired-Opening,21,-0.41105462675022086,4.7430521972823913e-42
,23,-0.4257188763062061,2.736937348243436e-45
,24,-0.39204347464728273,4.38236582311287e-38
,41,-0.4576345680184112,6.4940057030629305e-53
,44,-0.4466678042433279,3.346413404099171e-50
,59,-0.5215706960825072,7.527355396569814e-71
,6,-0.22907128976044325,2.2585723166338445e-13
,61,-0.4960339529271556,3.158314271576167e-63
,64,-0.36784746287990694,2.1221865418686646e-33
,80,-0.3430648811302918,5.343299199956875e-29
Pos10_Paired-Closing,21,,
,23,,
,24,,
,41,,
,44,,
,59,,
,6,,
,61,,
,64,,
,80,,
Pos11_Unpaired,21,-0.37825773317021627,2.28764768730609e-35
,23,-0.44300947296287624,2.5554700190418058e-49
,24,-0.3898785065231085,1.1943602795602134e-37
,41,-0.32875760818090455,1.242001988941209e-26
,44,-0.33051580934172714,6.456899202777749e-27
,59,-0.007683026966079589,0.8082700722687408
,6,-0.5296607005870833,2.1054438470449423e-73
,61,-0.233450620995725,7.623032729631535e-14
,64,-0.29819195723122033,5.527119694023187e-22
,80,-0.24322996473047764,6.219849942348479e-15
