Feature,Q1,Q3,Median Spearman Correlation
Pos21_A,0.285,0.634,0.571
Pos21_G,0.49,0.703,0.7
Pos21_T,0.682,0.781,0.781
Pos22_C,0.806,0.806,0.806
Pos22_G,0.148,0.669,0.426
Pos23_A,0.661,0.661,0.661
Pos24_A,0.682,0.686,0.686
Pos24_G,0.245,0.74,0.594
Pos25_C,0.469,0.648,0.564
Pos25_G,0.648,0.739,0.728
Pos26_A,0.704,0.71,0.71
Pos26_C,0.756,0.777,0.768
Pos26_G,0.698,0.733,0.721
Pos27_A,0.668,0.682,0.682
Pos27_C,0.755,0.755,0.755
Pos27_G,0.244,0.639,0.515
Pos28_A,0.27,0.623,0.525
Pos28_C,0.791,0.791,0.791
Pos29_C,0.779,0.779,0.779
Pos29_G,0.221,0.652,0.586
Pos30_A,0.425,0.678,0.629
Pos30_C,0.468,0.779,0.613
Pos30_G,0.665,0.693,0.679
Pos31_C,0.485,0.764,0.601
Pos31_G,0.395,0.734,0.681
Pos32_C,0.775,0.775,0.775
Pos32_G,0.065,0.642,0.468
Pos33_C,0.776,0.787,0.784
Pos33_G,0.44,0.678,0.603
Pos34_A,0.06,0.521,0.285
Pos34_C,0.377,0.744,0.569
Pos34_G,0.531,0.744,0.643
Pos35_A,0.052,0.473,0.318
Pos37_C,0.804,0.805,0.805
Pos38_A,0.626,0.672,0.666
Pos39_A,0.505,0.643,0.605
Pos39_T,0.628,0.789,0.755
Pos40_A,0.629,0.648,0.646
Pos40_C,0.803,0.803,0.803
