Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,-0.43,-0.382,-0.43
Pos2_Paired-Opening,-0.54,-0.495,-0.54
Pos3_Paired-Opening,-0.584,-0.584,-0.584
Pos4_Paired-Opening,-0.61,-0.61,-0.61
Pos5_Paired-Opening,-0.603,-0.603,-0.603
Pos6_Paired-Opening,-0.59,-0.59,-0.59
Pos7_Paired-Opening,-0.559,-0.559,-0.559
Pos7_Paired-Closing,-1.0,-0.625,-1.0
Pos8_Paired-Opening,-0.517,-0.517,-0.517
Pos8_Paired-Closing,-0.196,-0.196,-0.196
Pos9_Paired-Opening,-0.47,-0.467,-0.47
Pos9_Paired-Closing,-0.3,-0.3,-0.3
Pos10_Paired-Opening,-0.398,-0.388,-0.398
Pos10_Paired-Closing,-0.377,-0.377,-0.377
Pos11_Paired-Opening,-0.327,-0.327,-0.327
Pos11_Paired-Closing,-0.442,-0.442,-0.442
Pos12_Paired-Opening,-0.236,-0.236,-0.236
Pos12_Paired-Closing,-0.538,-0.538,-0.538
Pos13_Paired-Opening,-1.0,-1.0,-1.0
Pos14_Unpaired,-0.571,-0.202,-0.468
Pos14_Paired-Opening,-1.0,-1.0,-1.0
Pos15_Unpaired,-0.521,-0.181,-0.337
Pos15_Paired-Opening,-1.0,-1.0,-1.0
Pos16_Paired-Closing,-0.59,-0.406,-0.573
Pos17_Paired-Closing,-0.592,-0.592,-0.592
Pos18_Paired-Closing,-0.55,-0.55,-0.55
Pos19_Paired-Closing,-0.473,-0.473,-0.473
Pos20_Paired-Closing,-0.355,-0.355,-0.355
