Feature,Q1,Q3,Median Spearman Correlation
Pos2_A,0.786,0.786,0.786
Pos3_A,0.733,0.761,0.76
Pos3_C,0.387,0.523,0.449
Pos4_A,0.225,0.585,0.436
Pos4_C,0.293,0.707,0.48
Pos5_A,0.724,0.825,0.809
Pos5_C,0.009,0.408,0.244
Pos6_A,0.188,0.58,0.295
Pos6_C,0.492,0.694,0.569
Pos7_A,0.038,0.532,0.321
Pos7_C,0.088,0.429,0.258
Pos8_A,0.701,0.704,0.704
Pos9_A,0.782,0.783,0.783
Pos9_T,0.265,0.375,0.351
Pos10_A,0.546,0.626,0.611
Pos10_G,0.466,0.555,0.53
Pos11_A,0.677,0.678,0.678
Pos11_C,0.503,0.687,0.587
Pos12_A,0.55,0.601,0.582
Pos12_C,0.713,0.722,0.72
Pos13_A,0.55,0.607,0.574
Pos13_C,0.512,0.691,0.647
Pos14_A,0.695,0.698,0.698
Pos14_C,0.024,0.352,0.186
Pos14_G,0.385,0.636,0.581
Pos15_A,0.728,0.728,0.728
Pos16_A,0.694,0.695,0.695
Pos17_A,0.773,0.777,0.777
Pos18_A,0.765,0.768,0.768
Pos18_T,0.719,0.719,0.719
Pos19_A,0.542,0.542,0.542
Pos19_T,0.501,0.588,0.537
Pos20_C,0.815,0.815,0.815
Pos20_T,0.601,0.603,0.603
