Feature,Q1,Q3,Median Spearman Correlation
Pos2_Paired-Opening,0.25,0.452,0.357
Pos3_Paired-Opening,0.397,0.642,0.476
Pos5_Paired-Opening,1.0,1.0,1.0
Pos6_Paired-Opening,1.0,1.0,1.0
Pos7_Paired-Opening,0.782,1.0,0.913
Pos8_Paired-Opening,0.181,0.944,0.639
Pos9_Paired-Opening,0.776,1.0,0.978
Pos10_Paired-Opening,0.999,0.999,0.999
Pos11_Paired-Opening,0.247,0.305,0.277
Pos12_Paired-Opening,0.317,0.348,0.348
Pos13_Paired-Opening,1.0,1.0,1.0
Pos14_Paired-Opening,1.0,1.0,1.0
Pos15_Paired-Opening,1.0,1.0,1.0
Pos16_Paired-Opening,0.344,0.344,0.344
Pos17_Paired-Opening,0.314,0.314,0.314
Pos18_Paired-Opening,1.0,1.0,1.0
Pos19_Paired-Opening,1.0,1.0,1.0
Pos20_Paired-Opening,1.0,1.0,1.0
Pos21_Paired-Opening,1.0,1.0,1.0
Pos22_Paired-Opening,0.999,0.999,0.999
Pos23_Paired-Opening,0.166,0.371,0.28
