Feature,Importance Magnitude
Pos21_Unpaired,0.0026490797942829766
Pos5_Unpaired,0.002557666167621169
Pos4_Unpaired,0.0025337505975830885
Pos4_Paired-Opening,0.0019755185685294
Pos5_Paired-Opening,0.0019692198959446513
Pos2_Paired-Opening,0.0018018330171327658
Pos2_Unpaired,0.001690728015158334
Pos19_Unpaired,0.0013997260167263033
Pos6_Unpaired,0.001395340973834351
Pos3_Unpaired,0.0013755439465507908
Pos3_Paired-Opening,0.0011856713521945915
Pos1_Unpaired,0.0011541830451582502
Pos21_Paired-Opening,0.0011028032705408593
Pos1_Paired-Opening,0.0011009634568826493
Pos6_Paired-Opening,0.0010456305519933391
Pos19_Paired-Opening,0.0010090270650735735
Pos13_Unpaired,0.0009774389364372459
Pos7_Unpaired,0.0009642279508372292
Pos10_Unpaired,0.000924340929744026
Pos20_Unpaired,0.0008101726701244248
Pos13_Paired-Opening,0.000787869585547595
Pos7_Paired-Opening,0.0007290348299697494
Pos16_Unpaired,0.0007252326176430133
Pos10_Paired-Opening,0.000701482371089476
Pos20_Paired-Opening,0.0006337120155876984
Pos16_Paired-Opening,0.0006088785487907786
Pos18_Paired-Opening,0.0005362489258845431
Pos12_Unpaired,0.0004226322442741034
Pos17_Unpaired,0.0004065894477446259
Pos18_Unpaired,0.00034229982831406785
Pos17_Paired-Opening,0.0003148567839342274
Pos12_Paired-Opening,0.00020293418059240195
Pos3_Paired-Closing,0.00014215876173227982
Pos9_Paired-Opening,0.00012824113265221332
Pos11_Paired-Opening,9.125171743507684e-05
Pos8_Unpaired,8.902530701073993e-05
Pos11_Unpaired,8.202147666771797e-05
Pos2_Paired-Closing,8.14032183564266e-05
Pos8_Paired-Opening,7.782179344750706e-05
Pos9_Unpaired,5.9841895917195946e-05
Pos15_Paired-Opening,4.15462047379688e-05
Pos15_Unpaired,3.6953743972698195e-05
Pos1_Paired-Closing,3.39382013259453e-05
Pos14_Unpaired,2.874862806274849e-05
Pos14_Paired-Opening,2.44416197374805e-05
Pos7_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos12_Paired-Closing,0.0
Pos19_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos18_Paired-Closing,0.0
Pos20_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos17_Paired-Closing,0.0
Pos11_Paired-Closing,0.0
Pos16_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos10_Paired-Closing,0.0
Pos15_Paired-Closing,0.0
Pos14_Paired-Closing,0.0
Pos13_Paired-Closing,0.0
Pos21_Paired-Closing,0.0
