Feature,Importance Magnitude
Pos1_Unpaired,0.027479908840102988
Pos2_Unpaired,0.015600240354095856
Pos4_Unpaired,0.015340566394536249
Pos5_Unpaired,0.01368914949144931
Pos3_Unpaired,0.01188549816961523
Pos2_Paired-Opening,0.011013723773500704
Pos13_Paired-Opening,0.009583647234711896
Pos10_Paired-Opening,0.00920045397165926
Pos10_Unpaired,0.009117643664352325
Pos13_Unpaired,0.008607824603841291
Pos5_Paired-Opening,0.008476874312958543
Pos6_Unpaired,0.007807150844206292
Pos6_Paired-Opening,0.007340978912363021
Pos8_Unpaired,0.007300704491689646
Pos8_Paired-Opening,0.007087724297439524
Pos1_Paired-Opening,0.006762091133860862
Pos11_Paired-Opening,0.006611148858741398
Pos7_Paired-Opening,0.006105472787159669
Pos9_Unpaired,0.005887497847981248
Pos19_Paired-Opening,0.005828889393477565
Pos12_Paired-Opening,0.005753044317536804
Pos7_Unpaired,0.00556927436434431
Pos9_Paired-Opening,0.00519710702087959
Pos11_Unpaired,0.005161970235689459
Pos4_Paired-Opening,0.005153172830202782
Pos3_Paired-Opening,0.0047117198099504015
Pos12_Unpaired,0.004679546452769533
Pos16_Paired-Opening,0.0045541119679405285
Pos20_Paired-Opening,0.004459255657595342
Pos16_Unpaired,0.003784507646898685
Pos17_Paired-Opening,0.003584280954867462
Pos19_Unpaired,0.003437015072616539
Pos21_Paired-Opening,0.0028317498234167095
Pos20_Unpaired,0.002550269004553905
Pos15_Paired-Opening,0.0025435556673513195
Pos14_Unpaired,0.0022780068427347574
Pos15_Unpaired,0.002243266344937364
Pos17_Unpaired,0.0022275456128013583
Pos21_Unpaired,0.0022263009981402233
Pos14_Paired-Opening,0.0020571312640183526
Pos18_Paired-Opening,0.001859974969242579
Pos18_Unpaired,0.0013833376982144525
Pos3_Paired-Closing,0.000805888260147767
Pos1_Paired-Closing,0.0007993534843457745
Pos2_Paired-Closing,0.00047161313776130525
Pos18_Paired-Closing,0.0
Pos19_Paired-Closing,0.0
Pos20_Paired-Closing,0.0
Pos17_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos16_Paired-Closing,0.0
Pos15_Paired-Closing,0.0
Pos14_Paired-Closing,0.0
Pos13_Paired-Closing,0.0
Pos12_Paired-Closing,0.0
Pos11_Paired-Closing,0.0
Pos10_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
Pos21_Paired-Closing,0.0
