Struct,Position,Computed_Spearman,Sign
C,1,0.607,positive
O,1,0.0,zero
U,1,-0.63,negative
C,2,0.829,positive
O,2,0.0,zero
U,2,-0.829,negative
C,3,0.0,zero
O,3,0.0,zero
U,3,-0.416,negative
C,4,-0.577,negative
O,4,0.0,zero
U,4,0.679,positive
C,5,0.0,zero
O,5,0.0,zero
U,5,0.335,positive
C,6,-0.717,negative
O,6,0.0,zero
U,6,0.724,positive
C,7,0.0,zero
O,7,0.0,zero
U,7,-0.51,negative
C,8,0.0,zero
O,8,-1.0,negative
U,8,0.0,zero
C,9,0.0,zero
O,9,-0.181,negative
U,9,0.522,positive
C,10,-0.409,negative
O,10,-0.254,negative
U,10,0.8,positive
C,11,-0.678,negative
O,11,-0.295,negative
U,11,0.837,positive
C,12,-0.201,negative
O,12,-0.079,negative
U,12,0.288,positive
C,13,0.0,zero
O,13,0.091,positive
U,13,-0.214,negative
C,14,-0.796,negative
O,14,-0.228,negative
U,14,0.825,positive
C,15,-0.752,negative
O,15,0.0,zero
U,15,0.423,positive
C,16,-0.845,negative
O,16,0.339,positive
U,16,0.344,positive
C,17,-0.834,negative
O,17,0.135,positive
U,17,0.736,positive
C,18,0.751,positive
O,18,-0.227,negative
U,18,-0.45,negative
C,19,-0.46,negative
O,19,0.303,positive
U,19,0.153,positive
C,20,-0.851,negative
O,20,0.405,positive
U,20,0.864,positive
C,21,-0.502,negative
O,21,0.444,positive
U,21,0.0,zero
C,22,0.242,positive
O,22,-0.079,negative
U,22,0.0,zero
C,23,0.525,positive
O,23,-0.244,negative
U,23,0.0,zero
C,24,0.648,positive
O,24,0.0,zero
U,24,-0.545,negative
C,25,0.661,positive
O,25,0.383,positive
U,25,-0.557,negative
C,26,0.613,positive
O,26,0.0,zero
U,26,-0.269,negative
C,27,-0.658,negative
O,27,0.0,zero
U,27,0.351,positive
C,28,0.293,positive
O,28,0.0,zero
U,28,0.0,zero
C,29,-0.581,negative
O,29,-0.186,negative
U,29,0.317,positive
C,30,0.0,zero
O,30,0.531,positive
U,30,-0.438,negative
C,31,-0.525,negative
O,31,0.44,positive
U,31,0.0,zero
C,32,-0.656,negative
O,32,0.182,positive
U,32,0.434,positive
C,33,0.0,zero
O,33,-0.363,negative
U,33,0.455,positive
C,34,0.196,positive
O,34,-0.436,negative
U,34,0.289,positive
C,35,0.0,zero
O,35,-0.377,negative
U,35,0.377,positive
C,36,0.0,zero
O,36,-0.339,negative
U,36,0.339,positive
C,37,0.0,zero
O,37,0.528,positive
U,37,-0.62,negative
C,38,0.12,positive
O,38,-0.396,negative
U,38,0.429,positive
C,39,-0.229,negative
O,39,-0.601,negative
U,39,0.613,positive
C,40,0.0,zero
O,40,0.658,positive
U,40,-1.0,negative
C,41,0.0,zero
O,41,-0.216,negative
U,41,0.617,positive
C,42,-0.617,negative
O,42,-0.314,negative
U,42,0.677,positive
C,43,-0.617,negative
O,43,0.128,positive
U,43,0.0,zero
C,44,-0.618,negative
O,44,0.674,positive
U,44,-0.323,negative
C,45,0.0,zero
O,45,0.692,positive
U,45,-0.365,negative
C,46,0.0,zero
O,46,-0.751,negative
U,46,0.755,positive
C,47,0.0,zero
O,47,-0.759,negative
U,47,0.759,positive
C,48,0.0,zero
O,48,-0.756,negative
U,48,0.756,positive
C,49,0.0,zero
O,49,0.0,zero
U,49,0.516,positive
C,50,-0.61,negative
O,50,0.619,positive
U,50,-0.242,negative
C,51,-0.61,negative
O,51,-0.699,negative
U,51,0.827,positive
C,52,0.0,zero
O,52,-0.715,negative
U,52,0.833,positive
C,53,0.0,zero
O,53,0.0,zero
U,53,0.355,positive
C,54,-0.455,negative
O,54,0.725,positive
U,54,-0.519,negative
C,55,0.0,zero
O,55,-0.508,negative
U,55,0.733,positive
C,56,0.0,zero
O,56,0.75,positive
U,56,-0.35,negative
C,57,0.0,zero
O,57,0.0,zero
U,57,0.0,zero
C,58,0.0,zero
O,58,-0.83,negative
U,58,0.771,positive
C,59,0.0,zero
O,59,0.761,positive
U,59,-0.76,negative
C,60,0.0,zero
O,60,0.857,positive
U,60,-0.802,negative
C,61,0.0,zero
O,61,0.571,positive
U,61,-0.701,negative
C,62,0.0,zero
O,62,-0.289,negative
U,62,0.0,zero
C,63,0.0,zero
O,63,0.0,zero
U,63,0.0,zero
C,64,0.0,zero
O,64,0.807,positive
U,64,-0.817,negative
C,65,0.0,zero
O,65,-0.705,negative
U,65,0.463,positive
C,66,0.0,zero
O,66,0.0,zero
U,66,0.0,zero
C,67,0.0,zero
O,67,0.713,positive
U,67,-0.713,negative
C,68,0.0,zero
O,68,-0.722,negative
U,68,0.514,positive
C,69,0.777,positive
O,69,0.0,zero
U,69,-0.244,negative
C,70,0.764,positive
O,70,0.815,positive
U,70,-0.388,negative
C,71,0.0,zero
O,71,0.813,positive
U,71,-0.421,negative
C,72,0.0,zero
O,72,0.729,positive
U,72,-0.466,negative
C,73,0.0,zero
O,73,0.475,positive
U,73,-0.335,negative
C,74,0.0,zero
O,74,0.0,zero
U,74,0.0,zero
C,75,0.0,zero
O,75,-0.36,negative
U,75,0.36,positive
C,76,0.0,zero
O,76,-0.305,negative
U,76,0.305,positive
