Feature,Importance Magnitude
Pos10_Unpaired,0.007189339492438774
Pos10_Paired-Opening,0.0067491211537774485
Pos16_Unpaired,0.006719946624414728
Pos16_Paired-Opening,0.006181122985747276
Pos12_Unpaired,0.005882018416555451
Pos6_Unpaired,0.0054942828772220655
Pos17_Unpaired,0.005391405067562026
Pos6_Paired-Opening,0.0053644189487646494
Pos17_Paired-Opening,0.00528318178954443
Pos15_Paired-Opening,0.005279496956060028
Pos15_Unpaired,0.005189328103073711
Pos12_Paired-Opening,0.005049140534813847
Pos9_Unpaired,0.005035446230185134
Pos7_Unpaired,0.0050287607679650485
Pos22_Unpaired,0.00487390551945107
Pos23_Unpaired,0.004777125450308276
Pos18_Unpaired,0.004749829575526381
Pos9_Paired-Opening,0.0046934229770902655
Pos5_Unpaired,0.004542677183551931
Pos14_Unpaired,0.004457457877044251
Pos20_Unpaired,0.004400032687982747
Pos5_Paired-Opening,0.004353885736177469
Pos21_Paired-Opening,0.0042962864941421125
Pos18_Paired-Opening,0.00428607029972918
Pos21_Unpaired,0.004261366071314259
Pos2_Unpaired,0.004166285882927656
Pos14_Paired-Opening,0.0038274853068809883
Pos3_Unpaired,0.0035867717784721816
Pos7_Paired-Opening,0.00357293087383652
Pos22_Paired-Opening,0.003563834260381661
Pos11_Unpaired,0.003546011671765226
Pos20_Paired-Opening,0.0034227496874763147
Pos11_Paired-Opening,0.0033777998808699476
Pos8_Unpaired,0.0030074838556833844
Pos4_Unpaired,0.002935705170580911
Pos23_Paired-Opening,0.002875563676907473
Pos1_Unpaired,0.002686459279792322
Pos2_Paired-Opening,0.0025434795346420064
Pos13_Unpaired,0.0024602776684337353
Pos19_Unpaired,0.0023777971498365504
Pos13_Paired-Opening,0.0023216430335682874
Pos19_Paired-Opening,0.0022622283528102704
Pos3_Paired-Opening,0.0021662218021621963
Pos1_Paired-Opening,0.001993550657726056
Pos4_Paired-Opening,0.0019515586874912676
Pos8_Paired-Opening,0.0015436984447552077
Pos1_Paired-Closing,0.0
Pos22_Paired-Closing,0.0
Pos2_Paired-Closing,0.0
Pos3_Paired-Closing,0.0
Pos20_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos19_Paired-Closing,0.0
Pos21_Paired-Closing,0.0
Pos18_Paired-Closing,0.0
Pos13_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
Pos17_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos16_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos10_Paired-Closing,0.0
Pos15_Paired-Closing,0.0
Pos11_Paired-Closing,0.0
Pos14_Paired-Closing,0.0
Pos12_Paired-Closing,0.0
Pos23_Paired-Closing,0.0
