Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.48,0.48,0.48
Pos2_Paired-Opening,0.262,0.419,0.358
Pos3_Paired-Opening,0.217,0.315,0.217
Pos4_Paired-Opening,0.319,0.319,0.319
Pos5_Paired-Opening,0.291,0.291,0.291
Pos6_Paired-Opening,0.211,0.211,0.211
Pos7_Paired-Opening,1.0,1.0,1.0
Pos10_Paired-Opening,0.265,0.265,0.265
Pos12_Paired-Opening,0.224,0.224,0.224
Pos13_Paired-Opening,1.0,1.0,1.0
Pos14_Paired-Opening,0.893,1.0,1.0
Pos16_Paired-Opening,0.243,0.243,0.243
Pos17_Paired-Opening,1.0,1.0,1.0
Pos19_Paired-Opening,0.356,0.356,0.356
Pos20_Paired-Opening,0.424,0.424,0.424
