Pos1_Unpaired,Pos1_Paired-Opening,Pos1_Paired-Closing,Pos2_Unpaired,Pos2_Paired-Opening,Pos2_Paired-Closing,Pos3_Unpaired,Pos3_Paired-Opening,Pos3_Paired-Closing,Pos4_Unpaired,Pos4_Paired-Opening,Pos4_Paired-Closing,Pos5_Unpaired,Pos5_Paired-Opening,Pos5_Paired-Closing,Pos6_Unpaired,Pos6_Paired-Opening,Pos6_Paired-Closing,Pos7_Unpaired,Pos7_Paired-Opening,Pos7_Paired-Closing,Pos8_Unpaired,Pos8_Paired-Opening,Pos8_Paired-Closing,Pos9_Unpaired,Pos9_Paired-Opening,Pos9_Paired-Closing,Pos10_Unpaired,Pos10_Paired-Opening,Pos10_Paired-Closing,Pos11_Unpaired,Pos11_Paired-Opening,Pos11_Paired-Closing,Pos12_Unpaired,Pos12_Paired-Opening,Pos12_Paired-Closing,Pos13_Unpaired,Pos13_Paired-Opening,Pos13_Paired-Closing,Pos14_Unpaired,Pos14_Paired-Opening,Pos14_Paired-Closing,Pos15_Unpaired,Pos15_Paired-Opening,Pos15_Paired-Closing,Pos16_Unpaired,Pos16_Paired-Opening,Pos16_Paired-Closing,Pos17_Unpaired,Pos17_Paired-Opening,Pos17_Paired-Closing,Pos18_Unpaired,Pos18_Paired-Opening,Pos18_Paired-Closing,Pos19_Unpaired,Pos19_Paired-Opening,Pos19_Paired-Closing,Pos20_Unpaired,Pos20_Paired-Opening,Pos20_Paired-Closing,Pos1_Unpaired,Pos1_Paired-Opening,Pos1_Paired-Closing,Pos2_Unpaired,Pos2_Paired-Opening,Pos2_Paired-Closing,Pos3_Unpaired,Pos3_Paired-Opening,Pos3_Paired-Closing,Pos4_Unpaired,Pos4_Paired-Opening,Pos4_Paired-Closing,Pos5_Unpaired,Pos5_Paired-Opening,Pos5_Paired-Closing,Pos6_Unpaired,Pos6_Paired-Opening,Pos6_Paired-Closing,Pos7_Unpaired,Pos7_Paired-Opening,Pos7_Paired-Closing,Pos8_Unpaired,Pos8_Paired-Opening,Pos8_Paired-Closing,Pos9_Unpaired,Pos9_Paired-Opening,Pos9_Paired-Closing,Pos10_Unpaired,Pos10_Paired-Opening,Pos10_Paired-Closing,Pos11_Unpaired,Pos11_Paired-Opening,Pos11_Paired-Closing,Pos12_Unpaired,Pos12_Paired-Opening,Pos12_Paired-Closing,Pos13_Unpaired,Pos13_Paired-Opening,Pos13_Paired-Closing,Pos14_Unpaired,Pos14_Paired-Opening,Pos14_Paired-Closing,Pos15_Unpaired,Pos15_Paired-Opening,Pos15_Paired-Closing,Pos16_Unpaired,Pos16_Paired-Opening,Pos16_Paired-Closing,Pos17_Unpaired,Pos17_Paired-Opening,Pos17_Paired-Closing,Pos18_Unpaired,Pos18_Paired-Opening,Pos18_Paired-Closing,Pos19_Unpaired,Pos19_Paired-Opening,Pos19_Paired-Closing,Pos20_Unpaired,Pos20_Paired-Opening,Pos20_Paired-Closing
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.003375285860383883,0.0010347968281712383,0.0,0.002889772422349779,-0.0012199448933824897,0.0,-0.007510895653394982,-0.0031419986562104896,0.0,-0.006983579690859188,-0.005383607307448983,0.0,-0.008740822507534177,-0.01401909148611594,0.0,-0.017811419954523445,-0.025311434329487383,0.0,-0.027663047550595364,-0.02842354429885745,0.0,0.003116964785149321,0.0031629659823374824,0.0,-0.026059125302708708,-0.012865434353007004,0.0,0.003415207021171227,-0.0002682704257313162,0.0,0.006842099891509861,0.008178790385136381,0.0,0.004994921591132879,0.0054242358007468286,0.0,-0.02730609690421261,-0.048093354979064314,0.0,-0.022596324761980213,-0.047500492713879794,0.0,0.0011436612741090356,0.0041720773547422145,0.0,0.0028003781207371504,0.002191131548897829,0.0,0.014759065508842468,0.011311807250021956,0.0,0.0034418881731107832,0.005435399473644793,0.0,0.0032136085169622674,0.006156017309986055,0.0,0.013823827314190566,0.021406681972148362,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.010464473199099301,0.006242746678180993,0.0,0.0008508899749722332,-0.0037401191191747786,0.0,0.01999841448268853,0.013006850779638625,0.0,0.028236061378847807,0.020855223316466436,0.0,0.005582707467256114,0.008476297777378931,0.0,-0.0376287425076589,-0.06459117746562697,0.0,0.019258753056637944,0.015415477526548784,0.0,0.004112161173252389,0.009581651519984007,0.0,0.019749992922879756,-0.0035363513708580284,0.0,-0.023300100598717108,-0.027998099249671213,0.0,-0.005191362524637953,0.002785478984587826,0.0,-0.00040837123524397614,0.007550322853494436,0.0,0.028286560773849487,0.03139125555753708,0.0,0.011464567673392594,0.006891708676703274,0.0,-0.027812070817453786,-0.03125045479973778,0.0,0.009556083171628416,0.00537838808610104,0.0,0.026341007305309177,0.019968155480455607,0.0,0.017464238163083793,0.010359489684924483,0.0,0.011157763204537333,0.009777393201366067,0.0,0.025440566567704083,0.04237873449921608,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.002840737169608474,-0.001067049034172669,0.0,-0.000806514764262829,-0.003438912183046341,0.0,-0.014049142875010148,-0.00990694732128759,0.0,0.005876554197457153,0.004882732660043985,0.0,-0.013513557297410444,-0.03721040209638886,0.0,-0.04630506522487849,-0.042080869803903624,0.0,-0.059452247434528545,-0.07495711391442456,0.0,0.009088520681252703,0.0008702926244586706,0.0,0.017776080144685694,0.011753001394681632,0.0,0.01270547017455101,0.003841718281619251,0.0,0.007483474146429216,0.0124167335301172,0.0,0.017047383179888128,0.013983366817701608,0.0,0.018101664846763014,0.01611614857800305,0.0,-0.04381178854499012,-0.053147415871499105,0.0,0.007393811526708305,0.012169899665750564,0.0,0.004078289371682331,0.0050299652200192215,0.0,0.025219151987694203,0.020059395208954812,0.0,0.005171943426830694,0.00581121111754328,0.0,0.010342285700608045,0.013733124830760063,0.0,0.02095662962645292,0.027057119358796625,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.010851524961180985,0.006854219850501977,0.0,-0.0016901522339321674,-0.007260483762947843,0.0,0.020378088066354393,0.015607260261895135,0.0,0.029300575230736287,0.021743423452135174,0.0,0.01337546661030501,0.016821999648818746,0.0,-0.03889186904765665,-0.06591452569700777,0.0,0.01633072574622929,0.013974076678277925,0.0,0.006404962951783091,0.010988625404424966,0.0,0.011945649299304932,0.0010400671744719148,0.0,-0.02168086313598906,-0.021621791201177985,0.0,-0.007337744862306863,0.0020429404033347966,0.0,-1.601897180080414e-05,0.009035312861669809,0.0,0.01804970232420601,0.02511287071276456,0.0,0.00868202347541228,0.006325624128803611,0.0,0.0018503446015529334,0.0008408842491917312,0.0,0.0067917700257385145,0.005834716584649869,0.0,0.02120921999681741,0.014916053080232814,0.0,0.008656653584912419,0.013647159889806061,0.0,0.009297496195649728,0.01114032751414925,0.0,0.025872120698913932,0.034794523561140524,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.004295735530904494,-0.0052024159993743525,0.0,-0.008376679617213086,0.006499771018279716,0.0,0.029200144946807994,0.03277050873672124,0.0,0.012164892531582155,0.008915752682369202,0.0,0.020245609479025005,0.02650122513063252,0.0,0.030336145483888684,0.04176995298010297,0.0,-0.054984360337257385,-0.07325476269586943,0.0,0.010385020393878222,0.006374699391890317,0.0,0.025240418696776033,0.021408890914171932,0.0,0.014721614043228328,-0.007834367172326892,0.0,-0.010098723132105079,-0.027026146145071834,0.0,0.006720402804203332,0.006962535352213309,0.0,0.02290228834375739,0.029845906496047972,0.0,0.008958116255234927,0.010199906749185174,0.0,0.005861333403736353,0.0067866022419184446,0.0,0.007696537268348038,0.008681048317812383,0.0,0.0069563838141039015,0.008455559923313559,0.0,-0.08875990985194221,-0.09938842908013612,0.0,-0.060922930794768036,-0.07350768507923931,0.0,-0.03496806824579835,-0.04338198054581881,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.011867493207100779,0.0038260599132627247,0.0,-0.005281182447215542,-0.006115187247050926,0.0,0.02065078111947514,0.004766314810258337,0.0,0.015911110168381128,0.013159726923331618,0.0,0.026996133318170905,0.020781798334792257,0.0,0.00975542581640184,0.021976200104691087,0.0,0.02099284661235288,0.025537361844908447,0.0,0.007503007936757058,0.0071492821746505794,0.0,-0.06553552126744762,-0.054211446680128575,0.0,-0.020894819385139273,-0.010830798449460418,0.0,-0.00723461557761766,-0.00146592925186269,0.0,0.006758015613886528,0.009133341596461833,0.0,0.014055294427089393,0.011250417120754719,0.0,0.005867102444171906,0.007219214290380478,0.0,0.0063714970462024215,0.011425961274653673,0.0,0.004167337797116488,0.006357710224110633,0.0,0.013374679246917367,0.018741623125970365,0.0,0.003873590459115803,0.0015579001209698618,0.0,-0.05271845157956705,-0.06396094519412145,0.0,-0.053055803226307034,-0.05977316935546696,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.004863933274755254,0.0019338494760449975,0.0,-0.0027845563102164308,-0.00680223353963811,0.0,0.02135146665474167,0.01834335783380084,0.0,0.025523088765330614,0.02382486215676181,0.0,0.01108178884605877,0.0045612483471632005,0.0,-0.0367688781581819,-0.06469010505708866,0.0,0.021737657934427262,0.024394610994495452,0.0,0.014178887348389253,0.020548289101570846,0.0,0.016983166378922762,0.005353512868750841,0.0,0.0037114028830546888,0.0014899204345420003,0.0,-0.00047534201527014373,-0.0005668233800679445,0.0,-0.04013037197990343,-0.04251010083477013,0.0,0.010188212895300239,0.01578741939738393,0.0,0.007646951065398752,0.01344824330881238,0.0,0.004480931520229206,0.00857991585507989,0.0,0.00909247690346092,0.009581008823588491,0.0,0.02742115288740024,0.03042535776272416,0.0,0.0031427645633812064,0.0018072672886773945,0.0,-0.0631203775096219,-0.07488269095076248,0.0,-0.05734836251474917,-0.06369814288802444,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.012146877445047721,0.0038730191846843808,0.0,-0.0033802463044412434,-0.005134651847765781,0.0,0.019309358324389906,6.637890823185444e-05,0.0,0.012767842332832515,0.011259188558906317,0.0,0.02575775728560984,0.022841817014850677,0.0,0.011493997541256249,0.01648463780526072,0.0,0.011115807620808483,0.018717164534609764,0.0,0.009999288292601705,0.008104476039297879,0.0,0.008912032519001514,0.014442571538966149,0.0,-0.040095386228058486,-0.021557635278441012,0.0,0.008395381302689202,-0.03713639774534386,0.0,0.006198763493448496,0.00985939328558743,0.0,0.0092408093274571,0.010902155814692378,0.0,-0.13068205075687728,-0.11050363739486783,0.0,-0.06015659730997868,-0.06569477516808547,0.0,0.0010439781041350217,0.004392923088744283,0.0,0.02301762147806585,0.019521925868466496,0.0,0.011646512448787689,0.007589900204911828,0.0,0.011152463285252451,0.011047015762887896,0.0,0.023564125658012927,0.04443283278727904,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.002973305240739137,-0.005453977205324918,0.0,-0.012234441810287535,-0.024254004280082883,0.0,-0.013647960074013098,-0.015311384448141325,0.0,-0.004669945366913453,0.005789793353178538,0.0,-0.05485447712708265,-0.0454476780211553,0.0,0.018990398680325597,0.010766001844312995,0.0,0.023322356580756605,0.0267490706872195,0.0,0.019982391744852068,0.010681150339078158,0.0,0.028191194866230944,0.029357540423516185,0.0,0.010660151718184352,0.011680737955030053,0.0,0.006324827172793448,0.004230140750296414,0.0,0.00945096997078508,0.009414139818400145,0.0,0.03589477466419339,0.03764314570464194,0.0,0.007909393045119941,0.008858235196676105,0.0,0.008065734698902816,0.010806733532808721,0.0,0.005342050258768723,0.006295218449085951,0.0,0.014814939363859594,0.01555479407310486,0.0,0.010564611088484525,0.008930323715321719,0.0,0.010508347739232704,0.010006696907803416,0.0,-0.04804825663566589,-0.0910102487821132,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.00036266753217205404,-0.0016867857454781188,0.0,0.0013387416582554578,-0.006426586400484666,0.0,-0.019815573470550588,-0.018814299777150153,0.0,0.01829650239145849,-0.0017484026303282007,0.0,0.025393355243140833,0.03145911221392453,0.0,0.026825246526859702,0.024371230693068357,0.0,0.022453516342211516,0.03656441245460883,0.0,0.007490251054987311,0.016562092708190902,0.0,-0.08430115917115472,-0.06295357504975982,0.0,-0.0320292751560919,-0.024979384545003994,0.0,0.0017330881906673311,0.00336202495964244,0.0,0.0020484839379787444,0.004003862147219479,0.0,-0.09236487216548994,-0.06444045522483066,0.0,0.0038301264942856507,0.008285388657823205,0.0,0.008340058538597078,0.017716865949332715,0.0,0.005203805146738887,0.00893757628975436,0.0,0.014086090580094605,0.01188301299000159,0.0,0.009732573982328177,0.013916404126212001,0.0,0.009066104656085372,0.009929569717496634,0.0,0.022862681997939945,0.03374146240763366,0.0
