Feature,Average_Importance_Magnitude,Number_of_Models
Pos2_Unpaired,0.01577874750198861,10
Pos1_Paired-Opening,0.015055390462206919,10
Pos1_Unpaired,0.014298175076341499,10
Pos2_Paired-Opening,0.014057146951828182,10
Pos3_Unpaired,0.011150423441235879,10
Pos4_Unpaired,0.01038979525772457,10
Pos5_Unpaired,0.0103434906157996,10
Pos3_Paired-Opening,0.00961704227849645,10
Pos5_Paired-Opening,0.00923147817222933,10
Pos4_Paired-Opening,0.008968375751078981,10
Pos10_Paired-Opening,0.006957361972684201,10
Pos6_Unpaired,0.0068656777938139405,10
Pos13_Paired-Opening,0.006631724270238499,10
Pos8_Paired-Opening,0.006559761234894759,10
Pos10_Unpaired,0.00579966034347563,10
Pos6_Paired-Opening,0.00576273384876791,10
Pos8_Unpaired,0.005726631061229439,10
Pos19_Paired-Opening,0.0055824379837892905,10
Pos13_Unpaired,0.00553369764469483,10
Pos7_Paired-Opening,0.00503197578566334,10
Pos20_Paired-Opening,0.00481397139337797,10
Pos9_Paired-Opening,0.0046177132785636,10
Pos11_Paired-Opening,0.00451140610445429,10
Pos7_Unpaired,0.00433008919435893,10
Pos9_Unpaired,0.00405515619498744,10
Pos12_Paired-Opening,0.00401003913288063,10
Pos11_Unpaired,0.00361854731408282,10
Pos17_Paired-Opening,0.0034556068242754903,10
Pos16_Paired-Opening,0.00344383771772524,10
Pos12_Unpaired,0.0032857601846305604,10
Pos21_Paired-Opening,0.00316950141325967,10
Pos19_Unpaired,0.00273435199778146,10
Pos16_Unpaired,0.00268946748705837,10
Pos17_Unpaired,0.00252076240931791,10
Pos15_Paired-Opening,0.0023272095267874602,10
Pos18_Paired-Opening,0.0022947064907653,10
Pos14_Paired-Opening,0.00215620278108794,10
Pos15_Unpaired,0.0019701399528891,10
Pos14_Unpaired,0.0019185766817956002,10
Pos20_Unpaired,0.0017514710034628102,10
Pos21_Unpaired,0.00163464585723458,10
Pos18_Unpaired,0.0015696156677338703,10
Pos1_Paired-Closing,0.00051369190503841,10
Pos3_Paired-Closing,0.00034735753059964404,10
Pos2_Paired-Closing,0.00033435768001049396,10
Pos13_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos9_Paired-Closing,0.0,10
Pos19_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos18_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos20_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos17_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos16_Paired-Closing,0.0,10
Pos21_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
