Feature,Average_Importance_Magnitude,Number_of_Models
Pos28_Unpaired,0.00208708600434093,10
Pos22_Unpaired,0.0018834575980643102,10
Pos28_Paired-Opening,0.00183701678977884,10
Pos26_Unpaired,0.0016856844855679502,10
Pos40_Unpaired,0.00161912697295,10
Pos20_Paired-Closing,0.00159632239714295,10
Pos35_Paired-Closing,0.00137081729390655,10
Pos40_Paired-Closing,0.0013497407123687299,10
Pos19_Unpaired,0.00133058726959142,10
Pos37_Unpaired,0.0012613706496976,10
Pos18_Unpaired,0.0012208854911024299,10
Pos36_Unpaired,0.00122074805824418,10
Pos25_Unpaired,0.0011977332235219601,10
Pos14_Paired-Opening,0.00119470783847026,10
Pos21_Unpaired,0.00116888287910697,10
Pos27_Unpaired,0.00113495096081143,10
Pos30_Unpaired,0.00112366543340579,10
Pos34_Unpaired,0.0011202293180678099,10
Pos16_Paired-Closing,0.00106908338427338,10
Pos34_Paired-Closing,0.0010599590789002,10
Pos27_Paired-Opening,0.00104936998229907,10
Pos37_Paired-Closing,0.00103925378199507,10
Pos39_Unpaired,0.00098979856493219,10
Pos29_Paired-Opening,0.00098270849797958,10
Pos33_Unpaired,0.00097661412651824,10
Pos24_Unpaired,0.00097633585079578,10
Pos38_Unpaired,0.00097374381467381,10
Pos14_Unpaired,0.0009692902157236499,10
Pos18_Paired-Opening,0.00096150522305502,10
Pos19_Paired-Opening,0.00095497550242325,10
Pos24_Paired-Opening,0.00094055655712613,10
Pos23_Unpaired,0.0009391141420439098,10
Pos42_Unpaired,0.00092963250150577,10
Pos35_Unpaired,0.00092385742039319,10
Pos33_Paired-Closing,0.0009145264932975299,10
Pos32_Paired-Closing,0.00089986453708405,10
Pos32_Unpaired,0.0008942685439030399,10
Pos15_Paired-Opening,0.0008934731452735101,10
Pos26_Paired-Opening,0.00089056752091419,10
Pos31_Unpaired,0.0008873406711684999,10
Pos41_Unpaired,0.00087338498030231,10
Pos20_Unpaired,0.0008709710702508999,10
Pos29_Unpaired,0.00086977733709793,10
Pos41_Paired-Closing,0.0008669772782566899,10
Pos30_Paired-Closing,0.00086475690225998,10
Pos36_Paired-Closing,0.0008569849208530499,10
Pos38_Paired-Closing,0.0008334428349491199,10
Pos9_Unpaired,0.00079556426153745,10
Pos23_Paired-Opening,0.00078578340912216,10
Pos15_Unpaired,0.00075847564371471,10
Pos29_Paired-Closing,0.00075670050810785,10
Pos9_Paired-Opening,0.0007467850567709801,10
Pos6_Unpaired,0.00074519536746106,10
Pos25_Paired-Opening,0.0007443262179236,10
Pos13_Unpaired,0.00073164583999188,10
Pos11_Paired-Opening,0.00072598605424253,10
Pos10_Unpaired,0.00071694329734966,10
Pos39_Paired-Closing,0.00071391881342793,10
Pos13_Paired-Opening,0.00070622332456694,10
Pos22_Paired-Opening,0.00067511894316834,10
Pos11_Unpaired,0.0006692700055005399,10
Pos21_Paired-Opening,0.00065170093266256,10
Pos42_Paired-Closing,0.0006497517304697501,10
Pos16_Paired-Opening,0.00064927236599771,10
Pos17_Paired-Closing,0.0006272047532982101,10
Pos6_Paired-Opening,0.00061578705955372,10
Pos31_Paired-Closing,0.0006049582279838101,10
Pos3_Unpaired,0.0006041439314892399,10
Pos19_Paired-Closing,0.0005622764917129,10
Pos12_Unpaired,0.0005468986875126699,10
Pos3_Paired-Opening,0.00053589923239591,10
Pos10_Paired-Opening,0.0005250455033611699,10
Pos12_Paired-Opening,0.00047104483574680005,10
Pos28_Paired-Closing,0.0004598127936654,10
Pos17_Unpaired,0.00045533652313391,10
Pos22_Paired-Closing,0.00044262081226585995,10
Pos27_Paired-Closing,0.00043760164703159,10
Pos18_Paired-Closing,0.00043213117166439,10
Pos25_Paired-Closing,0.00043053461835623996,10
Pos17_Paired-Opening,0.00042610293995979005,10
Pos20_Paired-Opening,0.00041587404267898,10
Pos7_Unpaired,0.00040283610089688,10
Pos7_Paired-Opening,0.00037922725535679,10
Pos30_Paired-Opening,0.00037035329428245,10
Pos8_Unpaired,0.00036509236399183,10
Pos4_Unpaired,0.00036411617072919,10
Pos26_Paired-Closing,0.00035140972980353,10
Pos24_Paired-Closing,0.00033991001285414,10
Pos16_Unpaired,0.00032209975158064,10
Pos23_Paired-Closing,0.00030165095149207,10
Pos1_Unpaired,0.0002912258022020195,10
Pos31_Paired-Opening,0.00028567489210436,10
Pos4_Paired-Opening,0.00027488432645015,10
Pos8_Paired-Opening,0.00024702919590995,10
Pos32_Paired-Opening,0.0002420817260719627,10
Pos1_Paired-Opening,0.00022363210560123417,10
Pos5_Unpaired,0.00022106162086845297,10
Pos5_Paired-Opening,0.00021704086357855914,10
Pos2_Paired-Opening,0.00021465701801120796,10
Pos2_Unpaired,0.00020894232296087998,10
Pos33_Paired-Opening,0.00012117394804593077,10
Pos34_Paired-Opening,0.00010408636554755079,10
Pos35_Paired-Opening,4.453311171912273e-05,10
Pos21_Paired-Closing,3.947104003146874e-05,10
Pos36_Paired-Opening,9.256333060967756e-06,10
Pos6_Paired-Closing,0.0,10
Pos9_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos10_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos42_Paired-Opening,0.0,10
Pos41_Paired-Opening,0.0,10
Pos40_Paired-Opening,0.0,10
Pos3_Paired-Closing,0.0,10
Pos39_Paired-Opening,0.0,10
Pos38_Paired-Opening,0.0,10
Pos37_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
Pos15_Paired-Closing,0.0,10
Pos14_Paired-Closing,0.0,10
Pos13_Paired-Closing,0.0,10
Pos12_Paired-Closing,0.0,10
Pos11_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
