Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.714,0.719,0.719
Pos2_Paired-Opening,0.829,0.829,0.829
Pos3_Paired-Opening,0.859,0.86,0.86
Pos4_Paired-Opening,0.15,0.758,0.45
Pos5_Unpaired,0.565,0.836,0.785
Pos7_Paired-Opening,0.257,0.855,0.561
Pos8_Paired-Opening,0.669,0.86,0.86
Pos9_Paired-Opening,0.861,0.862,0.862
Pos10_Unpaired,0.674,0.85,0.849
Pos11_Unpaired,0.842,0.842,0.842
Pos12_Unpaired,0.454,0.803,0.707
Pos13_Paired-Opening,0.826,0.854,0.845
Pos14_Unpaired,0.809,0.841,0.84
Pos15_Unpaired,0.398,0.764,0.654
Pos15_Paired-Opening,0.679,0.841,0.783
Pos16_Paired-Opening,0.55,0.775,0.645
Pos17_Unpaired,0.827,0.827,0.827
Pos18_Unpaired,0.835,0.835,0.835
Pos19_Unpaired,0.866,0.866,0.866
Pos20_Unpaired,0.864,0.864,0.864
Pos21_Unpaired,0.493,0.493,0.493
Pos22_Unpaired,0.448,0.448,0.448
Pos23_Unpaired,0.414,0.497,0.458
Pos24_Paired-Opening,0.161,0.639,0.425
Pos25_Paired-Opening,0.207,0.585,0.5
Pos25_Paired-Closing,0.43,0.43,0.43
Pos26_Paired-Opening,0.224,0.608,0.461
Pos26_Paired-Closing,0.395,0.395,0.395
Pos27_Paired-Closing,0.508,0.508,0.508
Pos28_Paired-Closing,0.459,0.524,0.478
Pos29_Unpaired,0.377,0.402,0.402
Pos30_Unpaired,0.419,0.453,0.453
Pos30_Paired-Closing,0.053,0.486,0.403
Pos31_Unpaired,0.533,0.533,0.533
Pos31_Paired-Closing,0.373,0.449,0.407
Pos32_Unpaired,0.588,0.588,0.588
Pos32_Paired-Closing,0.287,0.4,0.375
Pos33_Unpaired,0.092,0.513,0.449
Pos35_Paired-Closing,0.355,0.377,0.377
Pos36_Paired-Closing,0.339,0.339,0.339
Pos37_Paired-Opening,0.196,0.196,0.196
Pos38_Paired-Opening,0.196,0.196,0.196
Pos39_Paired-Opening,0.23,0.23,0.23
Pos40_Paired-Opening,0.547,0.638,0.637
Pos40_Paired-Closing,0.598,0.658,0.651
Pos41_Paired-Opening,0.61,0.61,0.61
Pos41_Paired-Closing,0.347,0.347,0.347
Pos42_Paired-Closing,0.331,0.331,0.331
Pos43_Paired-Opening,0.044,0.618,0.614
Pos43_Paired-Closing,0.347,0.347,0.347
Pos44_Paired-Closing,0.577,0.674,0.674
Pos45_Unpaired,0.309,0.385,0.385
Pos47_Unpaired,0.533,0.759,0.758
Pos48_Unpaired,0.755,0.756,0.756
Pos51_Unpaired,0.827,0.827,0.827
Pos52_Unpaired,0.833,0.833,0.833
Pos53_Unpaired,0.846,0.846,0.846
Pos54_Paired-Opening,0.144,0.61,0.61
Pos54_Paired-Closing,0.761,0.776,0.776
Pos55_Paired-Closing,0.307,0.839,0.813
Pos56_Paired-Closing,0.298,0.843,0.779
Pos57_Paired-Closing,0.805,0.807,0.807
Pos58_Unpaired,0.832,0.863,0.862
Pos59_Unpaired,0.844,0.862,0.861
Pos60_Paired-Closing,0.564,0.865,0.778
Pos61_Paired-Closing,0.845,0.845,0.845
Pos62_Paired-Closing,0.686,0.866,0.768
Pos63_Unpaired,0.725,0.86,0.853
Pos65_Unpaired,0.813,0.813,0.813
Pos66_Unpaired,0.842,0.842,0.842
Pos67_Paired-Closing,0.69,0.713,0.701
Pos68_Paired-Closing,0.794,0.794,0.794
Pos69_Paired-Opening,0.504,0.845,0.845
Pos69_Paired-Closing,0.778,0.781,0.781
Pos70_Paired-Opening,0.772,0.845,0.845
Pos70_Paired-Closing,0.563,0.819,0.746
Pos71_Paired-Opening,0.845,0.845,0.845
Pos71_Paired-Closing,0.188,0.802,0.751
Pos72_Paired-Opening,0.842,0.845,0.845
Pos75_Unpaired,0.319,0.359,0.352
Pos76_Unpaired,0.305,0.305,0.305
Pos77_Unpaired,0.562,0.834,0.834
Pos78_Unpaired,0.829,0.829,0.829
Pos79_Unpaired,0.817,0.824,0.824
Pos80_Unpaired,0.79,0.808,0.808
Pos84_Unpaired,0.816,1.0,1.0
Pos84_Paired-Opening,0.318,0.411,0.411
Pos85_Paired-Opening,0.388,0.411,0.411
Pos86_Paired-Opening,0.403,0.411,0.411
Pos86_Paired-Closing,0.151,0.331,0.279
Pos87_Paired-Opening,0.411,0.411,0.411
Pos87_Paired-Closing,0.362,0.391,0.391
Pos88_Paired-Closing,0.228,0.331,0.279
Pos89_Paired-Closing,0.307,0.398,0.357
Pos90_Paired-Closing,0.339,0.339,0.339
Pos91_Paired-Closing,0.196,0.196,0.196
Pos92_Paired-Closing,1.0,1.0,1.0
Pos93_Paired-Closing,0.1,0.95,0.7
Pos94_Unpaired,0.069,0.176,0.103
Pos95_Paired-Closing,0.367,0.833,0.467
Pos96_Paired-Closing,0.286,0.286,0.286
Pos97_Paired-Closing,0.355,0.355,0.355
Pos98_Paired-Closing,0.786,1.0,1.0
Pos99_Paired-Closing,1.0,1.0,1.0
Pos100_Paired-Closing,1.0,1.0,1.0
