Feature,Q1,Q3,Median Spearman Correlation
Pos21_G,0.697,0.697,0.697
Pos22_C,0.817,0.822,0.822
Pos23_T,0.056,0.548,0.28
Pos24_G,0.664,0.704,0.698
Pos25_A,0.023,0.399,0.233
Pos25_C,0.382,0.773,0.699
Pos25_G,0.544,0.739,0.693
Pos26_A,0.586,0.59,0.59
Pos26_C,0.014,0.479,0.067
Pos27_C,0.72,0.774,0.75
Pos27_G,0.191,0.657,0.41
Pos28_A,0.017,0.412,0.243
Pos28_C,0.83,0.831,0.831
Pos28_G,0.076,0.524,0.27
Pos29_A,0.271,0.598,0.552
Pos29_C,0.787,0.818,0.805
Pos30_A,0.102,0.575,0.374
Pos30_C,0.69,0.793,0.753
Pos31_A,0.53,0.588,0.577
Pos32_A,0.244,0.559,0.455
Pos32_C,0.058,0.652,0.392
Pos33_A,0.134,0.478,0.299
Pos33_C,0.548,0.76,0.751
Pos34_A,0.312,0.565,0.486
Pos34_C,0.565,0.763,0.705
Pos35_A,0.05,0.383,0.245
Pos35_C,0.488,0.795,0.745
Pos35_G,0.059,0.658,0.389
Pos36_C,0.389,0.67,0.58
Pos36_T,0.01,0.742,0.316
Pos37_A,0.385,0.56,0.549
Pos37_T,0.463,0.791,0.689
Pos38_A,0.445,0.601,0.559
Pos38_C,0.176,0.685,0.48
Pos38_T,0.031,0.613,0.401
Pos39_A,0.617,0.617,0.617
Pos39_T,0.213,0.742,0.601
Pos40_C,0.818,0.818,0.818
Pos40_T,0.775,0.775,0.775
