Feature,Q1,Q3,Median Spearman Correlation
Pos1_Unpaired,-0.557,-0.316,-0.541
Pos2_Unpaired,-0.999,-0.999,-0.999
Pos3_Unpaired,-0.999,-0.999,-0.999
Pos4_Unpaired,-1.0,-1.0,-1.0
Pos5_Unpaired,-1.0,-1.0,-1.0
Pos6_Unpaired,-1.0,-1.0,-1.0
Pos7_Unpaired,-1.0,-1.0,-1.0
Pos8_Unpaired,-1.0,-1.0,-1.0
Pos9_Unpaired,-1.0,-1.0,-1.0
Pos10_Unpaired,-0.999,-0.999,-0.999
Pos11_Unpaired,-0.305,-0.305,-0.305
Pos12_Unpaired,-0.348,-0.348,-0.348
Pos13_Unpaired,-1.0,-1.0,-1.0
Pos14_Unpaired,-1.0,-1.0,-1.0
Pos15_Unpaired,-1.0,-1.0,-1.0
Pos16_Unpaired,-0.344,-0.344,-0.344
Pos17_Unpaired,-0.314,-0.314,-0.314
Pos18_Unpaired,-1.0,-1.0,-1.0
Pos19_Unpaired,-1.0,-1.0,-1.0
Pos20_Unpaired,-1.0,-1.0,-1.0
Pos21_Unpaired,-1.0,-1.0,-1.0
Pos22_Unpaired,-0.999,-0.999,-0.999
Pos23_Unpaired,-0.46,-0.46,-0.46
