Feature,Average_Importance_Magnitude,Number_of_Models
Pos5_Paired-Opening,0.007722615284775939,10
Pos4_Paired-Opening,0.007606313287265559,10
Pos5_Unpaired,0.007400445176687351,10
Pos4_Unpaired,0.00700050878437593,10
Pos15_Paired-Opening,0.006921675925739159,10
Pos20_Unpaired,0.006834854020126539,10
Pos15_Unpaired,0.00601129075365323,10
Pos9_Paired-Opening,0.0059069325550363,10
Pos9_Unpaired,0.005493591691981161,10
Pos17_Paired-Opening,0.00536926833359741,10
Pos6_Paired-Opening,0.00525655578000927,10
Pos8_Paired-Opening,0.00525351977630141,10
Pos8_Unpaired,0.00507018787001548,10
Pos14_Paired-Opening,0.00498359879351319,10
Pos17_Unpaired,0.0049214669407795395,10
Pos7_Paired-Opening,0.00472939166070091,10
Pos18_Paired-Opening,0.0046260903127593195,10
Pos14_Unpaired,0.00453921241126687,10
Pos6_Unpaired,0.00439035563657704,10
Pos19_Unpaired,0.00414240547311834,10
Pos18_Unpaired,0.00412537288294811,10
Pos1_Unpaired,0.0037705331198166795,10
Pos19_Paired-Opening,0.00374875963803551,10
Pos7_Unpaired,0.00371334947271287,10
Pos16_Paired-Opening,0.0036456946603918698,10
Pos3_Unpaired,0.0035325199096138404,10
Pos16_Unpaired,0.0032220761049703795,10
Pos20_Paired-Opening,0.0031923960982888203,10
Pos10_Paired-Opening,0.0030753553659668203,10
Pos2_Paired-Opening,0.00306108844109088,10
Pos3_Paired-Opening,0.00304035054694858,10
Pos2_Unpaired,0.00298887470786359,10
Pos10_Unpaired,0.00282927623591471,10
Pos12_Paired-Opening,0.00263935761568143,10
Pos1_Paired-Opening,0.00260450588626438,10
Pos11_Paired-Opening,0.0025623404437235,10
Pos13_Paired-Opening,0.00249612595272473,10
Pos12_Unpaired,0.0023958558103313,10
Pos11_Unpaired,0.00223307599340791,10
Pos13_Unpaired,0.00216063843667094,10
Pos20_Paired-Closing,3.9103469706502054e-05,10
Pos19_Paired-Closing,3.1036575615494755e-05,10
Pos17_Paired-Closing,2.9709657979420077e-05,10
Pos18_Paired-Closing,2.2835122340842386e-05,10
Pos16_Paired-Closing,2.1100344611017397e-05,10
Pos14_Paired-Closing,1.049919008500076e-05,10
Pos13_Paired-Closing,9.365392683926799e-06,10
Pos15_Paired-Closing,7.49618059392095e-06,10
Pos12_Paired-Closing,7.1499295773313804e-06,10
Pos10_Paired-Closing,5.8954737292696805e-06,10
Pos11_Paired-Closing,5.464676610766046e-06,10
Pos9_Paired-Closing,4.203496751356339e-06,10
Pos6_Paired-Closing,0.0,10
Pos7_Paired-Closing,0.0,10
Pos5_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos8_Paired-Closing,0.0,10
Pos3_Paired-Closing,0.0,10
Pos2_Paired-Closing,0.0,10
Pos1_Paired-Closing,0.0,10
