Feature,Model,Spearman Correlation,P-Value
Pos1_A,13,0.6599138078518254,4.6538418886272764e-126
,52,0.6167181534683112,7.8632937233853525e-106
,58,0.12741370623851256,5.33113066782559e-05
,76,0.6139711567315049,1.1930261441789908e-104
,80,0.3508679819334683,2.4216178090342895e-30
,82,0.6901307719566947,2.472516430393448e-142
,84,0.6196129316751355,4.3481483065454626e-107
,88,0.37016650331229733,7.847410670339153e-34
,89,-0.6668421508873781,1.2747343989129697e-129
,90,0.5012747463012615,9.71300481468507e-65
Pos1_C,13,-0.7914376958255315,1.4122625255697431e-215
,52,-0.7914376958255315,1.4122625255697431e-215
,58,-0.7914376958255315,1.4122625255697431e-215
,76,-0.7914376958255315,1.4122625255697431e-215
,80,-0.7914376958255315,1.4122625255697431e-215
,82,-0.7914376958255315,1.4122625255697431e-215
,84,-0.7914376958255315,1.4122625255697431e-215
,88,-0.7914376958255315,1.4122625255697431e-215
,89,-0.7914376958255315,1.4122625255697431e-215
,90,-0.7914376958255315,1.4122625255697431e-215
Pos1_G,13,0.6167739436880246,7.438696098134272e-106
,52,0.7776892726536768,2.101338122110288e-203
,58,0.6547017260726028,1.931056835131174e-123
,76,0.7703675750371257,2.847762392959162e-197
,80,0.7770952044592886,6.741098453493731e-203
,82,0.7776506967968984,2.2668143043261633e-203
,84,0.04066666821584851,0.19882160769901167
,88,0.7776198361114756,2.4085029311524342e-203
,89,0.7253495501766675,4.947385722572637e-164
,90,0.7708767763466013,1.0850614187135186e-197
Pos1_T,13,0.4649403377398972,8.915798182372414e-55
,52,0.37900603392703475,1.6413003650522547e-35
,58,0.3007866545804299,2.3378723248388113e-22
,76,-0.3001478920170945,2.8917864264581344e-22
,80,0.39762140005852076,3.197369232562198e-39
,82,0.550891232788171,1.9218221530773122e-80
,84,0.3510249154058662,2.273476142782598e-30
,88,0.7050984703185601,3.676178777824235e-151
,89,0.22537948963604146,5.546556143398524e-13
,90,0.5998021947807028,9.719476684344564e-99
Pos2_A,13,0.34426139842264775,3.343719324772447e-29
,52,0.44276570319508946,2.9236103453732747e-49
,58,0.3859750403095192,7.145557245682817e-37
,76,0.5902579409277071,6.389940248049392e-95
,80,-0.07412180586271666,0.019066360080557898
,82,0.16646649526548185,1.1932147477343498e-07
,84,0.16208210416454588,2.560979405506719e-07
,88,0.0076871339264998565,0.8081695775673841
