Feature,Q1,Q3,Median Spearman Correlation
Pos1_Paired-Opening,0.37,0.37,0.37
Pos3_Paired-Opening,0.484,0.501,0.501
Pos6_Paired-Opening,0.484,0.661,0.6
Pos9_Unpaired,0.548,0.624,0.597
Pos10_Unpaired,0.44,0.508,0.482
Pos11_Paired-Opening,0.362,0.536,0.413
Pos13_Unpaired,0.394,0.558,0.528
Pos14_Unpaired,0.521,0.655,0.594
Pos15_Unpaired,0.393,0.68,0.661
Pos16_Unpaired,0.16,0.376,0.35
Pos17_Unpaired,0.135,0.458,0.369
Pos17_Paired-Opening,0.014,0.21,0.094
Pos18_Paired-Opening,0.502,0.599,0.55
Pos19_Paired-Opening,0.559,0.603,0.596
Pos20_Unpaired,0.203,0.327,0.249
Pos20_Paired-Opening,0.061,0.467,0.371
Pos22_Unpaired,0.746,0.844,0.832
Pos24_Paired-Closing,0.12,0.443,0.391
Pos25_Paired-Closing,0.467,0.537,0.492
Pos26_Paired-Opening,0.009,0.737,0.529
Pos26_Paired-Closing,0.241,0.439,0.341
Pos27_Paired-Closing,0.078,0.375,0.265
Pos28_Unpaired,0.71,0.853,0.83
Pos29_Paired-Closing,0.597,0.64,0.612
Pos30_Paired-Closing,0.589,0.679,0.668
Pos31_Unpaired,0.039,0.458,0.334
Pos32_Paired-Closing,0.268,0.73,0.704
Pos33_Paired-Closing,0.287,0.786,0.613
Pos34_Unpaired,0.357,0.694,0.64
Pos34_Paired-Opening,0.08,0.254,0.15
Pos35_Paired-Opening,1.0,1.0,1.0
Pos36_Paired-Opening,1.0,1.0,1.0
Pos36_Paired-Closing,0.184,0.714,0.576
Pos37_Paired-Closing,0.255,0.671,0.428
Pos40_Unpaired,0.767,0.855,0.848
Pos41_Paired-Closing,0.561,0.805,0.781
Pos42_Paired-Closing,0.351,0.719,0.625
