feature_name,fraction_above_threshold,rank
Pos1_Unpaired,0.0,1
Pos1_Paired-Opening,0.0,2
Pos110_Paired-Opening,0.0,3
Pos110_Unpaired,0.0,4
Pos109_Paired-Closing,0.0,5
Pos109_Paired-Opening,0.0,6
Pos109_Unpaired,0.0,7
Pos108_Paired-Closing,0.0,8
Pos108_Paired-Opening,0.0,9
Pos108_Unpaired,0.0,10
Pos107_Paired-Closing,0.0,11
Pos107_Paired-Opening,0.0,12
Pos107_Unpaired,0.0,13
Pos106_Paired-Closing,0.0,14
Pos106_Paired-Opening,0.0,15
Pos106_Unpaired,0.0,16
Pos105_Paired-Closing,0.0,17
Pos105_Paired-Opening,0.0,18
Pos105_Unpaired,0.0,19
Pos104_Paired-Closing,0.0,20
Pos104_Paired-Opening,0.0,21
Pos104_Unpaired,0.0,22
Pos103_Paired-Closing,0.0,23
Pos103_Paired-Opening,0.0,24
Pos103_Unpaired,0.0,25
Pos102_Paired-Closing,0.0,26
Pos102_Paired-Opening,0.0,27
Pos102_Unpaired,0.0,28
Pos101_Paired-Closing,0.0,29
Pos110_Paired-Closing,0.0,30
Pos111_Unpaired,0.0,31
Pos111_Paired-Opening,0.0,32
Pos116_Paired-Opening,0.0,33
Pos120_Paired-Opening,0.0,34
Pos120_Unpaired,0.0,35
Pos119_Paired-Closing,0.0,36
Pos119_Paired-Opening,0.0,37
Pos119_Unpaired,0.0,38
Pos118_Paired-Closing,0.0,39
Pos118_Paired-Opening,0.0,40
Pos118_Unpaired,0.0,41
Pos117_Paired-Closing,0.0,42
Pos117_Paired-Opening,0.0,43
Pos117_Unpaired,0.0,44
Pos116_Paired-Closing,0.0,45
Pos116_Unpaired,0.0,46
Pos111_Paired-Closing,0.0,47
Pos115_Paired-Closing,0.0,48
Pos115_Paired-Opening,0.0,49
Pos115_Unpaired,0.0,50
Pos114_Paired-Closing,0.0,51
Pos114_Paired-Opening,0.0,52
Pos114_Unpaired,0.0,53
Pos113_Paired-Closing,0.0,54
Pos113_Paired-Opening,0.0,55
Pos113_Unpaired,0.0,56
Pos112_Paired-Closing,0.0,57
Pos112_Paired-Opening,0.0,58
Pos112_Unpaired,0.0,59
Pos101_Paired-Opening,0.0,60
Pos101_Unpaired,0.0,61
Pos100_Paired-Closing,0.0,62
Pos86_Unpaired,0.0,63
Pos90_Unpaired,0.0,64
Pos89_Paired-Closing,0.0,65
Pos89_Paired-Opening,0.0,66
Pos89_Unpaired,0.0,67
Pos88_Paired-Closing,0.0,68
Pos88_Paired-Opening,0.0,69
Pos88_Unpaired,0.0,70
Pos87_Paired-Closing,0.0,71
Pos87_Paired-Opening,0.0,72
Pos87_Unpaired,0.0,73
Pos86_Paired-Closing,0.0,74
Pos86_Paired-Opening,0.0,75
Pos85_Paired-Closing,0.0,76
Pos90_Paired-Closing,0.0,77
Pos85_Paired-Opening,0.0,78
Pos85_Unpaired,0.0,79
Pos84_Paired-Closing,0.0,80
Pos84_Paired-Opening,0.0,81
Pos84_Unpaired,0.0,82
Pos83_Paired-Closing,0.0,83
Pos83_Paired-Opening,0.0,84
Pos83_Unpaired,0.0,85
Pos82_Paired-Closing,0.0,86
Pos82_Paired-Opening,0.0,87
Pos82_Unpaired,0.0,88
Pos81_Paired-Closing,0.0,89
Pos90_Paired-Opening,0.0,90
Pos91_Unpaired,0.0,91
Pos100_Paired-Opening,0.0,92
Pos96_Unpaired,0.0,93
Pos100_Unpaired,0.0,94
Pos99_Paired-Closing,0.0,95
Pos99_Paired-Opening,0.0,96
Pos99_Unpaired,0.0,97
Pos98_Paired-Closing,0.0,98
Pos98_Paired-Opening,0.0,99
Pos98_Unpaired,0.0,100
Pos97_Paired-Closing,0.0,101
Pos97_Paired-Opening,0.0,102
Pos97_Unpaired,0.0,103
Pos96_Paired-Closing,0.0,104
Pos96_Paired-Opening,0.0,105
Pos95_Paired-Closing,0.0,106
Pos91_Paired-Opening,0.0,107
Pos95_Paired-Opening,0.0,108
Pos95_Unpaired,0.0,109
Pos94_Paired-Closing,0.0,110
Pos94_Paired-Opening,0.0,111
Pos94_Unpaired,0.0,112
Pos93_Paired-Closing,0.0,113
Pos93_Paired-Opening,0.0,114
Pos93_Unpaired,0.0,115
Pos92_Paired-Closing,0.0,116
Pos92_Paired-Opening,0.0,117
Pos92_Unpaired,0.0,118
Pos91_Paired-Closing,0.0,119
Pos120_Paired-Closing,0.0,120
Pos121_Unpaired,0.0,121
Pos121_Paired-Opening,0.0,122
Pos146_Paired-Opening,0.0,123
Pos150_Paired-Opening,0.0,124
Pos150_Unpaired,0.0,125
Pos149_Paired-Closing,0.0,126
Pos149_Paired-Opening,0.0,127
Pos149_Unpaired,0.0,128
Pos148_Paired-Closing,0.0,129
Pos148_Paired-Opening,0.0,130
Pos148_Unpaired,0.0,131
Pos147_Paired-Closing,0.0,132
Pos147_Paired-Opening,0.0,133
Pos147_Unpaired,0.0,134
Pos146_Paired-Closing,0.0,135
Pos146_Unpaired,0.0,136
Pos151_Unpaired,0.0,137
Pos145_Paired-Closing,0.0,138
Pos145_Paired-Opening,0.0,139
Pos145_Unpaired,0.0,140
Pos144_Paired-Closing,0.0,141
Pos144_Paired-Opening,0.0,142
Pos144_Unpaired,0.0,143
Pos143_Paired-Closing,0.0,144
Pos143_Paired-Opening,0.0,145
Pos143_Unpaired,0.0,146
Pos142_Paired-Closing,0.0,147
Pos142_Paired-Opening,0.0,148
Pos142_Unpaired,0.0,149
Pos150_Paired-Closing,0.0,150
Pos151_Paired-Opening,0.0,151
Pos141_Paired-Opening,0.0,152
Pos156_Paired-Opening,0.0,153
Pos160_Paired-Opening,0.0,154
Pos160_Unpaired,0.0,155
Pos159_Paired-Closing,0.0,156
Pos159_Paired-Opening,0.0,157
Pos159_Unpaired,0.0,158
Pos158_Paired-Closing,0.0,159
