Feature,Importance Magnitude
Pos1_Unpaired,0.008369246093287567
Pos1_Paired-Opening,0.006697094083689318
Pos4_Unpaired,0.005534269168432384
Pos2_Unpaired,0.005438023219728852
Pos5_Unpaired,0.005051961734345218
Pos2_Paired-Opening,0.005034202295011088
Pos5_Paired-Opening,0.004720236167239369
Pos4_Paired-Opening,0.004199888183286402
Pos7_Paired-Opening,0.003514838720147217
Pos6_Unpaired,0.003291360784566895
Pos3_Paired-Opening,0.0032675242544009126
Pos7_Unpaired,0.0031239980505251117
Pos6_Paired-Opening,0.0030875351997158382
Pos10_Paired-Opening,0.002768294222152583
Pos3_Unpaired,0.002645752298558734
Pos8_Paired-Opening,0.0026102147465536813
Pos19_Paired-Opening,0.0025920146593944294
Pos10_Unpaired,0.0025617085778074184
Pos8_Unpaired,0.0023775999645669404
Pos19_Unpaired,0.002147110728044211
Pos11_Paired-Opening,0.002102856549187217
Pos20_Paired-Opening,0.002025184830033705
Pos11_Unpaired,0.0018336714360827273
Pos13_Paired-Opening,0.001765877042578418
Pos18_Paired-Opening,0.00175124582197434
Pos13_Unpaired,0.0015816810641910769
Pos16_Paired-Opening,0.0015795886875738332
Pos18_Unpaired,0.0014907764967965033
Pos16_Unpaired,0.001475434542806109
Pos20_Unpaired,0.0012359635607760732
Pos17_Paired-Opening,0.0012093523647148132
Pos9_Paired-Opening,0.0011873871402146886
Pos17_Unpaired,0.0011118609041877732
Pos15_Paired-Opening,0.0010725429853546112
Pos9_Unpaired,0.0010699319303318253
Pos14_Paired-Opening,0.0010691115154345873
Pos14_Unpaired,0.0009961153970561064
Pos15_Unpaired,0.0009569290856695637
Pos21_Paired-Opening,0.0009387474163671518
Pos12_Paired-Opening,0.0009219154785698601
Pos12_Unpaired,0.0007934422799581392
Pos21_Unpaired,0.0002657749161494622
Pos3_Paired-Closing,0.00011904953511006161
Pos2_Paired-Closing,3.6601885833156194e-05
Pos1_Paired-Closing,1.60619345462326e-05
Pos18_Paired-Closing,0.0
Pos19_Paired-Closing,0.0
Pos20_Paired-Closing,0.0
Pos17_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
Pos16_Paired-Closing,0.0
Pos15_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos14_Paired-Closing,0.0
Pos13_Paired-Closing,0.0
Pos12_Paired-Closing,0.0
Pos11_Paired-Closing,0.0
Pos10_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos21_Paired-Closing,0.0
