Feature,Average_Importance_Magnitude,Number_of_Models
Pos4_Paired-Opening,0.00147386912832644,10
Pos4_Unpaired,0.00147202391386074,10
Pos17_Unpaired,0.00134802211560672,10
Pos5_Unpaired,0.00133686556001674,10
Pos5_Paired-Opening,0.00115320896895871,10
Pos20_Unpaired,0.00107237490361707,10
Pos2_Unpaired,0.00102625748885256,10
Pos12_Unpaired,0.00096746899640772,10
Pos3_Unpaired,0.0009361566768148101,10
Pos17_Paired-Closing,0.00091338519040452,10
Pos13_Unpaired,0.00090529271312197,10
Pos9_Unpaired,0.0008899477694936399,10
Pos11_Unpaired,0.0008865034808950101,10
Pos3_Paired-Opening,0.0008759762859979301,10
Pos20_Paired-Closing,0.00082925093521401,10
Pos9_Paired-Opening,0.00082098282224983,10
Pos6_Unpaired,0.00078077049394661,10
Pos2_Paired-Opening,0.00077692290532404,10
Pos7_Unpaired,0.00074285931806304,10
Pos6_Paired-Opening,0.0007121937922251801,10
Pos21_Unpaired,0.0006922367382570899,10
Pos10_Unpaired,0.00067658810847779,10
Pos1_Unpaired,0.00066148725318517,10
Pos16_Unpaired,0.0006525908589257599,10
Pos13_Paired-Closing,0.0006297940337259301,10
Pos8_Unpaired,0.00062884425013913,10
Pos15_Unpaired,0.00059737063518234,10
Pos14_Unpaired,0.00059392576559041,10
Pos14_Paired-Closing,0.00058588547365608,10
Pos19_Paired-Closing,0.0005712710839654199,10
Pos16_Paired-Closing,0.0005703516168997301,10
Pos18_Unpaired,0.00056536893898856,10
Pos15_Paired-Closing,0.0005473276698637699,10
Pos21_Paired-Closing,0.00054413034090875,10
Pos19_Unpaired,0.00054168958031726,10
Pos12_Paired-Closing,0.0005048507885324399,10
Pos7_Paired-Opening,0.00049256058185015,10
Pos18_Paired-Closing,0.00046626384839552995,10
Pos8_Paired-Opening,0.00043620891205884,10
Pos1_Paired-Opening,0.00040501058524504,10
Pos10_Paired-Opening,0.00037088644027741,10
Pos11_Paired-Opening,0.00035311875375338,10
Pos11_Paired-Closing,0.00028109897908603,10
Pos10_Paired-Closing,0.00024137054723372,10
Pos12_Paired-Opening,0.0002101292769769734,10
Pos9_Paired-Closing,0.00015600516590530677,10
Pos8_Paired-Closing,0.0001371585121778147,10
Pos13_Paired-Opening,8.239062901862588e-05,10
Pos14_Paired-Opening,2.732851997599976e-05,10
Pos7_Paired-Closing,1.9720102902733173e-05,10
Pos15_Paired-Opening,3.882660699327094e-06,10
Pos16_Paired-Opening,0.0,10
Pos2_Paired-Closing,0.0,10
Pos21_Paired-Opening,0.0,10
Pos17_Paired-Opening,0.0,10
Pos18_Paired-Opening,0.0,10
Pos5_Paired-Closing,0.0,10
Pos19_Paired-Opening,0.0,10
Pos1_Paired-Closing,0.0,10
Pos4_Paired-Closing,0.0,10
Pos20_Paired-Opening,0.0,10
Pos3_Paired-Closing,0.0,10
Pos6_Paired-Closing,0.0,10
